,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
Alabama,28100,62916.0,45829.4,58866.8,52004.0,56403.0,68910.0,,51851.9,25418.0,55983.0,,43457.8,,37719.2,55059.0,80817.9,64569.0,39109.9,41449.0,39771.6,36988.0,40781.6,31240.5,70366.7,40862.5,64792.0,,41309.2,,51030.2,,60738.5,55506.8,53805.0,,34816.0,17729.4,30766.8,23904.0,28303.0,40810.0,,23751.9,-2682.0,27883.0,,15357.8,,9619.2,26959.0,52717.9,36469.0,11009.9,13349.0,11671.6,8888.0,12681.6,3140.5,42266.7,12762.5,36692.0,,13209.2,,22930.2,,32638.5,27406.8,25705.0,,True,True,True,True,False,,True,True,True,,True,,True,True,False,False,True,True,True,True,True,True,False,True,False,,True,,True,,True,True,True,
Alaska,4026,4172.0,2453.1,4000.4,3156.0,4948.0,1742.0,,4025.1,1077.0,2037.8,,3496.5,,4121.5,,3628.5,5583.0,2814.0,1576.5,2499.5,2421.0,2957.0,884.1,8143.1,2421.9,6827.0,,1879.3,6278.0,1888.4,,3634.7,3273.7,3415.0,,146.0,-1572.9,-25.6,-870.0,922.0,-2284.0,,-0.9,-2949.0,-1988.2,,-529.5,,95.5,,-397.5,1557.0,-1212.0,-2449.5,-1526.5,-1605.0,-1069.0,-3141.9,4117.1,-1604.1,2801.0,,-2146.7,2252.0,-2137.6,,-391.3,-752.3,-611.0,,False,True,False,False,False,,True,False,False,,False,,True,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,
Arizona,46026,102856.0,78740.1,102055.0,69409.0,54586.0,181640.0,,88748.6,88740.0,99978.1,,109479.4,,43731.6,99926.0,71887.3,79703.0,87367.7,38756.5,54415.8,38828.0,61666.8,47663.2,65276.6,51776.9,43736.0,,51383.3,104359.0,93018.3,,91930.4,72196.6,62941.0,,56830.0,32714.1,56029.0,23383.0,8560.0,135614.0,,42722.6,42714.0,53952.1,,63453.4,,-2294.4,53900.0,25861.3,33677.0,41341.7,-7269.5,8389.8,-7198.0,15640.8,1637.2,19250.6,5750.9,-2290.0,,5357.3,58333.0,46992.3,,45904.4,26170.6,16915.0,,True,True,True,True,False,,True,True,True,,False,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,,True,True,True,
Arkansas,18589,46708.0,23919.8,46007.8,37569.0,37122.0,44582.0,,41210.9,32398.0,42995.6,,33769.1,,36915.2,45602.0,19143.9,41686.0,26450.2,29582.0,26223.9,33717.5,34248.7,37525.5,27096.5,35023.5,47215.0,,27001.7,,19493.3,,43878.8,45178.8,41915.0,,28119.0,5330.8,27418.8,18980.0,18533.0,25993.0,,22621.9,13809.0,24406.6,,15180.1,,18326.2,27013.0,554.9,23097.0,7861.2,10993.0,7634.9,15128.5,15659.7,18936.5,8507.5,16434.5,28626.0,,8412.7,,904.3,,25289.8,26589.8,23326.0,,True,True,True,True,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,,True,,True,True,True,
California,188519,389168.0,290377.8,403374.8,249448.0,225928.0,392948.0,,312116.7,100679.0,510394.3,,355368.8,,169295.4,375579.0,201125.9,238716.0,404619.2,114506.0,161771.4,189411.5,264108.0,110097.2,409448.3,208910.6,127291.0,,208245.4,,512129.8,,497664.5,40176.8,251562.0,,200649.0,101858.8,214855.8,60929.0,37409.0,204429.0,,123597.7,-87840.0,321875.3,,166849.8,,-19223.6,187060.0,12606.9,50197.0,216100.2,-74013.0,-26747.6,892.5,75589.0,-78421.8,220929.3,20391.6,-61228.0,,19726.4,,323610.8,,309145.5,-148342.2,63043.0,,True,False,True,True,False,,True,True,False,,True,,True,True,True,True,False,True,True,True,True,True,False,True,True,,True,,False,,False,True,True,
Colorado,31506,36948.0,10086.5,39288.4,30461.0,37581.0,44366.0,,38239.2,32266.0,27836.3,,30293.5,,29232.9,29791.0,11888.9,34444.0,33476.1,28599.0,22850.7,30250.5,31005.3,14112.6,33684.2,26635.1,47818.0,,25523.1,47659.0,8264.7,,41527.8,13147.6,31582.0,,5442.0,-21419.5,7782.4,-1045.0,6075.0,12860.0,,6733.2,760.0,-3669.7,,-1212.5,,-2273.1,-1715.0,-19617.1,2938.0,1970.1,-2907.0,-8655.3,-1255.5,-500.7,-17393.4,2178.2,-4870.9,16312.0,,-5982.9,16153.0,-23241.3,,10021.8,-18358.4,76.0,,False,False,True,False,False,,False,True,True,,True,,True,True,False,True,True,True,False,True,True,False,True,True,False,,False,False,False,,False,False,True,
Connecticut,25958,37396.0,22616.7,37581.4,31724.0,32939.0,38978.0,,32762.8,28329.0,2256931.6,,48277.1,,22177.1,33769.0,21224.1,33374.0,27417.0,35874.5,35770.4,19774.0,28309.7,27837.7,28035.4,25185.6,39426.0,,28822.6,33379.0,33598.4,,42466.1,45867.0,16645.0,,11438.0,-3341.3,11623.4,5766.0,6981.0,13020.0,,6804.8,2371.0,2230973.6,,22319.1,,-3780.9,7811.0,-4733.9,7416.0,1459.0,9916.5,9812.4,-6184.0,2351.7,1879.7,2077.4,-772.4,13468.0,,2864.6,7421.0,7640.4,,16508.1,19909.0,-9313.0,,True,False,True,True,False,,True,True,False,,False,,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,,False,False,True,
Delaware,8307,9124.0,8268.6,9037.0,7485.0,8730.0,4782.0,,9095.3,7244.0,16248.1,,6931.3,,6367.2,10098.0,7162.5,9119.0,7910.7,4832.5,6272.7,6262.5,7158.8,9027.5,11118.4,7214.3,10413.0,,6381.7,5568.0,11224.2,,12929.9,9417.9,6553.0,,817.0,-38.4,730.0,-822.0,423.0,-3525.0,,788.3,-1063.0,7941.1,,-1375.7,,-1939.8,1791.0,-1144.5,812.0,-396.3,-3474.5,-2034.3,-2044.5,-1148.2,720.5,2811.4,-1092.7,2106.0,,-1925.3,-2739.0,2917.2,,4622.9,1110.9,-1754.0,,True,True,False,True,False,,True,False,False,,False,,False,False,False,True,True,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,
District of Columbia,3396,4860.0,3258.7,5004.0,4163.0,2713.0,4222.0,,4648.2,3836.0,4671.4,,2393.9,,4026.2,4931.0,3280.0,5098.0,3874.6,2429.0,3540.9,4938.0,3691.4,,,,2680.0,,4060.2,7451.0,5451.4,,4834.2,,5476.0,,1464.0,-137.3,1608.0,767.0,-683.0,826.0,,1252.2,440.0,1275.4,,-1002.1,,630.2,1535.0,-116.0,1702.0,478.6,-967.0,144.9,1542.0,295.4,,,,-716.0,,664.2,4055.0,2055.4,,1438.2,,2080.0,,True,False,True,True,True,,True,True,True,,True,,True,False,True,False,True,True,True,False,True,,,,True,,True,False,False,,True,,False,
Florida,169538,231080.0,164610.5,231791.1,195298.0,215130.0,396787.0,,216224.0,228983.0,261551.6,,166840.2,,181229.2,234640.0,202559.4,217838.0,190081.9,175581.5,162770.0,150716.5,161139.2,244563.8,175349.1,168778.7,246597.0,,162310.6,,177983.1,,183855.7,245674.2,186389.0,,61542.0,-4927.5,62253.1,25760.0,45592.0,227249.0,,46686.0,59445.0,92013.6,,-2697.8,,11691.2,65102.0,33021.4,48300.0,20543.9,6043.5,-6768.0,-18821.5,-8398.8,75025.8,5811.1,-759.3,77059.0,,-7227.4,,8445.1,,14317.7,76136.2,16851.0,,True,False,True,True,False,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,False,True,True,False,,True,,True,,True,False,True,
