,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,19555,25635.0,27446.2,23409.9,20727.0,40900.0,19087.0,,20865.8,14802.0,,20162.1,,17873.4,31154.0,21072.8,19946.0,30410.1,20725.5,12371.5,11972.0,19783.4,21080.9,28705.2,16550.3,22400.0,17862.0,,20704.3,23634.0,31506.4,,31890.5,17889.0,17847.1,,6080.0,7891.2,3854.9,1172.0,21345.0,-468.0,,1310.8,-4753.0,,607.1,,-1681.6,11599.0,1517.8,391.0,10855.1,1170.5,-7183.5,-7583.0,228.4,1525.9,9150.2,-3004.7,2845.0,-1693.0,,1149.3,4079.0,11951.4,,12335.5,-1666.0,-1707.9,,False,True,True,False,True,,True,True,,True,,True,False,True,True,False,True,False,False,True,True,False,True,True,True,,True,True,False,,False,True,True,
Alaska,2880,3438.0,795.3,3360.6,2652.0,7846.0,1922.0,,2930.4,788.0,,1546.1,,3374.0,,3255.3,4420.0,2092.8,1223.0,1676.6,2301.0,2271.2,1575.3,3078.7,2783.1,2829.0,4529.0,,1909.9,3559.0,1227.4,,4449.2,2394.0,2118.3,,558.0,-2084.7,480.6,-228.0,4966.0,-958.0,,50.4,-2092.0,,-1333.9,,494.0,,375.3,1540.0,-787.2,-1657.0,-1203.4,-579.0,-608.8,-1304.7,198.7,-96.9,-51.0,1649.0,,-970.1,679.0,-1652.6,,1569.2,-486.0,-761.7,,False,True,True,False,False,,True,False,,False,,True,,True,False,False,False,False,False,False,False,True,True,True,False,,False,False,False,,False,True,False,
Arizona,29796,48690.0,39936.9,49376.1,30638.0,54822.0,27018.0,,39912.1,48368.0,,24250.2,,25664.1,56320.0,22143.7,39690.0,67902.1,17055.0,28544.3,19470.5,31326.7,16173.4,47397.2,24992.3,38131.0,7372.0,,30158.1,32078.0,60065.6,,15251.7,35707.0,24788.3,,18894.0,10140.9,19580.1,842.0,25026.0,-2778.0,,10116.1,18572.0,,-5545.8,,-4131.9,26524.0,-7652.3,9894.0,38106.1,-12741.0,-1251.7,-10325.5,1530.7,-13622.6,17601.2,-4803.7,8335.0,-22424.0,,362.1,2282.0,30269.6,,-14544.3,5911.0,-5007.7,,True,False,True,False,True,,True,True,,True,,True,False,True,True,False,True,True,True,True,True,True,True,True,False,,True,True,False,,True,True,True,
Arkansas,12091,19494.0,15010.1,19958.4,17764.0,35863.0,16113.0,,18878.2,19631.0,,15754.4,,16987.1,29072.0,25498.8,18163.0,20069.3,7718.5,15870.4,12107.0,13699.3,20485.6,17269.7,16568.0,19301.0,22819.0,,17254.8,16844.0,12878.5,,20923.7,13146.0,18469.7,,7403.0,2919.1,7867.4,5673.0,23772.0,4022.0,,6787.2,7540.0,,3663.4,,4896.1,16981.0,13407.8,6072.0,7978.3,-4372.5,3779.4,16.0,1608.3,8394.6,5178.7,4477.0,7210.0,10728.0,,5163.8,4753.0,787.5,,8832.7,1055.0,6378.7,,True,False,True,False,True,,True,False,,True,,True,False,False,True,False,True,True,True,True,False,True,True,True,False,,True,True,True,,False,True,True,
California,116532,215961.0,148512.8,207921.1,130231.0,261469.0,150527.0,,180138.4,50069.0,,96361.8,,99602.9,177404.0,121806.0,149844.0,330440.7,56922.0,97380.7,101508.0,140154.0,67704.7,253320.5,107096.4,167829.0,31618.0,,102495.0,153015.0,349701.3,,44569.4,150672.0,83706.1,,99429.0,31980.8,91389.1,13699.0,144937.0,33995.0,,63606.4,-66463.0,,-20170.2,,-16929.1,60872.0,5274.0,33312.0,213908.7,-59610.0,-19151.3,-15024.0,23622.0,-48827.3,136788.5,-9435.6,51297.0,-84914.0,,-14037.0,36483.0,233169.3,,-71962.6,34140.0,-32825.9,,True,True,True,False,True,,True,True,,True,,True,True,True,True,False,True,True,True,True,True,False,True,True,True,,True,True,False,,True,True,True,
Colorado,22779,26181.0,10435.3,25624.3,22080.0,49528.0,26695.0,,24999.6,22066.0,,19659.7,,20798.2,22714.0,11355.5,26462.0,30798.3,8822.5,15610.7,18499.5,22093.7,12069.0,21840.5,20952.8,24308.0,29652.0,,20756.4,25141.0,6954.7,,12998.9,26179.0,22828.3,,3402.0,-12343.7,2845.3,-699.0,26749.0,3916.0,,2220.6,-713.0,,-3119.3,,-1980.8,-65.0,-11423.5,3683.0,8019.3,-13956.5,-7168.3,-4279.5,-685.3,-10710.0,-938.5,-1826.2,1529.0,6873.0,,-2022.6,2362.0,-15824.3,,-9780.1,3400.0,49.3,,False,True,True,False,False,,True,True,,True,,True,True,False,False,False,False,False,False,True,False,True,True,True,False,,True,True,False,,False,True,True,
Connecticut,17993,23895.0,11834.7,23818.9,17954.0,43437.0,18258.0,,18509.6,13447.0,,14750.4,,15469.3,19799.0,8772.6,21699.0,22619.3,11266.0,11486.4,11629.5,16766.1,17863.7,24706.3,15868.3,19100.0,15318.0,,19780.0,24010.0,16996.4,,29197.9,12927.0,20045.4,,5902.0,-6158.3,5825.9,-39.0,25444.0,265.0,,516.6,-4546.0,,-3242.6,,-2523.7,1806.0,-9220.4,3706.0,4626.3,-6727.0,-6506.6,-6363.5,-1226.9,-129.3,6713.3,-2124.7,1107.0,-2675.0,,1787.0,6017.0,-996.6,,11204.9,-5066.0,2052.4,,False,True,True,False,True,,True,True,,True,,True,True,False,True,True,False,False,False,True,True,False,True,True,True,,True,False,True,,False,True,True,
Delaware,5467,8520.0,2927.7,8147.3,5513.0,12549.0,5808.0,,6809.5,4589.0,,5332.1,,5489.7,5990.0,1925.3,8793.0,6241.9,4197.5,4652.8,4359.5,5143.8,4425.4,6011.9,5183.6,6628.0,5770.0,,5123.1,8990.0,7395.1,,5860.7,6467.0,6249.3,,3053.0,-2539.3,2680.3,46.0,7082.0,341.0,,1342.5,-878.0,,-134.9,,22.7,523.0,-3541.7,3326.0,774.9,-1269.5,-814.2,-1107.5,-323.2,-1041.6,544.9,-283.4,1161.0,303.0,,-343.9,3523.0,1928.1,,393.7,1000.0,782.3,,True,True,True,False,True,,True,True,,True,,True,True,False,False,True,True,True,True,True,True,True,True,True,True,,True,False,True,,True,True,True,
District of Columbia,2477,2757.0,2580.8,2658.4,2236.0,5056.0,1680.0,,2466.1,2491.0,,1800.7,,2167.3,3121.0,2056.1,3364.0,3621.8,1611.0,1966.4,1495.0,1910.3,,,,2617.0,874.0,,2263.3,2139.0,3180.3,,,2416.0,3285.7,,280.0,103.8,181.4,-241.0,2579.0,-797.0,,-10.9,14.0,,-676.3,,-309.7,644.0,-420.9,887.0,1144.8,-866.0,-510.6,-982.0,-566.7,,,,140.0,-1603.0,,-213.7,-338.0,703.3,,,-61.0,808.7,,True,True,True,False,False,,True,True,,False,,False,False,False,False,False,False,False,False,False,,,,True,False,,True,False,False,,,True,False,
Florida,118960,151734.0,96674.8,149086.2,119926.0,237643.0,105686.0,,121731.7,141411.0,,95887.6,,112569.8,146365.0,107311.7,152007.0,148123.7,56327.5,104377.6,96350.5,106272.1,121682.1,179996.7,110101.3,140002.0,126777.0,,120452.3,140865.0,131725.8,,167039.6,124425.0,99735.1,,32774.0,-22285.2,30126.2,966.0,118683.0,-13274.0,,2771.7,22451.0,,-23072.4,,-6390.2,27405.0,-11648.3,33047.0,29163.7,-62632.5,-14582.4,-22609.5,-12687.9,2722.1,61036.7,-8858.7,21042.0,7817.0,,1492.3,21905.0,12765.8,,48079.6,5465.0,-19224.9,,True,True,True,False,True,,True,True,,True,,True,True,True,False,True,False,True,True,True,True,False,True,True,True,,True,True,True,,False,True,True,
