,mean_rank
COVIDhub-trained_ensemble,11.8
Covid19Sim-Simulator,11.8
USC-SI_kJalpha,12.1
COVIDhub-ensemble,12.3
COVIDhub-baseline,12.4
MOBS-GLEAM_COVID,12.5
Microsoft-DeepSTIA,12.6
JHU_CSSE-DECOM,12.6
IowaStateLW-STEM,12.7
CEID-Walk,12.7
LNQ-ens1,15.1
SigSci-TS,15.5
UChicagoCHATTOPADHYAY-UnIT,15.6
JHU_IDD-CovidSP,15.7
RobertWalraven-ESG,16.2
UVA-Ensemble,17.4
IEM_MED-CovidProject,17.5
UCLA-SuEIR,17.9
DDS-NBDS,18.0
Karlen-pypm,18.2
Google_Harvard-CPF,18.3
CU-select,18.4
IUPUI-HkPrMobiDyR,18.6
BPagano-RtDriven,18.7
JHUAPL-Bucky,19.4
OliverWyman-Navigator,19.6
CovidAnalytics-DELPHI,20.4
OneQuietNight-ML,21.1
MIT_ISOLAT-Mixtures,21.3
TTU-squider,21.7
JHU_UNC_GAS-StatMechPool,24.1
LANL-GrowthRate,24.3
UMich-RidgeTfReg,24.6
