,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,78730,150717.0,,154266.4,,161494.0,114171.1,,128855.4,88490.0,71987.0,,75536.4,,82764.0,35441.1,,50125.4,9760.0,,False,,False,True,,True,True
Alaska,7632,11865.0,,11378.3,,,13370.6,,8427.8,6207.0,4233.0,,3746.3,,,5738.6,,795.8,-1425.0,,True,,,False,,True,True
Arizona,158218,416892.0,,419973.8,,367722.0,323613.2,,282169.0,252911.0,258674.0,,261755.8,,209504.0,165395.2,,123951.0,94693.0,,False,,True,True,,True,True
Arkansas,54475,129024.0,,125968.7,,145940.0,68625.8,,89117.2,67987.0,74549.0,,71493.7,,91465.0,14150.8,,34642.2,13512.0,,True,,False,True,,True,True
California,613611,1992207.0,,1783859.3,,1838448.0,1087064.2,,1677884.9,1103953.0,1378596.0,,1170248.3,,1224837.0,473453.2,,1064273.9,490342.0,,True,,True,True,,True,True
Colorado,62279,101752.0,,102446.4,,94464.0,64631.1,,57992.8,55800.0,39473.0,,40167.4,,32185.0,2352.1,,-4286.2,-6479.0,,False,,True,True,,True,True
Connecticut,61908,121996.0,,125229.3,,122377.0,107044.6,,56802.5,45249.0,60088.0,,63321.3,,60469.0,45136.6,,-5105.5,-16659.0,,False,,False,True,,True,True
Delaware,18767,34279.0,,34380.5,,34616.0,23589.5,,20832.9,18575.0,15512.0,,15613.5,,15849.0,4822.5,,2065.9,-192.0,,False,,False,True,,True,True
District of Columbia,7736,14560.0,,13968.8,,13876.0,48480.7,,15768.3,8392.0,6824.0,,6232.8,,6140.0,40744.7,,8032.3,656.0,,True,,True,False,,False,True
Florida,380711,668423.0,,702612.7,,634794.0,644239.6,,485490.9,388460.0,287712.0,,321901.7,,254083.0,263528.6,,104779.9,7749.0,,False,,True,True,,True,True
Georgia,212115,425677.0,,474881.6,,436643.0,274019.8,,403012.2,263448.0,213562.0,,262766.6,,224528.0,61904.8,,190897.2,51333.0,,False,,False,True,,True,True
Hawaii,3586,7462.0,,8994.3,,,15465.3,,5881.9,4931.0,3876.0,,5408.3,,,11879.3,,2295.9,1345.0,,False,,,False,,True,True
Idaho,17655,42287.0,,37788.0,,42429.0,19521.9,,23842.1,20913.0,24632.0,,20133.0,,24774.0,1866.9,,6187.1,3258.0,,True,,False,True,,True,True
Illinois,132520,284396.0,,240384.9,,264828.0,206599.8,,160689.5,144349.0,151876.0,,107864.9,,132308.0,74079.8,,28169.5,11829.0,,True,,True,True,,True,True
Indiana,79467,199423.0,,182965.5,,207172.0,113555.1,,90298.9,106115.0,119956.0,,103498.5,,127705.0,34088.1,,10831.9,26648.0,,True,,False,True,,True,True
Iowa,34781,60039.0,,59937.2,,64897.0,25690.0,,38193.8,29454.0,25258.0,,25156.2,,30116.0,-9091.0,,3412.8,-5327.0,,True,,False,True,,True,True
Kansas,39834,96397.0,,90147.0,,100535.0,55175.0,,92236.1,45444.0,56563.0,,50313.0,,60701.0,15341.0,,52402.1,5610.0,,True,,False,True,,True,True
Kentucky,85860,167489.0,,193694.8,,167308.0,342815.4,,83330.0,100252.0,81629.0,,107834.8,,81448.0,256955.4,,-2530.0,14392.0,,False,,True,False,,True,True
Louisiana,68192,163954.0,,165849.6,,169915.0,135988.9,,108645.8,84256.0,95762.0,,97657.6,,101723.0,67796.9,,40453.8,16064.0,,False,,False,True,,True,True
Maine,12420,29400.0,,28401.0,,26946.0,15743.1,,23888.3,20768.0,16980.0,,15981.0,,14526.0,3323.1,,11468.3,8348.0,,True,,True,True,,True,True
Maryland,62579,144669.0,,141842.9,,145553.0,107292.0,,110392.0,84743.0,82090.0,,79263.9,,82974.0,44713.0,,47813.0,22164.0,,True,,False,True,,True,True
