,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,100261,237536.0,,226033.1,,242017.0,131788.1,,229649.2,110173.0,137275.0,,125772.1,,141756.0,31527.1,,129388.2,9912.0,,True,,False,True,,True,True
Alaska,9327,17256.0,,16228.7,,,32347.3,,19579.2,6932.0,7929.0,,6901.7,,,23020.3,,10252.2,-2395.0,,True,,,False,,False,True
Arizona,217774,545560.0,,514184.8,,451124.0,751727.1,,397089.7,243450.0,327786.0,,296410.8,,233350.0,533953.1,,179315.7,25676.0,,True,,True,False,,True,True
Arkansas,72907,162432.0,,158225.7,,198505.0,198009.6,,132516.6,74638.0,89525.0,,85318.7,,125598.0,125102.6,,59609.6,1731.0,,True,,False,False,,True,True
California,892277,2293640.0,,2382947.5,,1833746.0,1223595.6,,1985987.4,1198910.0,1401363.0,,1490670.5,,941469.0,331318.6,,1093710.4,306633.0,,False,,True,True,,True,True
Colorado,76815,158200.0,,125690.1,,124270.0,77114.9,,187500.6,66626.0,81385.0,,48875.1,,47455.0,299.9,,110685.6,-10189.0,,True,,True,True,,False,True
Connecticut,79336,126992.0,,116272.1,,117684.0,215741.9,,115307.8,60328.0,47656.0,,36936.1,,38348.0,136405.9,,35971.8,-19008.0,,True,,True,False,,True,True
Delaware,23664,44816.0,,42337.6,,36605.0,27177.4,,23299.1,19498.0,21152.0,,18673.6,,12941.0,3513.4,,-364.9,-4166.0,,True,,True,True,,True,True
District of Columbia,9816,15584.0,,16669.6,,13813.0,19242.4,,12775.4,7340.0,5768.0,,6853.6,,3997.0,9426.4,,2959.4,-2476.0,,False,,True,False,,True,True
Florida,476200,878912.0,,1021769.7,,732781.0,1214680.9,,632242.6,383721.0,402712.0,,545569.7,,256581.0,738480.9,,156042.6,-92479.0,,False,,True,False,,True,True
Georgia,272926,509840.0,,787992.8,,465523.0,444677.1,,434201.3,268103.0,236914.0,,515066.8,,192597.0,171751.1,,161275.3,-4823.0,,False,,True,True,,True,True
Hawaii,4652,9816.0,,8957.8,,,14983.2,,5262.2,5015.0,5164.0,,4305.8,,,10331.2,,610.2,363.0,,True,,,False,,True,True
Idaho,23696,56288.0,,48703.9,,46246.0,21286.3,,33316.5,22419.0,32592.0,,25007.9,,22550.0,-2409.7,,9620.5,-1277.0,,True,,True,True,,True,True
Illinois,173148,389496.0,,342432.6,,311763.0,203378.6,,246438.4,172598.0,216348.0,,169284.6,,138615.0,30230.6,,73290.4,-550.0,,True,,True,True,,True,True
