,mean_rank
COVIDhub-ensemble,10.9
Microsoft-DeepSTIA,12.2
LNQ-ens1,12.4
CU-select,12.5
OliverWyman-Navigator,12.9
Covid19Sim-Simulator,13.2
UVA-Ensemble,13.3
IEM_MED-CovidProject,13.5
USC-SI_kJalpha,13.6
COVIDhub-trained_ensemble,14.9
Geneva-DetGrowth,15.0
CEID-Walk,15.4
COVIDhub-baseline,15.4
MOBS-GLEAM_COVID,15.4
SigSci-TS,15.8
JHU_CSSE-DECOM,15.8
UChicagoCHATTOPADHYAY-UnIT,15.8
Karlen-pypm,16.3
OneQuietNight-ML,17.3
JHU_UNC_GAS-StatMechPool,17.4
IowaStateLW-STEM,17.6
BPagano-RtDriven,18.2
DDS-NBDS,18.4
JHU_IDD-CovidSP,19.0
RobertWalraven-ESG,19.6
Google_Harvard-CPF,19.6
LANL-GrowthRate,20.5
JHUAPL-Bucky,20.7
UCLA-SuEIR,23.0
TTU-squider,23.4
MIT_ISOLAT-Mixtures,23.9
CovidAnalytics-DELPHI,23.9
UMich-RidgeTfReg,24.0
