,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,748,1190.0,996.0,,,,,,1055.0,327.6,771.2,,1211.0,,,722.0,,,442.0,248.0,,,,,,307.0,-420.4,23.2,,463.0,,,-26.0,,,True,,,,,,True,True,True,,False,,,True,,
01003,1993,3970.0,4378.0,,,,,,3632.0,5690.4,2828.1,,4796.5,,,1709.7,3351.0,,1977.0,2385.0,,,,,,1639.0,3697.4,835.1,,2803.5,,,-283.3,1358.0,,False,,,,,,True,False,True,,False,,,True,True,
01005,210,630.0,616.0,,,,,,357.0,624.2,348.6,,694.0,,,,,,420.0,406.0,,,,,,147.0,414.2,138.6,,484.0,,,,,,True,,,,,,True,True,True,,False,,,,,
01007,181,305.0,176.0,,,,,,428.0,126.1,212.5,,238.0,,,354.7,,,124.0,-5.0,,,,,,247.0,-54.9,31.5,,57.0,,,173.7,,,True,,,,,,False,True,True,,True,,,False,,
01009,601,965.0,936.0,,,,,,1236.0,420.8,634.3,,898.5,,,868.5,,,364.0,335.0,,,,,,635.0,-180.2,33.3,,297.5,,,267.5,,,True,,,,,,False,True,True,,True,,,True,,
01011,109,210.0,239.0,,,,,,133.0,317.6,134.3,,249.0,,,,,,101.0,130.0,,,,,,24.0,208.6,25.3,,140.0,,,,,,False,,,,,,True,False,True,,False,,,,,
01013,217,345.0,211.0,,,,,,309.0,115.7,199.8,,292.0,,,,,,128.0,-6.0,,,,,,92.0,-101.3,-17.2,,75.0,,,,,,True,,,,,,True,True,True,,True,,,,,
01015,2043,2110.0,1679.0,,,,,,2229.0,1125.7,1371.3,,2096.0,,,1153.8,,,67.0,-364.0,,,,,,186.0,-917.3,-671.7,,53.0,,,-889.2,,,False,,,,,,False,False,False,,True,,,False,,
01017,259,700.0,759.0,,,,,,514.0,1535.4,456.9,,403.0,,,493.9,,,441.0,500.0,,,,,,255.0,1276.4,197.9,,144.0,,,234.9,,,False,,,,,,True,False,True,,True,,,True,,
01019,93,185.0,128.0,,,,,,461.0,95.9,165.6,,136.0,,,,,,92.0,35.0,,,,,,368.0,2.9,72.6,,43.0,,,,,,True,,,,,,False,True,True,,True,,,,,
01021,380,440.0,262.0,,,,,,849.0,141.8,391.8,,272.5,,,280.7,,,60.0,-118.0,,,,,,469.0,-238.2,11.8,,-107.5,,,-99.3,,,False,,,,,,False,False,True,,False,,,False,,
