,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,59969,112566.0,110949.0,,98386.4,65983.0,,,101607.0,40535.9,81339.4,84635.0,,88117.8,93279.0,52597.0,50980.0,,38417.4,6014.0,,,41638.0,-19433.1,21370.4,24666.0,,28148.8,33310.0,True,,True,True,,,True,True,True,True,,True,True
Alaska,6135,8982.0,3226.0,,8137.1,15928.0,,,,4881.3,6025.3,5343.5,,7671.8,6112.0,2847.0,-2909.0,,2002.1,9793.0,,,,-1253.7,-109.7,-791.5,,1536.8,-23.0,False,,True,False,,,,True,True,True,,True,True
Arizona,109762,290736.0,422507.0,,267815.2,202883.0,,,246846.0,107884.5,218200.0,214775.5,,234932.9,241734.0,180974.0,312745.0,,158053.2,93121.0,,,137084.0,-1877.5,108438.0,105013.5,,125170.9,131972.0,False,,True,True,,,True,True,True,True,,True,True
Arkansas,41658,76902.0,42771.0,,76366.3,57114.0,,,86962.0,19978.1,51955.1,52621.0,,64491.8,47114.0,35244.0,1113.0,,34708.3,15456.0,,,45304.0,-21679.9,10297.1,10963.0,,22833.8,5456.0,True,,True,True,,,False,True,True,True,,True,True
California,428732,1127232.0,695106.0,,983636.2,340452.0,,,1070958.0,629149.1,854385.5,610467.5,,1047228.4,607867.0,698500.0,266374.0,,554904.2,-88280.0,,,642226.0,200417.1,425653.5,181735.5,,618496.4,179135.0,True,,True,True,,,True,True,True,True,,True,True
Colorado,50796,68898.0,52515.0,,65116.7,56080.0,,,58783.0,14341.8,73821.4,52112.5,,80149.4,46667.0,18102.0,1719.0,,14320.7,5284.0,,,7987.0,-36454.2,23025.4,1316.5,,29353.4,-4129.0,True,,True,True,,,True,False,False,True,,False,True
Connecticut,47515,86358.0,157178.0,,82348.1,274249.0,,,83770.0,28907.6,73470.1,62963.0,,33575.5,51948.0,38843.0,109663.0,,34833.1,226734.0,,,36255.0,-18607.4,25955.1,15448.0,,-13939.5,4433.0,False,,True,False,,,True,True,True,True,,True,True
Delaware,14224,27258.0,29514.0,,26432.6,12303.0,,,23630.0,10198.8,17978.7,19522.0,,22392.6,20794.0,13034.0,15290.0,,12208.6,-1921.0,,,9406.0,-4025.2,3754.7,5298.0,,8168.6,6570.0,False,,True,True,,,True,True,True,True,,True,True
District of Columbia,6196,9240.0,7472.0,,9289.3,24768.0,,,9718.0,7645.8,9130.4,6436.0,,9202.1,7469.0,3044.0,1276.0,,3093.3,18572.0,,,3522.0,1449.8,2934.4,240.0,,3006.1,1273.0,True,,False,False,,,False,True,True,True,,True,True
Florida,300983,478368.0,543076.0,,491146.1,2980003.0,,,434203.0,195552.6,420313.7,372058.0,,430213.4,376769.0,177385.0,242093.0,,190163.1,2679020.0,,,133220.0,-105430.4,119330.7,71075.0,,129230.4,75786.0,False,,False,False,,,True,True,True,True,,True,True
