,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,986,1224.0,726.0,,,,,,1188.0,371.7,860.6,760.0,,1128.8,,,238.0,-260.0,,,,,,202.0,-614.3,-125.4,-226.0,,142.8,,,False,,,,,,True,False,True,True,,True,,
01003,2787,5712.0,8566.0,,,,,,4073.0,2653.8,4213.5,4970.5,,2275.7,3595.0,,2925.0,5779.0,,,,,,1286.0,-133.2,1426.5,2183.5,,-511.3,808.0,,False,,,,,,True,True,True,True,,True,True,
01005,336,492.0,384.0,,,,,,383.0,142.8,386.2,585.0,,,,,156.0,48.0,,,,,,47.0,-193.2,50.2,249.0,,,,,True,,,,,,True,False,True,False,,,,
01007,242,474.0,115.0,,,,,,488.0,126.1,337.8,309.0,,599.3,,,232.0,-127.0,,,,,,246.0,-115.9,95.8,67.0,,357.3,,,True,,,,,,False,True,True,True,,False,,
01009,794,1020.0,1000.0,,,,,,1477.0,444.8,740.7,686.0,,386.1,,,226.0,206.0,,,,,,683.0,-349.2,-53.3,-108.0,,-407.9,,,True,,,,,,False,False,True,True,,False,,
01011,155,276.0,244.0,,,,,,138.0,72.5,185.7,197.0,,,,,121.0,89.0,,,,,,-17.0,-82.5,30.7,42.0,,,,,True,,,,,,True,True,True,True,,,,
01013,286,282.0,96.0,,,,,,330.0,121.4,337.3,219.0,,,,,-4.0,-190.0,,,,,,44.0,-164.6,51.3,-67.0,,,,,False,,,,,,False,False,False,False,,,,
01015,2465,2508.0,1297.0,,,,,,2641.0,1509.3,1944.6,1645.0,,1718.2,,,43.0,-1168.0,,,,,,176.0,-955.7,-520.4,-820.0,,-746.8,,,False,,,,,,False,False,False,False,,False,,
01017,399,1296.0,854.0,,,,,,594.0,623.0,630.7,1001.5,,967.6,,,897.0,455.0,,,,,,195.0,224.0,231.7,602.5,,568.6,,,True,,,,,,True,True,True,True,,True,,
01019,131,306.0,52.0,,,,,,574.0,91.4,272.8,240.0,,,,,175.0,-79.0,,,,,,443.0,-39.6,141.8,109.0,,,,,True,,,,,,False,True,True,True,,,,
01021,468,540.0,61.0,,,,,,949.0,87.6,536.6,448.0,,309.6,,,72.0,-407.0,,,,,,481.0,-380.4,68.6,-20.0,,-158.4,,,False,,,,,,False,False,True,True,,False,,
01023,38,42.0,6.0,,,,,,260.0,129.3,81.0,4.0,,,,,4.0,-32.0,,,,,,222.0,91.3,43.0,-34.0,,,,,False,,,,,,False,False,False,False,,,,
01025,465,1104.0,1527.0,,,,,,462.0,675.2,524.5,1116.0,,485.2,,,639.0,1062.0,,,,,,-3.0,210.2,59.5,651.0,,20.2,,,False,,,,,,True,True,True,False,,True,,
01027,165,216.0,66.0,,,,,,285.0,62.1,151.5,254.0,,,,,51.0,-99.0,,,,,,120.0,-102.9,-13.5,89.0,,,,,False,,,,,,False,False,True,False,,,,
01029,188,258.0,43.0,,,,,,339.0,148.2,196.1,265.0,,,,,70.0,-145.0,,,,,,151.0,-39.8,8.1,77.0,,,,,False,,,,,,False,True,True,False,,,,
01031,662,1356.0,1285.0,,,,,,982.0,406.3,967.1,929.0,,688.3,,,694.0,623.0,,,,,,320.0,-255.7,305.1,267.0,,26.3,,,True,,,,,,True,True,True,True,,True,,
01033,537,1128.0,757.0,,,,,,1346.0,433.8,781.8,722.0,,528.9,,,591.0,220.0,,,,,,809.0,-103.2,244.8,185.0,,-8.1,,,True,,,,,,False,True,True,True,,True,,
01035,94,216.0,162.0,,,,,,192.0,106.9,148.6,172.0,,,,,122.0,68.0,,,,,,98.0,12.9,54.6,78.0,,,,,True,,,,,,True,True,True,True,,,,
01037,269,174.0,48.0,,,,,,171.0,24.2,105.1,91.0,,,,,-95.0,-221.0,,,,,,-98.0,-244.8,-163.9,-178.0,,,,,False,,,,,,False,False,False,False,,,,
01039,620,696.0,490.0,,,,,,709.0,136.2,543.4,584.0,,803.0,,,76.0,-130.0,,,,,,89.0,-483.8,-76.6,-36.0,,183.0,,,False,,,,,,False,False,False,True,,False,,
01041,230,306.0,61.0,,,,,,244.0,63.8,255.2,233.0,,,,,76.0,-169.0,,,,,,14.0,-166.2,25.2,3.0,,,,,False,,,,,,True,False,True,True,,,,
01043,737,1548.0,1405.0,,,,,,2348.0,556.8,1192.9,985.5,,1778.6,,,811.0,668.0,,,,,,1611.0,-180.2,455.9,248.5,,1041.6,,,True,,,,,,False,True,True,True,,False,,
01045,584,918.0,180.0,,,,,,950.0,516.2,759.1,637.5,,642.1,,,334.0,-404.0,,,,,,366.0,-67.8,175.1,53.5,,58.1,,,False,,,,,,False,True,True,True,,True,,
01047,303,606.0,786.0,,,,,,590.0,754.7,425.1,439.0,,524.0,,,303.0,483.0,,,,,,287.0,451.7,122.1,136.0,,221.0,,,False,,,,,,True,False,True,True,,True,,
01049,636,1200.0,1438.0,,,,,,1948.0,647.3,948.7,934.0,,988.2,,,564.0,802.0,,,,,,1312.0,11.3,312.7,298.0,,352.2,,,False,,,,,,False,True,True,True,,True,,
01051,1326,2400.0,1620.0,,,,,,1519.0,672.0,1435.7,1452.0,,857.1,,,1074.0,294.0,,,,,,193.0,-654.0,109.7,126.0,,-468.9,,,True,,,,,,True,True,True,True,,True,,
01053,451,1104.0,187.0,,,,,,735.0,581.0,639.2,1128.5,,661.5,,,653.0,-264.0,,,,,,284.0,130.0,188.2,677.5,,210.5,,,True,,,,,,True,True,True,False,,True,,
01055,1343,2298.0,3110.0,,,,,,2649.0,1115.0,1705.7,1499.0,,1812.5,,,955.0,1767.0,,,,,,1306.0,-228.0,362.7,156.0,,469.5,,,False,,,,,,False,True,True,True,,True,,
01057,248,642.0,564.0,,,,,,433.0,371.5,347.5,611.0,,,,,394.0,316.0,,,,,,185.0,123.5,99.5,363.0,,,,,True,,,,,,True,True,True,True,,,,
01059,266,534.0,210.0,,,,,,944.0,167.1,506.2,339.0,,272.8,,,268.0,-56.0,,,,,,678.0,-98.9,240.2,73.0,,6.8,,,True,,,,,,False,True,True,True,,True,,
01061,304,642.0,280.0,,,,,,516.0,212.2,433.0,561.0,,,,,338.0,-24.0,,,,,,212.0,-91.8,129.0,257.0,,,,,True,,,,,,True,True,True,True,,,,
01063,110,132.0,24.0,,,,,,136.0,30.9,96.6,32.0,,,,,22.0,-86.0,,,,,,26.0,-79.1,-13.4,-78.0,,,,,False,,,,,,False,False,True,False,,,,
01065,281,570.0,246.0,,,,,,304.0,109.9,320.0,337.5,,,,,289.0,-35.0,,,,,,23.0,-171.1,39.0,56.5,,,,,True,,,,,,True,True,True,True,,,,
01067,244,408.0,68.0,,,,,,287.0,197.8,268.2,257.0,,,,,164.0,-176.0,,,,,,43.0,-46.2,24.2,13.0,,,,,False,,,,,,True,True,True,True,,,,
01069,1144,2592.0,1944.0,,,,,,1920.0,895.5,1641.2,1940.0,,1085.5,,,1448.0,800.0,,,,,,776.0,-248.5,497.2,796.0,,-58.5,,,True,,,,,,True,True,True,True,,True,,
01071,565,1218.0,1257.0,,,,,,1279.0,252.4,843.3,794.5,,861.4,,,653.0,692.0,,,,,,714.0,-312.6,278.3,229.5,,296.4,,,False,,,,,,False,True,True,True,,True,,
01073,7558,16092.0,10919.0,,,,,,13348.0,4602.0,12715.1,11195.5,,7926.5,6335.0,,8534.0,3361.0,,,,,,5790.0,-2956.0,5157.1,3637.5,,368.5,-1223.0,,True,,,,,,True,True,True,True,,True,True,
