,mean_rank
COVIDhub-ensemble,7.9
LNQ-ens1,8.0
IEM_MED-CovidProject,8.6
Microsoft-DeepSTIA,10.0
USC-SI_kJalpha,10.0
RobertWalraven-ESG,10.5
Karlen-pypm,11.1
CU-select,11.1
Covid19Sim-Simulator,12.0
UVA-Ensemble,12.1
OliverWyman-Navigator,13.1
Google_Harvard-CPF,14.5
MIT_ISOLAT-Mixtures,14.6
LANL-GrowthRate,14.8
JHU_CSSE-DECOM,15.3
JHU_UNC_GAS-StatMechPool,15.4
BPagano-RtDriven,15.4
SigSci-TS,15.6
CovidAnalytics-DELPHI,15.7
JHUAPL-Bucky,17.7
CEID-Walk,17.9
COVIDhub-baseline,18.1
MOBS-GLEAM_COVID,18.3
OneQuietNight-ML,19.0
UMich-RidgeTfReg,19.4
IowaStateLW-STEM,19.4
JHU_IDD-CovidSP,20.3
TTU-squider,20.7
COVIDhub-trained_ensemble,28.7
