,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
01001,488,1040.0,,1139.9,,678.0,673.0,975.0,,,,,532.1,,405.3,,,683.0,833.2,,495.9,391.5,,544.0,593.3,,,,698.0,631.3,,,,,,620.2,,,,1058.7,552.0,,651.9,,190.0,185.0,487.0,,,,,44.1,,-82.7,,,195.0,345.2,,7.9,-96.5,,56.0,105.3,,,,210.0,143.3,,,,,,132.2,,,,570.7,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,,,,,,True,,,,False
01003,1247,2984.0,,2995.4,,2021.0,1972.0,2464.0,,,,,1633.1,,1726.5,,,2212.0,3028.3,,1633.5,871.0,,1863.5,1681.3,,,,2151.0,1783.2,,,,,,1503.9,1042.0,,,2625.6,1737.0,,1748.4,,774.0,725.0,1217.0,,,,,386.1,,479.5,,,965.0,1781.3,,386.5,-376.0,,616.5,434.3,,,,904.0,536.2,,,,,,256.9,-205.0,,,1378.6,,False,,True,True,True,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,,,,,,True,True,,,True
01005,139,284.0,,250.4,,217.0,230.0,303.0,,,,,190.6,,182.6,,,270.0,2126.2,,236.0,,,176.0,182.3,,,,144.0,91.4,,,,,,,,,,253.0,145.0,,111.4,,78.0,91.0,164.0,,,,,51.6,,43.6,,,131.0,1987.2,,97.0,,,37.0,43.3,,,,5.0,-47.6,,,,,,,,,,114.0,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,,,,,,,,,,True
01007,131,200.0,,193.6,,170.0,168.0,113.0,,,,,173.8,,94.7,,,272.0,136.4,,143.3,,,61.0,120.1,,,,190.0,147.9,,,,,,265.9,,,,234.2,69.0,,62.6,,39.0,37.0,-18.0,,,,,42.8,,-36.3,,,141.0,5.4,,12.3,,,-70.0,-10.9,,,,59.0,16.9,,,,,,134.9,,,,103.2,,True,,True,True,True,,,,,True,,True,,,False,True,,True,,,False,True,,,,True,True,,,,,,False,,,,False
01009,348,1012.0,,977.9,,707.0,630.0,971.0,,,,,452.0,,433.5,,,755.0,717.3,,524.2,188.0,,418.0,584.4,,,,673.0,691.0,,,,,,828.0,,,,750.6,664.0,,629.9,,359.0,282.0,623.0,,,,,104.0,,85.5,,,407.0,369.3,,176.2,-160.0,,70.0,236.4,,,,325.0,343.0,,,,,,480.0,,,,402.6,,True,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,,,,,,True,,,,True
01011,61,184.0,,179.0,,152.0,141.0,207.0,,,,,101.8,,89.9,,,106.0,441.5,,102.7,,,162.0,141.9,,,,107.0,79.0,,,,,,,,,,220.3,123.0,,118.0,,91.0,80.0,146.0,,,,,40.8,,28.9,,,45.0,380.5,,41.7,,,101.0,80.9,,,,46.0,18.0,,,,,,,,,,159.3,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,,,,,,,,,,False
01013,154,252.0,,269.7,,185.0,163.0,183.0,,,,,152.3,,150.0,,,222.0,388.6,,157.6,,,131.5,148.6,,,,178.0,128.0,,,,,,,,,,247.7,98.0,,115.7,,31.0,9.0,29.0,,,,,-1.7,,-4.0,,,68.0,234.6,,3.6,,,-22.5,-5.4,,,,24.0,-26.0,,,,,,,,,,93.7,,False,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,,,,,,,,,,True
01015,1593,1800.0,,1710.8,,1228.0,1186.0,2223.0,,,,,989.0,,739.5,,,1320.0,1033.8,,980.0,451.5,,1154.0,1088.4,,,,1207.0,1487.7,,,,,,1085.8,,,,1646.1,207.0,,117.8,,-365.0,-407.0,630.0,,,,,-604.0,,-853.5,,,-273.0,-559.2,,-613.0,-1141.5,,-439.0,-504.6,,,,-386.0,-105.3,,,,,,-507.2,,,,53.1,,True,,False,False,False,,,,,False,,False,,,False,False,,False,False,,False,False,,,,False,True,,,,,,False,,,,True
01017,174,340.0,,350.7,,214.0,195.0,180.0,,,,,296.7,,208.0,,,357.0,422.6,,259.1,190.0,,67.0,196.3,,,,196.0,103.9,,,,,,280.1,,,,292.0,166.0,,176.7,,40.0,21.0,6.0,,,,,122.7,,34.0,,,183.0,248.6,,85.1,16.0,,-107.0,22.3,,,,22.0,-70.1,,,,,,106.1,,,,118.0,,False,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,,,,,,True,,,,True
01019,52,164.0,,151.8,,129.0,123.0,89.0,,,,,131.6,,146.1,,,296.0,132.2,,141.4,,,46.0,81.8,,,,154.0,245.0,,,,,,,,,,132.0,112.0,,99.8,,77.0,71.0,37.0,,,,,79.6,,94.1,,,244.0,80.2,,89.4,,,-6.0,29.8,,,,102.0,193.0,,,,,,,,,,80.0,,True,,True,True,True,,,,,True,,True,,,False,True,,True,,,True,True,,,,True,False,,,,,,,,,,True
