,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,13425,12260.0,10187.4,11006.0,9468.0,11445.0,8360.0,,11756.7,7198.0,11488.1,,11044.5,,7797.7,18132.7,13321.0,5146.4,9828.0,14271.5,4762.5,6176.4,6497.0,9142.7,11006.6,9559.4,9392.2,7320.0,13182.0,,8775.0,11621.0,13212.5,,15279.8,9397.5,27546.8,9702.0,7364.0,,-1165.0,-3237.6,-2419.0,-3957.0,-1980.0,-5065.0,,-1668.3,-6227.0,-1936.9,,-2380.5,,-5627.3,4707.7,-104.0,-8278.6,-3597.0,846.5,-8662.5,-7248.6,-6928.0,-4282.3,-2418.4,-3865.6,-4032.8,-6105.0,-243.0,,-4650.0,-1804.0,-212.5,,1854.8,-4027.5,14121.8,-3723.0,-6061.0,,False,False,False,False,False,,False,False,False,,False,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,True,,False,False,False,False,False,
Alaska,1892,1976.0,680.4,1906.6,1572.0,1483.0,1043.0,,0.0,644.0,1029.8,,633.7,,1910.3,2554.8,,2064.1,1914.0,1434.1,1971.0,983.4,215.0,1297.5,1460.0,1895.2,1765.1,1950.0,2488.0,,1752.0,1862.0,1139.1,,1674.1,1600.6,,1274.0,1869.8,,84.0,-1211.6,14.6,-320.0,-409.0,-849.0,,-1892.0,-1248.0,-862.2,,-1258.3,,18.3,662.8,,172.1,22.0,-457.9,79.0,-908.6,-1677.0,-594.5,-432.0,3.2,-126.9,58.0,596.0,,-140.0,-30.0,-752.9,,-217.9,-291.4,,-618.0,-22.2,,False,True,False,False,False,,False,False,False,,False,,True,False,,False,True,False,True,False,False,False,False,True,False,True,False,,False,True,False,,False,False,,False,True,
Arizona,18956,21680.0,20795.9,22031.1,15695.0,14933.0,13027.0,,19904.5,13426.0,24501.2,,20679.3,,13486.6,34357.3,21433.0,8056.9,11771.0,30044.9,7544.5,15182.4,9685.0,16578.4,10978.7,15961.0,16033.8,11371.0,3822.0,,18917.8,15886.0,34250.7,,32096.1,11963.4,16917.4,16460.0,14375.4,,2724.0,1839.9,3075.1,-3261.0,-4023.0,-5929.0,,948.5,-5530.0,5545.2,,1723.3,,-5469.4,15401.3,2477.0,-10899.1,-7185.0,11088.9,-11411.5,-3773.6,-9271.0,-2377.6,-7977.3,-2995.0,-2922.2,-7585.0,-15134.0,,-38.2,-3070.0,15294.7,,13140.1,-6992.6,-2038.6,-2496.0,-4580.6,,True,False,False,False,False,,True,False,False,,True,,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,True,False,False,,False,False,True,True,False,
Arkansas,9423,5336.0,7956.7,14204.3,6057.0,8898.0,5114.0,,5976.4,7946.0,8318.4,,5170.8,,3290.7,7865.1,6468.0,3771.2,3237.0,9643.3,2458.0,6985.4,1360.0,3451.4,5849.6,6531.0,6252.1,3046.0,14347.0,,6379.4,2930.0,7370.4,,6808.5,4894.4,13473.3,3648.0,3666.0,,-4087.0,-1466.3,4781.3,-3366.0,-525.0,-4309.0,,-3446.6,-1477.0,-1104.6,,-4252.2,,-6132.3,-1557.9,-2955.0,-5651.8,-6186.0,220.3,-6965.0,-2437.6,-8063.0,-5971.6,-3573.4,-2892.0,-3170.9,-6377.0,4924.0,,-3043.6,-6493.0,-2052.6,,-2614.5,-4528.6,4050.3,-5775.0,-5757.0,,True,False,True,True,False,,True,True,True,,False,,False,True,True,False,False,True,False,True,False,False,True,True,True,False,False,,True,False,True,,True,False,True,False,False,
California,69422,94220.0,81108.4,90999.8,57428.0,85654.0,59551.0,,90089.2,24156.0,72718.3,,49855.8,,56353.3,135988.0,91504.0,49155.2,66593.0,147877.3,46944.0,51924.6,51099.0,67062.8,39048.0,88065.7,69156.3,55640.0,20046.0,,38587.4,57822.0,122927.6,,229535.7,72411.3,49885.9,74794.0,34386.8,,24798.0,11686.4,21577.8,-11994.0,16232.0,-9871.0,,20667.2,-45266.0,3296.3,,-19566.2,,-13068.7,66566.0,22082.0,-20266.8,-2829.0,78455.3,-22478.0,-17497.4,-18323.0,-2359.2,-30374.0,18643.7,-265.7,-13782.0,-49376.0,,-30834.6,-11600.0,53505.6,,160113.7,2989.3,-19536.1,5372.0,-35035.2,,True,True,True,True,True,,True,False,True,,True,,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,,False,True,False,,False,True,True,True,False,
Colorado,15950,13658.0,8839.9,13742.3,12318.0,13149.0,10837.0,,13441.4,13637.0,13742.8,,13329.1,,12709.9,21474.4,13385.0,15688.8,12372.0,14477.3,6394.5,9391.2,10322.0,11812.5,6953.8,12856.6,12209.6,12767.0,16122.0,,11709.9,11357.0,3785.9,,13178.1,10792.2,8283.8,12875.0,13136.1,,-2292.0,-7110.1,-2207.7,-3632.0,-2801.0,-5113.0,,-2508.6,-2313.0,-2207.2,,-2620.9,,-3240.1,5524.4,-2565.0,-261.2,-3578.0,-1472.7,-9555.5,-6558.8,-5628.0,-4137.5,-8996.2,-3093.4,-3740.4,-3183.0,172.0,,-4240.1,-4593.0,-12164.1,,-2771.9,-5157.8,-7666.2,-3075.0,-2813.9,,False,True,False,False,False,,False,False,True,,False,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,,False,False,False,,False,False,False,False,False,
Connecticut,12229,11528.0,5768.3,11375.6,8655.0,8238.0,4484.0,,9780.6,6679.0,762627.7,,1961.1,,7815.6,10860.8,10379.0,7385.5,9222.0,10969.3,5518.5,7744.3,5212.0,7722.0,9841.1,11865.6,9119.9,6493.0,7451.0,,7816.5,11588.0,10020.9,,14442.7,8273.0,0.0,9061.0,9585.0,,-701.0,-6460.7,-853.4,-3574.0,-3991.0,-7745.0,,-2448.4,-5550.0,750398.7,,-10267.9,,-4413.4,-1368.2,-1850.0,-4843.5,-3007.0,-1259.7,-6710.5,-4484.7,-7017.0,-4507.0,-2387.9,-363.4,-3109.1,-5736.0,-4778.0,,-4412.5,-641.0,-2208.1,,2213.7,-3956.0,-12229.0,-3168.0,-2644.0,,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,True,False,,False,False,False,False,False,
Delaware,3608,3718.0,1215.2,3650.3,3018.0,2652.0,3771.0,,3504.0,2586.0,3645.7,,2392.6,,3174.1,5266.7,2820.0,2825.4,4038.0,3305.5,2903.5,2554.9,2227.5,2926.6,2525.5,3493.4,3002.3,2819.0,2458.0,,2868.1,3313.0,3836.0,,6378.4,2553.7,3476.6,3751.0,4143.5,,110.0,-2392.8,42.3,-590.0,-956.0,163.0,,-104.0,-1022.0,37.7,,-1215.4,,-433.9,1658.7,-788.0,-782.6,430.0,-302.5,-704.5,-1053.1,-1380.5,-681.4,-1082.5,-114.6,-605.7,-789.0,-1150.0,,-739.9,-295.0,228.0,,2770.4,-1054.3,-131.4,143.0,535.5,,False,True,False,False,False,,True,False,True,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
District of Columbia,1720,1514.0,1272.8,1513.7,1268.0,881.0,1054.0,,1427.8,1405.0,1501.7,,1042.0,,1121.0,,1583.0,1109.3,1301.0,1784.5,958.0,1141.5,853.0,1141.1,,,1223.3,994.0,833.0,,1412.0,1268.0,1987.2,,2161.1,1001.8,,1316.0,1945.2,,-206.0,-447.2,-206.3,-452.0,-839.0,-666.0,,-292.2,-315.0,-218.3,,-678.0,,-599.0,,-137.0,-610.7,-419.0,64.5,-762.0,-578.5,-867.0,-578.9,,,-496.7,-726.0,-887.0,,-308.0,-452.0,267.2,,441.1,-718.2,,-404.0,225.2,,False,False,False,False,False,,False,False,False,,False,,False,,True,False,False,True,False,False,False,False,,,False,False,False,,False,False,False,,False,False,,False,False,
Florida,77190,83540.0,67052.8,84740.1,70781.0,70518.0,66513.0,,78001.7,78138.0,99210.6,,60903.2,,68646.6,127554.3,77807.0,62566.7,73980.0,76457.3,42870.5,61534.1,57435.5,69621.4,65515.4,73116.3,64188.9,63832.0,76664.0,,72058.9,75202.0,80485.3,,87718.3,56917.0,114498.1,78827.0,65180.9,,6350.0,-10137.2,7550.1,-6409.0,-6672.0,-10677.0,,811.7,948.0,22020.6,,-16286.8,,-8543.4,50364.3,617.0,-14623.3,-3210.0,-732.7,-34319.5,-15655.9,-19754.5,-7568.6,-11674.6,-4073.7,-13001.1,-13358.0,-526.0,,-5131.1,-1988.0,3295.3,,10528.3,-20273.0,37308.1,1637.0,-12009.1,,False,False,False,False,False,,True,True,False,,False,,False,False,True,False,True,True,False,False,False,False,False,True,False,False,True,,True,True,True,,False,False,False,True,False,
