,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1497,4632.0,,,,2489.0,1282.5,,1780.5,,,3135.0,,,,992.0,-214.5,,283.5,,,,,,True,True,,True,,
01003,4713,9976.0,,,,8139.0,6780.7,,4298.2,5322.0,,5263.0,,,,3426.0,2067.7,,-414.8,609.0,,,,,True,True,,True,True,
01005,493,960.0,,,,911.0,1475.2,,,,,467.0,,,,418.0,982.2,,,,,,,,True,False,,,,
01007,427,1400.0,,,,910.0,297.3,,,,,973.0,,,,483.0,-129.7,,,,,,,,True,True,,,,
01009,1209,2544.0,,,,2850.0,875.6,,1521.0,,,1335.0,,,,1641.0,-333.4,,312.0,,,,,,False,True,,True,,
01011,239,464.0,,,,262.0,667.0,,,,,225.0,,,,23.0,428.0,,,,,,,,True,False,,,,
01013,392,760.0,,,,683.0,747.3,,,,,368.0,,,,291.0,355.3,,,,,,,,True,True,,,,
01015,3508,6088.0,,,,5541.0,1103.7,,2729.7,,,2580.0,,,,2033.0,-2404.3,,-778.3,,,,,,True,True,,True,,
01017,813,1872.0,,,,1261.0,3107.3,,1143.2,,,1059.0,,,,448.0,2294.3,,330.2,,,,,,True,False,,True,,
01019,259,704.0,,,,1241.0,120.2,,,,,445.0,,,,982.0,-138.8,,,,,,,,False,True,,,,
01021,674,1744.0,,,,2051.0,2494.6,,693.8,,,1070.0,,,,1377.0,1820.6,,19.8,,,,,,False,False,,True,,
01023,57,64.0,,,,525.0,7.0,,,,,7.0,,,,468.0,-50.0,,,,,,,,False,False,,,,
01025,826,1448.0,,,,878.0,580.0,,821.9,,,622.0,,,,52.0,-246.0,,-4.1,,,,,,True,True,,True,,
01027,241,520.0,,,,582.0,192.4,,,,,279.0,,,,341.0,-48.6,,,,,,,,False,True,,,,
01029,287,568.0,,,,740.0,216.2,,,,,281.0,,,,453.0,-70.8,,,,,,,,False,True,,,,
01031,1163,3424.0,,,,2039.0,1924.4,,2176.7,,,2261.0,,,,876.0,761.4,,1013.7,,,,,,True,True,,True,,
