,predicted_cases,actual_cases,error,perc_error
Karlen-pypm,3238052.2,2888330,349722.2,12.1%
JHUAPL-Bucky,3534798.5,2888330,646468.5,22.4%
LANL-GrowthRate,3634935.5,2888330,746605.5,25.8%
Columbia_UNC-SurvCon,3734956.0,2888330,846626.0,29.3%
USC-SI_kJalpha,3913281.0,2888330,1024951.0,35.5%
JHU_IDD-CovidSP,4003365.3,2888330,1115035.3,38.6%
UCF-AEM,4196458.0,2888330,1308128.0,45.3%
QJHong-Encounter,4514088.0,2888330,1625758.0,56.3%
FDANIHASU-Sweight,4525072.3,2888330,1636742.3,56.7%
IowaStateLW-STEM,4620771.0,2888330,1732441.0,60.0%
CovidAnalytics-DELPHI,5000432.0,2888330,2112102.0,73.1%
Covid19Sim-Simulator,5006676.1,2888330,2118346.1,73.3%
CU-select,5176437.0,2888330,2288107.0,79.2%
IBF-TimeSeries,5187108.0,2888330,2298778.0,79.6%
COVIDhub-baseline,5290345.0,2888330,2402015.0,83.2%
UCLA-SuEIR,5957231.7,2888330,3068901.7,106.3%
