,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,43829,80700.0,75115.0,,82641.6,43872.0,,,87599.0,79636.6,57076.1,42070.2,103611.5,,,77992.4,92211.0,36871.0,31286.0,,38812.6,43.0,,,43770.0,35807.6,13247.1,-1758.8,59782.5,,,34163.4,48382.0,True,,False,True,,,False,True,True,True,False,,,True,False
Alaska,5069,5330.0,2650.0,,5127.3,5787.0,,,,6636.9,4322.9,3526.8,3409.0,,,4675.8,4380.0,261.0,-2419.0,,58.3,718.0,,,,1567.9,-746.1,-1542.2,-1660.0,,,-393.2,-689.0,False,,True,False,,,,False,False,False,False,,,False,False
Arizona,71740,190110.0,193264.0,,181455.0,151392.0,,,186979.0,99083.7,124996.3,120018.4,118214.0,,,169360.3,134965.0,118370.0,121524.0,,109715.0,79652.0,,,115239.0,27343.7,53256.3,48278.4,46474.0,,,97620.3,63225.0,False,,True,True,,,True,True,True,True,True,,,True,True
Arkansas,30266,56960.0,42862.0,,52039.1,44029.0,,,60487.0,19515.2,36941.9,34831.6,36882.5,,,47898.5,39508.0,26694.0,12596.0,,21773.1,13763.0,,,30221.0,-10750.8,6675.9,4565.6,6616.5,,,17632.5,9242.0,True,,True,True,,,False,True,True,True,True,,,True,True
California,285811,714605.0,704248.0,,525617.4,191535.0,,,481351.0,428421.7,545159.4,253551.4,390831.5,,,713491.3,406251.0,428794.0,418437.0,,239806.4,-94276.0,,,195540.0,142610.7,259348.4,-32259.6,105020.5,,,427680.3,120440.0,True,,True,True,,,True,True,True,True,True,,,True,True
Colorado,40743,50265.0,60243.0,,40080.1,43217.0,,,41626.0,13665.6,52368.1,32280.0,34894.0,,,41590.3,34876.0,9522.0,19500.0,,-662.9,2474.0,,,883.0,-27077.4,11625.1,-8463.0,-5849.0,,,847.3,-5867.0,False,,True,True,,,True,False,False,True,True,,,True,True
Connecticut,35307,61040.0,67833.0,,56639.6,60544.0,,,57822.0,22684.4,45073.1,55329.3,48682.5,,,76200.8,34550.0,25733.0,32526.0,,21332.6,25237.0,,,22515.0,-12622.6,9766.1,20022.3,13375.5,,,40893.8,-757.0,False,,True,True,,,True,True,True,True,True,,,False,True
Delaware,10588,18180.0,15444.0,,17357.5,10574.0,,,16242.0,7837.0,11945.2,10017.1,13645.5,,,17863.6,13698.0,7592.0,4856.0,,6769.5,-14.0,,,5654.0,-2751.0,1357.2,-570.9,3057.5,,,7275.6,3110.0,True,,True,True,,,True,True,True,True,True,,,True,True
District of Columbia,4611,7925.0,15138.0,,7091.7,9328.0,,,7016.0,5420.3,5408.9,6482.3,6216.0,,,8285.9,6112.0,3314.0,10527.0,,2480.7,4717.0,,,2405.0,809.3,797.9,1871.3,1605.0,,,3674.9,1501.0,False,,True,False,,,True,True,True,True,True,,,False,True
Florida,227308,368375.0,467835.0,,337587.3,632827.0,,,296408.0,211662.6,290624.9,238912.7,287988.0,,,308297.2,293638.0,141067.0,240527.0,,110279.3,405519.0,,,69100.0,-15645.4,63316.9,11604.7,60680.0,,,80989.2,66330.0,False,,True,False,,,True,True,True,True,True,,,True,True
