,mean_rank
Microsoft-DeepSTIA,8.0
LNQ-ens1,8.4
Karlen-pypm,8.8
RobertWalraven-ESG,8.9
IEM_MED-CovidProject,9.4
LANL-GrowthRate,10.0
BPagano-RtDriven,10.2
COVIDhub-ensemble,10.9
USC-SI_kJalpha,11.2
JHU_IDD-CovidSP,12.0
JHU_UNC_GAS-StatMechPool,12.0
Google_Harvard-CPF,12.9
CovidAnalytics-DELPHI,13.3
MIT_ISOLAT-Mixtures,13.5
JHUAPL-Bucky,14.4
MOBS-GLEAM_COVID,15.9
Covid19Sim-Simulator,16.0
UCLA-SuEIR,16.5
JHU_CSSE-DECOM,17.3
CU-select,17.7
IowaStateLW-STEM,18.3
COVIDhub-trained_ensemble,18.4
TTU-squider,18.6
CEID-Walk,18.9
COVIDhub-baseline,19.2
UMich-RidgeTfReg,20.9
DDS-NBDS,21.1
OneQuietNight-ML,23.2
