,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,252,180.0,,197.0,,157.0,146.0,173.0,,,,,129.3,,76.9,,,301.2,245.0,78.3,,177.8,240.5,,116.0,149.2,,,,103.0,150.0,,,,,,116.9,132.4,,,,145.5,242.1,-72.0,,-55.0,,-95.0,-106.0,-79.0,,,,,-122.7,,-175.1,,,49.2,-7.0,-173.7,,-74.2,-11.5,,-136.0,-102.8,,,,-149.0,-102.0,,,,,,-135.1,-119.6,,,,-106.5,-9.9,,True,,False,False,False,,,,,False,,False,,,True,True,False,,False,True,,False,False,,,,False,False,,,,,,False,False,,,,False,True
01003,523,682.0,,680.6,,448.0,453.0,380.0,,,,,435.7,,283.1,,,983.3,796.0,191.4,,734.1,763.5,,340.0,447.9,,,,393.0,459.0,,,,,,536.2,365.8,384.0,,,354.7,841.7,159.0,,157.6,,-75.0,-70.0,-143.0,,,,,-87.3,,-239.9,,,460.3,273.0,-331.6,,211.1,240.5,,-183.0,-75.1,,,,-130.0,-64.0,,,,,,13.2,-157.2,-139.0,,,-168.3,318.7,,True,,True,True,True,,,,,True,,False,,,False,False,False,,False,False,,False,True,,,,True,True,,,,,,True,True,True,,,False,False
01005,72,54.0,,39.9,,41.0,38.0,51.0,,,,,44.3,,48.2,,,87.7,95.0,15.3,,71.2,,,21.0,35.4,,,,31.0,23.0,,,,,,57.7,55.3,,,,45.0,74.4,-18.0,,-32.1,,-31.0,-34.0,-21.0,,,,,-27.7,,-23.8,,,15.7,23.0,-56.7,,-0.8,,,-51.0,-36.6,,,,-41.0,-49.0,,,,,,-14.3,-16.7,,,,-27.0,2.4,,False,,False,False,False,,,,,False,,False,,,True,False,False,,True,,,False,False,,,,False,False,,,,,,True,True,,,,False,True
01007,50,42.0,,36.3,,38.0,38.0,35.0,,,,,41.4,,23.6,,,75.8,82.0,51.2,,66.8,,,24.0,32.6,,,,35.0,55.0,,,,,,93.1,72.9,,,,9.5,84.5,-8.0,,-13.7,,-12.0,-12.0,-15.0,,,,,-8.6,,-26.4,,,25.8,32.0,1.2,,16.8,,,-26.0,-17.4,,,,-15.0,5.0,,,,,,43.1,22.9,,,,-40.5,34.5,,False,,False,False,False,,,,,False,,False,,,False,False,True,,False,,,False,False,,,,False,True,,,,,,False,False,,,,False,False
01009,214,166.0,,163.4,,121.0,94.0,108.0,,,,,109.2,,108.4,,,220.4,226.0,15.2,,185.5,178.5,,40.0,84.3,,,,89.0,132.0,,,,,,218.2,102.2,,,,81.8,185.5,-48.0,,-50.6,,-93.0,-120.0,-106.0,,,,,-104.8,,-105.6,,,6.4,12.0,-198.8,,-28.5,-35.5,,-174.0,-129.7,,,,-125.0,-82.0,,,,,,4.2,-111.8,,,,-132.2,-28.5,,False,,False,False,False,,,,,False,,False,,,True,True,False,,True,True,,False,False,,,,False,False,,,,,,True,False,,,,False,True
01011,30,20.0,,17.5,,18.0,17.0,38.0,,,,,24.2,,12.8,,,42.4,33.0,6.9,,29.4,,,3.0,15.2,,,,12.0,16.0,,,,,,,28.1,,,,18.1,35.9,-10.0,,-12.5,,-12.0,-13.0,8.0,,,,,-5.8,,-17.2,,,12.4,3.0,-23.1,,-0.6,,,-27.0,-14.8,,,,-18.0,-14.0,,,,,,,-1.9,,,,-11.9,5.9,,False,,False,False,True,,,,,True,,False,,,False,True,False,,True,,,False,False,,,,False,False,,,,,,,True,,,,False,True
01013,79,80.0,,86.1,,46.0,44.0,49.0,,,,,41.1,,30.2,,,100.0,73.0,19.3,,54.9,,,41.0,41.0,,,,63.0,48.0,,,,,,,66.0,,,,81.1,66.2,1.0,,7.1,,-33.0,-35.0,-30.0,,,,,-37.9,,-48.8,,,21.0,-6.0,-59.7,,-24.1,,,-38.0,-38.0,,,,-16.0,-31.0,,,,,,,-13.0,,,,2.1,-12.8,,False,,False,False,False,,,,,False,,False,,,False,False,False,,False,,,False,False,,,,False,False,,,,,,,False,,,,False,False
01015,1046,572.0,,559.2,,403.0,331.0,427.0,,,,,257.8,,290.0,,,692.6,427.0,152.3,,457.5,469.0,,307.0,340.4,,,,387.0,396.0,,,,,,476.8,359.0,,,,547.1,421.8,-474.0,,-486.8,,-643.0,-715.0,-619.0,,,,,-788.2,,-756.0,,,-353.4,-619.0,-893.7,,-588.5,-577.0,,-739.0,-705.6,,,,-659.0,-650.0,,,,,,-569.2,-687.0,,,,-498.9,-624.2,,False,,False,False,False,,,,,False,,False,,,True,False,False,,False,False,,False,False,,,,False,False,,,,,,False,False,,,,False,False
01017,69,92.0,,89.8,,69.0,64.0,27.0,,,,,73.9,,47.7,,,141.3,118.0,28.3,,109.0,155.0,,58.0,55.4,,,,57.0,53.0,,,,,,169.2,78.7,,,,83.6,95.9,23.0,,20.8,,0.0,-5.0,-42.0,,,,,4.9,,-21.3,,,72.3,49.0,-40.7,,40.0,86.0,,-11.0,-13.6,,,,-12.0,-16.0,,,,,,100.2,9.7,,,,14.6,26.9,,True,,True,True,False,,,,,True,,True,,,False,False,False,,False,False,,True,True,,,,True,True,,,,,,False,True,,,,True,False
01019,28,22.0,,19.9,,19.0,19.0,10.0,,,,,31.6,,24.3,,,26.5,97.0,4.6,,42.7,,,1.0,12.6,,,,11.0,21.0,,,,,,,28.5,,,,18.8,30.7,-6.0,,-8.1,,-9.0,-9.0,-18.0,,,,,3.6,,-3.7,,,-1.5,69.0,-23.4,,14.7,,,-27.0,-15.4,,,,-17.0,-7.0,,,,,,,0.5,,,,-9.2,2.7,,False,,False,False,False,,,,,True,,True,,,True,False,False,,False,,,False,False,,,,False,False,,,,,,,True,,,,False,True
01021,134,118.0,,124.5,,110.0,87.0,169.0,,,,,76.8,,55.8,,,160.8,196.0,266.3,,118.9,168.0,,86.0,83.0,,,,126.0,101.0,,,,,,125.6,71.6,,,,111.6,108.6,-16.0,,-9.5,,-24.0,-47.0,35.0,,,,,-57.2,,-78.2,,,26.8,62.0,132.3,,-15.1,34.0,,-48.0,-51.0,,,,-8.0,-33.0,,,,,,-8.4,-62.4,,,,-22.4,-25.4,,True,,False,False,False,,,,,False,,False,,,False,False,False,,True,False,,False,False,,,,True,False,,,,,,True,False,,,,False,False
01023,11,6.0,,5.6,,6.0,4.0,0.0,,,,,10.9,,6.3,,,18.1,47.0,1.0,,12.7,,,0.0,0.8,,,,3.0,13.0,,,,,,,12.8,,,,8.4,16.9,-5.0,,-5.4,,-5.0,-7.0,-11.0,,,,,-0.1,,-4.7,,,7.1,36.0,-10.0,,1.7,,,-11.0,-10.2,,,,-8.0,2.0,,,,,,,1.8,,,,-2.6,5.9,,False,,False,False,False,,,,,True,,True,,,False,False,False,,True,,,False,False,,,,False,True,,,,,,,True,,,,True,False
01025,27,68.0,,66.0,,69.0,48.0,82.0,,,,,77.4,,7.8,,,95.3,92.0,10.8,,113.4,,,3.0,35.0,,,,28.0,55.0,,,,,,62.7,66.4,,,,62.8,125.6,41.0,,39.0,,42.0,21.0,55.0,,,,,50.4,,-19.2,,,68.3,65.0,-16.2,,86.4,,,-24.0,8.0,,,,1.0,28.0,,,,,,35.7,39.4,,,,35.8,98.6,,True,,False,True,False,,,,,False,,True,,,False,False,True,,False,,,True,True,,,,True,True,,,,,,True,True,,,,True,False
