,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,96,156.0,,163.6,,108.0,124.0,139.0,,,,,60.5,,,95.6,,,114.0,63.9,,66.5,55.0,,185.0,105.8,,,,134.0,100.0,,,,,,,163.2,,,,68.1,127.4,60.0,,67.6,,12.0,28.0,43.0,,,,,-35.5,,,-0.4,,,18.0,-32.1,,-29.5,-41.0,,89.0,9.8,,,,38.0,4.0,,,,,,,67.2,,,,-27.9,31.4,,False,,True,True,True,,,,,True,,,True,,,True,True,,True,True,,False,True,,,,True,True,,,,,,,False,,,,True,True
01003,201,322.0,,347.5,,236.0,216.0,207.0,,,,,202.1,,,106.2,,,419.0,313.0,,251.5,226.5,,167.0,209.7,,,,241.0,220.0,,,,,,,275.2,204.0,,,223.1,265.7,121.0,,146.5,,35.0,15.0,6.0,,,,,1.1,,,-94.8,,,218.0,112.0,,50.5,25.5,,-34.0,8.7,,,,40.0,19.0,,,,,,,74.2,3.0,,,22.1,64.7,,False,,True,True,True,,,,,True,,,True,,,False,True,,True,True,,True,True,,,,True,True,,,,,,,True,True,,,True,True
01005,26,46.0,,44.6,,28.0,29.0,21.0,,,,,19.3,,,40.0,,,44.0,24.2,,23.6,,,30.0,28.0,,,,43.0,28.0,,,,,,,53.8,,,,43.9,37.1,20.0,,18.6,,2.0,3.0,-5.0,,,,,-6.7,,,14.0,,,18.0,-1.8,,-2.4,,,4.0,2.0,,,,17.0,2.0,,,,,,,27.8,,,,17.9,11.1,,True,,True,True,True,,,,,True,,,True,,,True,True,,True,,,True,True,,,,True,True,,,,,,,False,,,,True,True
01007,15,35.0,,31.4,,23.0,19.0,15.0,,,,,19.8,,,21.4,,,39.0,15.0,,19.7,,,12.0,19.1,,,,25.0,23.0,,,,,,,35.0,,,,32.6,31.6,20.0,,16.4,,8.0,4.0,0.0,,,,,4.8,,,6.4,,,24.0,0.0,,4.7,,,-3.0,4.1,,,,10.0,8.0,,,,,,,20.0,,,,17.6,16.6,,True,,True,True,True,,,,,True,,,True,,,False,True,,True,,,True,True,,,,True,True,,,,,,,False,,,,True,True
01009,157,55.0,,61.1,,59.0,48.0,56.0,,,,,49.9,,,66.2,,,120.0,57.7,,45.4,45.0,,37.0,42.1,,,,53.0,45.0,,,,,,,47.3,,,,66.9,70.4,-102.0,,-95.9,,-98.0,-109.0,-101.0,,,,,-107.1,,,-90.8,,,-37.0,-99.3,,-111.6,-112.0,,-120.0,-114.9,,,,-104.0,-112.0,,,,,,,-109.7,,,,-90.1,-86.6,,True,,True,False,True,,,,,False,,,True,,,True,True,,False,False,,False,False,,,,False,False,,,,,,,False,,,,True,True
01011,10,18.0,,18.0,,12.0,9.0,7.0,,,,,9.7,,,23.0,,,15.0,7.4,,11.0,,,3.0,11.3,,,,10.0,12.0,,,,,,,20.8,,,,14.0,16.3,8.0,,8.0,,2.0,-1.0,-3.0,,,,,-0.3,,,13.0,,,5.0,-2.6,,1.0,,,-7.0,1.3,,,,0.0,2.0,,,,,,,10.8,,,,4.0,6.3,,False,,True,True,True,,,,,True,,,False,,,True,True,,True,,,True,True,,,,True,True,,,,,,,False,,,,True,True
01013,61,18.0,,20.2,,19.0,20.0,16.0,,,,,18.1,,,24.0,,,36.0,38.7,,17.5,,,17.0,20.4,,,,16.0,15.0,,,,,,,29.6,,,,10.0,18.6,-43.0,,-40.8,,-42.0,-41.0,-45.0,,,,,-42.9,,,-37.0,,,-25.0,-22.3,,-43.5,,,-44.0,-40.6,,,,-45.0,-46.0,,,,,,,-31.4,,,,-51.0,-42.4,,True,,True,True,False,,,,,True,,,True,,,True,True,,False,,,False,True,,,,False,False,,,,,,,True,,,,False,True
01015,729,317.0,,322.6,,233.0,195.0,281.0,,,,,127.0,,,151.5,,,225.0,282.1,,135.2,171.5,,159.0,241.6,,,,282.0,219.0,,,,,,,274.6,,,,318.9,209.2,-412.0,,-406.4,,-496.0,-534.0,-448.0,,,,,-602.0,,,-577.5,,,-504.0,-446.9,,-593.8,-557.5,,-570.0,-487.4,,,,-447.0,-510.0,,,,,,,-454.4,,,,-410.1,-519.8,,True,,False,False,False,,,,,False,,,False,,,False,False,,False,False,,False,False,,,,False,False,,,,,,,False,,,,True,False
01017,26,42.0,,43.7,,38.0,35.0,42.0,,,,,31.5,,,37.0,,,56.0,38.1,,27.1,22.0,,31.0,33.4,,,,33.0,29.0,,,,,,,43.0,,,,32.8,45.7,16.0,,17.7,,12.0,9.0,16.0,,,,,5.5,,,11.0,,,30.0,12.1,,1.1,-4.0,,5.0,7.4,,,,7.0,3.0,,,,,,,17.0,,,,6.8,19.7,,False,,True,True,False,,,,,True,,,True,,,False,True,,True,True,,True,True,,,,True,True,,,,,,,False,,,,True,False
01019,13,15.0,,14.7,,11.0,11.0,0.0,,,,,13.7,,,28.1,,,50.0,6.5,,12.8,,,3.0,11.5,,,,9.0,10.0,,,,,,,15.0,,,,14.6,15.5,2.0,,1.7,,-2.0,-2.0,-13.0,,,,,0.7,,,15.1,,,37.0,-6.5,,-0.2,,,-10.0,-1.5,,,,-4.0,-3.0,,,,,,,2.0,,,,1.6,2.5,,True,,False,False,False,,,,,True,,,False,,,False,False,,True,,,False,True,,,,False,False,,,,,,,False,,,,True,False
01021,43,91.0,,94.1,,58.0,51.0,62.0,,,,,35.9,,,25.2,,,94.0,48.0,,37.7,45.5,,50.0,50.5,,,,74.0,55.0,,,,,,,57.0,,,,79.5,65.9,48.0,,51.1,,15.0,8.0,19.0,,,,,-7.1,,,-17.8,,,51.0,5.0,,-5.3,2.5,,7.0,7.5,,,,31.0,12.0,,,,,,,14.0,,,,36.5,22.9,,False,,True,True,True,,,,,True,,,True,,,False,True,,True,True,,True,True,,,,True,True,,,,,,,True,,,,True,True
01023,7,4.0,,3.9,,4.0,4.0,0.0,,,,,4.8,,,6.7,,,19.0,3.0,,3.9,,,5.0,1.2,,,,,5.0,,,,,,,9.4,,,,3.9,5.2,-3.0,,-3.1,,-3.0,-3.0,-7.0,,,,,-2.2,,,-0.3,,,12.0,-4.0,,-3.1,,,-2.0,-5.8,,,,,-2.0,,,,,,,2.4,,,,-3.1,-1.8,,False,,False,False,False,,,,,True,,,True,,,False,False,,False,,,True,False,,,,,True,,,,,,,True,,,,False,True
01025,9,18.0,,22.4,,15.0,17.0,9.0,,,,,30.3,,,27.1,,,41.0,10.1,,30.1,,,0.0,14.4,,,,9.0,15.0,,,,,,,33.2,,,,5.8,37.0,9.0,,13.4,,6.0,8.0,0.0,,,,,21.3,,,18.1,,,32.0,1.1,,21.1,,,-9.0,5.4,,,,0.0,6.0,,,,,,,24.2,,,,-3.2,28.0,,False,,True,True,True,,,,,False,,,False,,,False,True,,False,,,False,True,,,,True,True,,,,,,,False,,,,True,False
01027,24,22.0,,22.2,,19.0,18.0,27.0,,,,,12.0,,,22.4,,,27.0,20.0,,10.0,,,19.0,19.0,,,,20.0,18.0,,,,,,,26.4,,,,25.7,17.2,-2.0,,-1.8,,-5.0,-6.0,3.0,,,,,-12.0,,,-1.6,,,3.0,-4.0,,-14.0,,,-5.0,-5.0,,,,-4.0,-6.0,,,,,,,2.4,,,,1.7,-6.8,,True,,False,False,False,,,,,False,,,True,,,False,False,,False,,,False,False,,,,False,False,,,,,,,False,,,,True,False
01029,28,22.0,,19.0,,18.0,19.0,7.0,,,,,11.6,,,11.2,,,32.0,18.5,,12.2,,,25.0,16.8,,,,21.0,18.0,,,,,,,24.1,,,,18.0,17.2,-6.0,,-9.0,,-10.0,-9.0,-21.0,,,,,-16.4,,,-16.8,,,4.0,-9.5,,-15.8,,,-3.0,-11.2,,,,-7.0,-10.0,,,,,,,-3.9,,,,-10.0,-10.8,,False,,False,False,False,,,,,False,,,False,,,True,False,,False,,,True,False,,,,False,False,,,,,,,True,,,,False,False
01031,30,40.0,,43.2,,38.0,38.0,18.0,,,,,41.4,,,17.6,,,145.0,37.3,,54.9,28.0,,19.0,36.9,,,,23.0,32.0,,,,,,,42.6,,,,26.4,56.8,10.0,,13.2,,8.0,8.0,-12.0,,,,,11.4,,,-12.4,,,115.0,7.3,,24.9,-2.0,,-11.0,6.9,,,,-7.0,2.0,,,,,,,12.6,,,,-3.6,26.8,,False,,True,True,False,,,,,False,,,False,,,False,True,,False,True,,False,True,,,,True,True,,,,,,,False,,,,True,False
01033,18,35.0,,41.8,,35.0,27.0,6.0,,,,,45.0,,,0.0,,,69.0,23.9,,46.4,48.0,,1.0,22.7,,,,29.0,54.0,,,,,,,41.7,,,,23.8,57.6,17.0,,23.8,,17.0,9.0,-12.0,,,,,27.0,,,-18.0,,,51.0,5.9,,28.4,30.0,,-17.0,4.7,,,,11.0,36.0,,,,,,,23.7,,,,5.8,39.6,,False,,False,True,True,,,,,False,,,False,,,False,True,,False,False,,False,True,,,,True,False,,,,,,,False,,,,True,False
