,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,1896,1344.9,2308.4,456.0,-551.1,412.4,-1440.0,True,False
Alaska,28,9.0,5.0,,-19.0,-23.0,,False,
Arizona,4492,1654.6,1042.9,645.0,-2837.4,-3449.1,-3847.0,False,False
Arkansas,600,447.4,171.3,284.0,-152.6,-428.7,-316.0,False,False
California,11218,9510.9,4666.4,4496.0,-1707.1,-6551.6,-6722.0,False,False
Colorado,1896,3130.0,1335.5,1329.0,1234.0,-560.5,-567.0,True,True
Connecticut,4453,10042.9,4046.8,3454.0,5589.9,-406.2,-999.0,True,True
Delaware,593,1023.9,542.2,339.0,430.9,-50.8,-254.0,True,True
District of Columbia,597,1335.6,555.6,499.0,738.6,-41.4,-98.0,True,True
Florida,9345,5895.6,3971.4,2438.0,-3449.4,-5373.6,-6907.0,False,False
Georgia,4669,5165.7,4913.4,2487.0,496.7,244.4,-2182.0,True,False
Hawaii,40,61.6,24.2,,21.6,-15.8,,True,
Idaho,269,182.9,83.1,72.0,-86.1,-185.9,-197.0,False,False
Illinois,7937,12795.1,6353.0,5277.0,4858.1,-1584.0,-2660.0,True,True
Indiana,3128,5871.4,6247.6,1865.0,2857.4,3233.6,-1149.0,False,True
Iowa,975,1164.6,1512.9,1682.0,189.6,537.9,707.0,False,False
Kansas,406,485.7,264.3,1663.0,79.7,-141.7,1257.0,False,False
Kentucky,810,921.6,537.0,371.0,111.6,-273.0,-439.0,False,False
Louisiana,4430,6216.6,2821.9,2733.0,1786.6,-1608.1,-1697.0,True,True
Maine,127,161.0,84.6,61.0,34.0,-42.4,-66.0,False,False
Maryland,3636,6793.0,2189.6,2164.0,3157.0,-1446.4,-1472.0,True,True
Massachusetts,8826,20421.1,7696.7,7947.0,11595.1,-1129.3,-879.0,True,True
Michigan,6586,15017.6,7080.4,5094.0,8636.6,699.4,-1287.0,True,True
Minnesota,1705,2587.1,2183.1,2213.0,882.1,478.1,508.0,True,True
Mississippi,2080,1432.1,483.4,375.0,-647.9,-1596.6,-1705.0,False,False
Missouri,1378,1837.0,1243.3,1002.0,562.0,-31.7,-273.0,True,True
Montana,82,45.7,13.2,16.0,-36.3,-68.8,-66.0,False,False
Nebraska,361,404.9,379.7,2255.0,43.9,18.7,1894.0,True,False
Nevada,1069,1030.6,480.2,515.0,-38.4,-588.8,-554.0,False,False
New Hampshire,423,472.3,168.2,179.0,49.3,-254.8,-244.0,False,False
New Jersey,15910,36589.9,16043.9,11855.0,22264.9,1718.9,-2470.0,True,True
New Mexico,711,923.6,430.1,444.0,212.6,-280.9,-267.0,False,False
New York,32809,60944.6,32131.5,25850.0,28911.6,98.5,-6183.0,True,True
North Carolina,2343,2068.3,1168.7,798.0,-274.7,-1174.3,-1545.0,False,False
North Dakota,121,143.9,37.7,425.0,22.9,-83.3,304.0,False,False
Ohio,3824,5659.6,2551.7,1632.0,1835.6,-1272.3,-2192.0,True,False
Oklahoma,657,876.9,494.4,654.0,219.9,-162.6,-3.0,True,True
Oregon,386,361.6,193.0,153.0,-24.4,-193.0,-233.0,False,False
Pennsylvania,7451,16150.9,8606.6,4594.0,8699.9,1155.6,-2857.0,True,True
Rhode Island,1027,1716.6,485.4,962.0,745.6,-485.6,-9.0,True,True
South Carolina,2260,1775.6,1112.1,291.0,-484.4,-1147.9,-1969.0,False,False
South Dakota,152,169.6,279.3,1525.0,17.6,127.3,1373.0,False,False
Tennessee,1345,640.9,562.6,1101.0,-704.1,-782.4,-244.0,False,True
Texas,10421,4250.6,3631.9,6603.0,-6069.4,-6688.1,-3717.0,False,True
Utah,363,183.7,85.8,190.0,-179.3,-277.2,-173.0,False,True
Vermont,58,157.0,53.6,59.0,99.0,-4.4,1.0,True,True
Virginia,2381,3794.9,1198.2,1295.0,1413.9,-1182.8,-1086.0,True,True
Washington,1791,2096.9,1159.3,1287.0,345.9,-591.7,-464.0,False,False
West Virginia,160,256.0,120.7,72.0,96.0,-39.3,-88.0,True,True
Wisconsin,1094,1334.4,717.1,1046.0,286.4,-330.9,-2.0,False,True
Wyoming,30,7.0,6.0,7.0,-23.0,-24.0,-23.0,False,False
US,169697,257868.3,134475.2,112754.0,91197.3,-32195.8,-53917.0,True,True
