,total_deaths_2020-06-07,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
YYG-ParamSearch,113602,169334.4,169575,58820.4,55973,2847.4,5.1%
Baseline,113602,170967.9,169575,60453.9,55973,4480.9,8.0%
IHME-CurveFit,113602,151886.2,169575,41372.2,55973,-14600.8,-26.1%
UCLA-SuEIR,113602,133016.7,169575,22502.7,55973,-33470.3,-59.8%
IowaStateLW-STEM,113602,132600.0,169575,22086.0,55973,-33887.0,-60.5%
Covid19Sim-Simulator,113602,131131.7,169575,20617.7,55973,-35355.3,-63.2%
USACE-ERDC_SEIR,113602,131004.8,169575,20490.8,55973,-35482.2,-63.4%
