,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR
Alabama,1896,1298.0,1051.8,681.0,1079.9,1022.7,-598.0,-844.2,-1215.0,-816.1,-873.3,False,False,False,False
Alaska,28,10.0,11.3,,11.4,11.8,-18.0,-16.7,,-16.6,-16.2,True,,True,True
Arizona,4492,2235.7,1926.4,1526.0,2011.2,1770.7,-2256.3,-2565.6,-2966.0,-2480.8,-2721.3,False,False,False,False
Arkansas,600,329.4,276.8,881.0,323.2,283.4,-270.6,-323.2,281.0,-276.8,-316.6,False,False,False,False
California,11218,9848.6,6333.9,6712.0,6812.1,7854.2,-1370.4,-4885.1,-4507.0,-4406.9,-3364.8,False,False,False,False
Colorado,1896,2719.3,1789.0,1991.0,2468.3,1879.8,823.3,-107.0,95.0,572.3,-16.2,True,True,True,True
Connecticut,4453,7072.3,4705.1,4199.0,5052.1,4041.6,2619.3,252.1,-254.0,599.1,-411.4,True,True,True,True
Delaware,608,752.9,477.4,435.0,484.8,408.8,267.9,-7.6,-50.0,-0.2,-76.2,True,True,True,True
District of Columbia,597,1013.0,572.6,679.0,931.1,569.8,416.0,-24.4,82.0,334.1,-27.2,True,True,True,True
Florida,9345,5367.3,3045.6,2992.0,4187.6,2810.7,-3977.7,-6299.4,-6353.0,-5157.4,-6534.3,False,False,False,False
Georgia,4669,4400.0,2563.0,2456.0,2449.2,2145.6,-269.0,-2106.0,-2213.0,-2219.8,-2523.4,False,False,False,False
Hawaii,40,17.0,18.1,,19.3,19.0,-23.0,-21.9,,-20.7,-21.0,True,,True,True
Idaho,269,150.1,115.1,89.0,98.6,91.7,-118.9,-153.9,-180.0,-170.4,-177.3,False,False,False,False
Illinois,7937,12907.0,7731.2,7836.0,9086.2,7045.5,4970.0,-205.8,-101.0,1149.2,-891.5,True,True,True,True
Indiana,3068,4643.9,2651.6,2806.0,2695.4,2761.9,1574.9,-417.4,-263.0,-373.6,-307.1,True,True,True,True
Iowa,975,1701.0,691.6,742.0,866.0,543.1,726.0,-283.4,-233.0,-109.0,-431.9,True,True,True,True
Kansas,406,323.6,333.6,395.0,353.3,224.0,-82.4,-72.4,-11.0,-52.7,-182.0,True,True,True,False
Kentucky,810,1066.9,536.2,480.0,698.1,813.1,256.9,-273.8,-330.0,-111.9,3.1,False,False,True,True
Louisiana,4430,5062.4,3282.8,4180.0,3245.7,2912.3,632.4,-1147.2,-250.0,-1184.3,-1517.7,False,True,False,False
Maine,127,172.9,146.3,276.0,101.1,167.1,45.9,19.3,149.0,-25.9,40.1,True,False,True,True
Maryland,3636,5656.3,3979.7,3518.0,4068.1,3924.5,2020.3,343.7,-118.0,432.1,288.5,True,True,True,True
Massachusetts,8826,13189.9,8125.3,8476.0,9273.4,7010.3,4363.9,-700.7,-350.0,447.4,-1815.7,True,True,True,True
Michigan,6586,9223.9,6080.8,6199.0,6370.9,5883.1,2875.9,-267.2,-149.0,22.9,-464.9,True,True,True,True
Minnesota,1705,2621.0,1911.6,7544.0,1843.3,1322.4,916.0,206.6,5839.0,138.3,-382.6,True,False,True,True
Mississippi,2080,1858.1,1308.0,1052.0,1045.0,955.2,-221.9,-772.0,-1028.0,-1035.0,-1124.8,False,False,False,False
Missouri,1398,1705.7,856.3,1056.0,1541.3,926.5,394.7,-454.7,-255.0,230.3,-384.5,False,True,True,True
Montana,82,16.0,17.0,17.0,21.3,17.5,-66.0,-65.0,-65.0,-60.7,-64.5,True,True,True,True
Nebraska,361,431.6,399.7,424.0,370.0,166.1,70.6,38.7,63.0,9.0,-194.9,True,True,True,False
Nevada,1069,735.7,481.2,587.0,562.2,559.2,-333.3,-587.8,-482.0,-506.8,-509.8,False,False,False,False
New Hampshire,423,647.7,257.8,323.0,493.3,376.0,224.7,-165.2,-100.0,70.3,-47.0,True,True,True,True
New Jersey,15910,20327.3,12729.9,13164.0,14131.1,11643.3,6206.3,-1391.1,-957.0,10.1,-2477.7,True,True,True,True
New Mexico,711,933.6,453.4,525.0,646.1,548.2,222.6,-257.6,-186.0,-64.9,-162.8,False,True,True,True
New York,32809,39919.1,32325.3,32445.0,32110.9,29348.8,8094.1,500.3,620.0,285.9,-2476.2,True,True,True,True
North Carolina,2343,1946.0,1697.6,1650.0,1831.8,2022.4,-397.0,-645.4,-693.0,-511.2,-320.6,False,False,False,True
North Dakota,121,171.6,126.3,1050.0,104.6,123.5,50.6,5.3,929.0,-16.4,2.5,True,False,True,True
Ohio,3501,6047.9,3145.7,2567.0,3231.6,3594.0,2518.9,-383.3,-962.0,-297.4,65.0,True,True,True,True
Oklahoma,657,583.7,408.8,1066.0,391.2,541.3,-73.3,-248.2,409.0,-265.8,-115.7,False,False,False,False
Oregon,386,278.4,182.8,159.0,221.3,268.5,-107.6,-203.2,-227.0,-164.7,-117.5,False,False,False,False
Pennsylvania,7451,12736.4,6417.7,5825.0,8220.8,5715.8,5285.4,-1033.3,-1626.0,769.8,-1735.2,True,True,True,True
Rhode Island,1045,1900.4,764.0,867.0,967.9,621.3,1004.4,-132.0,-29.0,71.9,-274.7,True,True,True,True
South Carolina,2260,1027.9,630.4,652.0,953.8,726.0,-1232.1,-1629.6,-1608.0,-1306.2,-1534.0,False,False,False,False
South Dakota,152,121.1,133.5,356.0,81.8,63.7,-30.9,-18.5,204.0,-70.2,-88.3,True,False,False,False
Tennessee,1345,786.6,729.2,702.0,448.5,543.8,-558.4,-615.8,-643.0,-896.5,-801.2,False,False,False,False
Texas,10629,3721.6,3219.3,5322.0,2868.9,3143.9,-6752.4,-7254.7,-5152.0,-7605.1,-7330.1,False,True,False,False
Utah,363,298.6,320.4,125.0,235.6,194.4,-64.4,-42.6,-238.0,-127.4,-168.6,True,False,False,False
Vermont,58,54.0,56.4,55.0,70.6,56.3,-4.0,-1.6,-3.0,12.6,-1.7,True,True,False,True
Virginia,2381,3080.0,2055.0,1716.0,2006.4,2213.1,699.0,-326.0,-665.0,-374.6,-167.9,True,True,True,True
Washington,1791,1772.4,1316.5,1238.0,1267.3,1282.7,4.4,-451.5,-530.0,-500.7,-485.3,False,False,False,False
West Virginia,160,131.3,95.5,75.0,148.7,140.0,-28.7,-64.5,-85.0,-11.3,-20.0,False,False,True,True
Wisconsin,1094,1185.9,912.7,1235.0,860.9,1156.5,145.9,-127.3,195.0,-179.1,116.5,True,False,False,True
Wyoming,30,59.4,24.0,13.0,14.4,63.4,29.4,-6.0,-17.0,-15.6,33.4,True,True,True,False
US,169575,194450.6,129635.5,139644.0,130807.4,122528.6,28447.6,-36367.5,-26359.0,-35195.6,-43474.4,False,True,False,False
