,actual_deaths,Baseline,IowaStateLW-STEM,error-Baseline,error-IowaStateLW-STEM,beat_baseline-IowaStateLW-STEM
Alabama,1896,1202.1,334.0,-693.9,-1562.0,False
Alaska,28,9.0,,-19.0,,
Arizona,4492,1718.0,591.0,-2774.0,-3901.0,False
Arkansas,600,241.3,188.0,-358.7,-412.0,False
California,11218,10414.7,3451.0,-803.3,-7767.0,False
Colorado,1896,4937.7,1573.0,3041.7,-323.0,True
Connecticut,4453,14562.1,3787.0,10109.1,-666.0,True
Delaware,608,960.4,482.0,402.4,-76.0,True
District of Columbia,597,1478.3,452.0,881.3,-145.0,True
Florida,9345,5848.0,2184.0,-3497.0,-7161.0,False
Georgia,4669,4547.3,2142.0,-121.7,-2527.0,False
Hawaii,40,77.4,,37.4,,
Idaho,269,246.3,102.0,-22.7,-167.0,False
Illinois,7937,12129.1,4907.0,4192.1,-3030.0,True
Indiana,3068,4793.1,1457.0,1905.1,-1431.0,True
Iowa,975,799.9,560.0,-175.1,-415.0,False
Kansas,406,565.0,1013.0,159.0,607.0,False
Kentucky,810,1191.1,331.0,381.1,-479.0,False
Louisiana,4430,8595.1,2979.0,4165.1,-1451.0,True
Maine,127,303.7,70.0,176.7,-57.0,True
Maryland,3636,8029.9,2339.0,4393.9,-1297.0,True
Massachusetts,8826,21816.6,6626.0,12990.6,-2200.0,True
Michigan,6586,17967.0,5159.0,11571.0,-1237.0,True
Minnesota,1705,2460.3,531.0,755.3,-1174.0,False
Mississippi,2080,1305.3,400.0,-774.7,-1680.0,False
Missouri,1398,1615.0,742.0,308.0,-565.0,False
Montana,82,77.4,20.0,-4.6,-62.0,False
Nebraska,361,500.0,898.0,139.0,537.0,False
Nevada,1069,967.1,521.0,-101.9,-548.0,False
New Hampshire,423,408.9,119.0,-14.1,-304.0,False
New Jersey,15910,30928.9,13343.0,16410.9,-1175.0,True
New Mexico,711,796.7,193.0,85.7,-518.0,False
New York,32809,80734.3,31877.0,48566.3,-291.0,True
North Carolina,2343,2290.3,541.0,-52.7,-1802.0,False
North Dakota,121,143.9,53.0,22.9,-68.0,False
Ohio,3501,4803.3,1891.0,1475.3,-1437.0,True
Oklahoma,657,1067.1,299.0,410.1,-358.0,True
Oregon,386,377.4,148.0,-8.6,-238.0,False
Pennsylvania,7451,10378.9,3974.0,2927.9,-3477.0,False
Rhode Island,1045,1431.1,970.0,450.1,-11.0,True
South Carolina,2260,1030.3,367.0,-1229.7,-1893.0,False
South Dakota,152,74.4,246.0,-77.6,94.0,False
Tennessee,1345,704.3,1275.0,-640.7,-70.0,True
Texas,10629,3204.0,3797.0,-7290.0,-6697.0,True
Utah,363,263.0,234.0,-100.0,-129.0,False
Vermont,58,172.9,53.0,114.9,-5.0,True
Virginia,2381,3176.4,1592.0,795.4,-789.0,True
Washington,1791,2540.9,1254.0,799.9,-487.0,True
West Virginia,160,287.7,295.0,127.7,135.0,False
Wisconsin,1094,1096.6,459.0,40.6,-597.0,False
Wyoming,30,86.3,13.0,56.3,-17.0,True
US,169575,275866.1,,109295.1,,
