,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1896,1490.4,1582.7,2255.0,1027.0,,1406.3,1652.3,1736.9,-405.6,-313.3,359.0,-869.0,,-489.7,-243.7,-159.1,True,True,False,,False,True,True
Alaska,28,29.7,20.8,22.3,,,13.8,30.6,13.6,1.7,-7.2,-5.7,,,-14.2,2.6,-14.4,False,False,,,False,False,False
Arizona,4492,2431.0,4746.0,4531.8,2730.0,,2380.5,4882.2,2968.2,-2061.0,254.0,39.8,-1762.0,,-2111.5,390.2,-1523.8,True,True,True,,False,True,True
Arkansas,600,400.4,499.6,703.3,744.0,,466.9,548.9,491.8,-199.6,-100.4,103.3,144.0,,-133.1,-51.1,-108.2,True,True,True,,True,True,True
California,11218,9235.3,8887.4,9413.7,7219.0,,7426.7,10039.5,10970.3,-1982.7,-2330.6,-1804.3,-3999.0,,-3791.3,-1178.5,-247.7,False,True,False,,False,True,True
Colorado,1896,2226.9,1960.1,3307.1,1751.0,,1874.3,1864.2,2409.2,330.9,64.1,1411.1,-145.0,,-21.7,-31.8,513.2,True,False,True,,True,True,False
Connecticut,4453,5352.4,4695.7,4400.4,4504.0,,4638.7,4367.2,4979.7,899.4,242.7,-52.6,51.0,,185.7,-85.8,526.7,True,True,True,,True,True,True
Delaware,593,634.6,521.0,528.5,483.0,,512.9,481.6,634.7,41.6,-72.0,-64.5,-110.0,,-80.1,-111.4,41.7,False,False,False,,False,False,False
District of Columbia,597,745.3,651.9,625.9,653.0,,623.7,591.7,681.7,148.3,54.9,28.9,56.0,,26.7,-5.3,84.7,True,True,True,,True,True,True
Florida,9345,4977.0,5631.1,7508.2,5544.0,,4627.9,5652.0,6085.4,-4368.0,-3713.9,-1836.8,-3801.0,,-4717.1,-3693.0,-3259.6,True,True,True,,False,True,True
Georgia,4669,4851.3,3241.2,5507.3,2937.0,,4076.1,3184.4,4634.6,182.3,-1427.8,838.3,-1732.0,,-592.9,-1484.6,-34.4,False,False,False,,False,False,True
