,mean_rank
COVIDhub-ensemble,9.4
CMU-TimeSeries,9.5
YYG-ParamSearch,10.9
COVIDhub-baseline,11.7
UA-EpiCovDA,11.9
OliverWyman-Navigator,11.9
UMass-MechBayes,11.9
USC-SI_kJalpha,12.6
LNQ-ens1,12.9
CovidAnalytics-DELPHI,13.1
JCB-PRM,13.1
UCLA-SuEIR,13.5
Karlen-pypm,13.7
Covid19Sim-Simulator,13.7
MOBS-GLEAM_COVID,14.3
GT-DeepCOVID,14.6
LANL-GrowthRate,15.4
IowaStateLW-STEM,15.5
UT-Mobility,16.1
DDS-NBDS,16.2
IHME-CurveFit,16.5
MITCovAlliance-SIR,17.1
NotreDame-mobility,17.6
CU-select,17.9
RobertWalraven-ESG,18.0
USACE-ERDC_SEIR,18.4
PSI-DRAFT,19.1
JHU_IDD-CovidSP,19.7
