,actual_deaths,Baseline,IHME-CurveFit,UCLA-SuEIR,error-Baseline,error-IHME-CurveFit,error-UCLA-SuEIR,beat_baseline-IHME-CurveFit,beat_baseline-UCLA-SuEIR
Alabama,1896,1820.3,1553.7,786.5,-75.7,-342.3,-1109.5,False,False
Alaska,28,23.9,5.0,14.8,-4.1,-23.0,-13.2,False,False
Arizona,4492,2947.1,2987.2,1215.4,-1544.9,-1504.8,-3276.6,True,False
Arkansas,600,298.9,213.3,323.9,-301.1,-386.7,-276.1,False,True
California,11218,9644.6,6086.4,7408.2,-1573.4,-5131.6,-3809.8,False,False
Colorado,1896,2758.6,1676.0,1872.5,862.6,-220.0,-23.5,True,True
Connecticut,4453,10325.1,4574.7,4474.1,5872.1,121.7,21.1,True,True
Delaware,593,830.7,412.8,469.3,237.7,-180.2,-123.7,True,True
District of Columbia,597,1320.7,536.4,588.2,723.7,-60.6,-8.8,True,True
Florida,9345,6460.1,5439.7,2797.7,-2884.9,-3905.3,-6547.3,False,False
Georgia,4669,4482.3,3596.1,2901.8,-186.7,-1072.9,-1767.2,False,False
Hawaii,40,17.0,19.0,25.8,-23.0,-21.0,-14.2,True,True
Idaho,269,108.6,75.1,114.1,-160.4,-193.9,-154.9,False,True
Illinois,7937,14325.4,7395.4,6881.4,6388.4,-541.6,-1055.6,True,True
Indiana,3128,6718.3,4091.2,2814.0,3590.3,963.2,-314.0,True,True
Iowa,975,1387.4,914.7,2585.1,412.4,-60.3,1610.1,True,False
Kansas,406,589.7,411.4,1157.5,183.7,5.4,751.5,True,False
Kentucky,810,1010.7,703.0,736.3,200.7,-107.0,-73.7,True,True
Louisiana,4430,6082.9,3232.5,3532.5,1652.9,-1197.5,-897.5,True,True
Maine,127,161.0,91.6,136.3,34.0,-35.4,9.3,False,True
Maryland,3636,6674.1,2606.4,3129.8,3038.1,-1029.6,-506.2,True,True
Massachusetts,8826,18489.7,7544.9,7664.9,9663.7,-1281.1,-1161.1,True,True
Michigan,6586,11511.3,6216.6,6676.0,5153.3,-141.4,318.0,True,True
Minnesota,1705,2795.1,2073.3,1821.3,1090.1,368.3,116.3,True,True
Mississippi,2080,2189.9,1235.8,779.8,109.9,-844.2,-1300.2,False,False
Missouri,1378,2193.6,1983.6,856.7,917.6,707.6,-419.3,True,True
Montana,82,16.0,14.0,23.2,-66.0,-68.0,-58.8,False,True
Nebraska,361,256.3,218.1,912.4,-104.7,-142.9,551.4,False,False
Nevada,1069,1030.6,511.4,524.0,-38.4,-557.6,-545.0,False,False
New Hampshire,423,784.3,227.8,299.9,361.3,-195.2,-123.1,True,True
New Jersey,15910,28448.1,14752.1,14070.9,14244.1,548.1,-133.1,True,True
New Mexico,711,879.0,381.7,353.5,168.0,-329.3,-357.5,False,False
New York,32809,53426.9,31620.5,39155.7,21603.9,-202.5,7332.7,True,True
North Carolina,2343,2365.4,1190.4,1018.7,22.4,-1152.6,-1324.3,False,False
North Dakota,121,173.6,80.9,104.7,52.6,-40.1,-16.3,True,True
Ohio,3824,5525.9,2959.6,2462.5,1701.9,-864.4,-1361.5,True,True
Oklahoma,657,743.1,470.2,492.8,86.1,-186.8,-164.2,False,False
Oregon,386,376.4,203.8,259.3,-9.6,-182.2,-126.7,False,False
Pennsylvania,7451,18854.9,10742.4,5445.8,11403.9,3291.4,-2005.2,True,True
Rhode Island,1027,1835.4,675.0,898.7,866.4,-294.0,-70.3,True,True
South Carolina,2260,1107.0,743.9,570.1,-1153.0,-1516.1,-1689.9,False,False
South Dakota,152,214.1,166.8,71.0,62.1,14.8,-81.0,True,False
Tennessee,1345,700.3,506.8,547.0,-644.7,-838.2,-798.0,False,False
Texas,10273,4087.1,2567.1,2263.0,-6121.9,-7641.9,-7946.0,False,False
Utah,363,302.6,149.5,139.9,-60.4,-213.5,-223.1,False,False
Vermont,58,53.0,52.3,79.1,-5.0,-5.7,21.1,False,False
Virginia,2381,3319.4,1396.1,1918.1,938.4,-984.9,-462.9,False,True
Washington,1766,2275.1,1120.1,1419.0,509.1,-645.9,-347.0,False,True
West Virginia,160,137.1,78.6,89.7,-22.9,-81.4,-70.3,False,False
Wisconsin,1094,1245.3,672.8,1044.3,198.3,-374.2,-2.7,False,True
Wyoming,30,7.0,6.0,19.7,-23.0,-24.0,-10.3,False,True
US,169524,243650.0,137183.7,131325.3,77317.0,-29149.3,-35007.7,True,True
