,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1896,2004.4,1957.0,1965.8,2103.0,2203.0,,1856.5,2191.0,2440.5,1963.1,,1971.6,1891.0,1970.1,2121.0,1979.1,1787.7,1999.2,1813.8,2100.9,,1805.0,2100.9,2176.0,,1758.7,,2203.0,1908.5,,1996.0,1870.3,2087.4,1943.0,2209.0,2138.0,2196.0,108.4,61.0,69.8,207.0,307.0,,-39.5,295.0,544.5,67.1,,75.6,-5.0,74.1,225.0,83.1,-108.3,103.2,-82.2,204.9,,-91.0,204.9,280.0,,-137.3,,307.0,12.5,,100.0,-25.7,191.4,47.0,313.0,242.0,300.0,True,True,False,False,,True,False,False,True,,True,True,True,False,True,True,True,True,False,,True,False,False,,False,,False,True,,True,True,False,True,False,False,False
Alaska,28,25.7,30.0,26.0,32.0,36.0,,38.4,35.0,38.2,25.9,,18.9,,39.4,55.1,39.4,33.0,23.0,29.4,26.0,,29.8,27.6,30.0,,22.0,,40.0,27.6,,36.0,,30.9,30.0,52.0,27.8,,-2.3,2.0,-2.0,4.0,8.0,,10.4,7.0,10.2,-2.1,,-9.1,,11.4,27.1,11.4,5.0,-5.0,1.4,-2.0,,1.8,-0.4,2.0,,-6.0,,12.0,-0.4,,8.0,,2.9,2.0,24.0,-0.2,,True,True,False,False,,False,False,False,True,,False,,False,False,False,False,False,True,True,,True,True,True,,False,,False,True,,False,,False,True,False,True,
Arizona,4492,4859.3,4711.0,4953.8,4693.0,4444.0,,4017.8,4299.0,8162.7,5040.6,,4550.6,4710.0,4342.6,4347.5,4682.4,4387.1,4666.6,3189.2,5617.6,,5581.1,4571.2,6031.0,,4077.1,,4452.0,4609.9,,4446.0,5094.2,4535.6,4577.0,6276.0,4711.9,5419.0,367.3,219.0,461.8,201.0,-48.0,,-474.2,-193.0,3670.7,548.6,,58.6,218.0,-149.4,-144.5,190.4,-104.9,174.6,-1302.8,1125.6,,1089.1,79.2,1539.0,,-414.9,,-40.0,117.9,,-46.0,602.2,43.6,85.0,1784.0,219.9,927.0,True,False,True,True,,False,True,False,False,,True,True,True,True,True,True,True,False,False,,False,True,False,,False,,True,True,,True,False,True,True,False,True,False
Arkansas,600,526.7,551.0,525.0,544.0,682.0,,602.8,571.0,597.0,518.5,,531.7,492.0,604.1,711.2,516.7,488.5,521.7,485.7,547.7,,533.5,544.2,505.0,,,,552.0,513.5,,520.0,542.7,544.2,523.0,545.5,539.9,,-73.3,-49.0,-75.0,-56.0,82.0,,2.8,-29.0,-3.0,-81.5,,-68.3,-108.0,4.1,111.2,-83.3,-111.5,-78.3,-114.3,-52.3,,-66.5,-55.8,-95.0,,,,-48.0,-86.5,,-80.0,-57.3,-55.8,-77.0,-54.5,-60.1,,True,False,True,False,,True,True,True,False,,True,False,True,False,False,False,False,False,True,,True,True,False,,,,True,False,,False,True,True,False,True,True,
California,11218,10542.3,10700.0,10525.8,10816.0,11833.0,,10679.6,11773.0,11483.1,10837.9,,11194.9,10856.0,11084.5,11807.5,11201.0,9565.0,10724.1,11244.3,10806.2,,9516.4,10713.1,11346.0,,9895.1,,11136.0,10431.6,9711.0,10434.0,10385.9,11751.2,10317.0,11530.5,10774.9,10544.0,-675.7,-518.0,-692.2,-402.0,615.0,,-538.4,555.0,265.1,-380.1,,-23.1,-362.0,-133.5,589.5,-17.0,-1653.0,-493.9,26.3,-411.8,,-1701.6,-504.9,128.0,,-1322.9,,-82.0,-786.4,-1507.0,-784.0,-832.1,533.2,-901.0,312.5,-443.1,-674.0,True,False,True,True,,True,True,True,True,,True,True,True,True,True,False,True,True,True,,False,True,True,,False,,True,False,False,False,False,True,False,True,True,True
Colorado,1896,1914.0,1918.0,1922.8,1942.0,2094.0,,1922.4,1946.0,1865.5,1983.0,,1960.0,1917.0,1954.6,1986.5,1823.4,1895.4,1898.4,2047.6,2006.0,,1858.1,1968.9,1850.0,,1865.7,,1930.0,1943.1,,1942.0,,2186.2,1929.0,1914.0,1949.5,,18.0,22.0,26.8,46.0,198.0,,26.4,50.0,-30.5,87.0,,64.0,21.0,58.6,90.5,-72.6,-0.6,2.4,151.6,110.0,,-37.9,72.9,-46.0,,-30.3,,34.0,47.1,,46.0,,290.2,33.0,18.0,53.5,,False,False,False,False,,False,False,False,False,,False,False,False,False,False,True,True,False,False,,False,False,False,,False,,False,False,,False,,False,False,False,False,
Connecticut,4453,4461.6,4459.0,4509.1,4467.0,4557.0,,4433.0,4426.0,4439.1,4559.7,,4517.1,4467.0,4442.0,4489.5,4451.3,4536.9,4447.0,4456.5,4501.4,,4440.6,4493.0,4448.0,,4478.7,,4441.0,4419.8,,4454.0,4584.5,4583.3,4513.0,4447.0,4463.2,,8.6,6.0,56.1,14.0,104.0,,-20.0,-27.0,-13.9,106.7,,64.1,14.0,-11.0,36.5,-1.7,83.9,-6.0,3.5,48.4,,-12.4,40.0,-5.0,,25.7,,-12.0,-33.2,,1.0,131.5,130.3,60.0,-6.0,10.2,,True,False,False,False,,False,False,False,False,,False,False,False,False,True,False,True,True,False,,False,False,True,,False,,False,False,,True,False,False,False,True,False,
Delaware,593,739.0,663.0,747.0,611.0,651.0,,569.6,611.0,614.5,647.7,,537.0,599.0,609.8,638.7,588.9,595.5,627.2,568.7,635.0,,535.0,605.1,579.0,,597.2,,655.0,805.6,,1149.0,,660.0,658.0,674.0,600.9,,146.0,70.0,154.0,18.0,58.0,,-23.4,18.0,21.5,54.7,,-56.0,6.0,16.8,45.7,-4.1,2.5,34.2,-24.3,42.0,,-58.0,12.1,-14.0,,4.2,,62.0,212.6,,556.0,,67.0,65.0,81.0,7.9,,True,False,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,True,False,,False,,True,True,True,True,
District of Columbia,597,589.6,600.0,594.0,598.0,629.0,,594.0,601.0,590.3,610.0,,611.3,586.0,598.7,606.5,605.2,619.8,588.1,581.3,,,594.9,592.5,587.0,,597.7,,600.0,582.4,,603.0,,642.3,593.0,599.0,595.1,,-7.4,3.0,-3.0,1.0,32.0,,-3.0,4.0,-6.7,13.0,,14.3,-11.0,1.7,9.5,8.2,22.8,-8.9,-15.7,,,-2.1,-4.5,-10.0,,0.7,,3.0,-14.6,,6.0,,45.3,-4.0,2.0,-1.9,,True,True,True,False,,True,True,True,False,,False,False,True,False,False,False,False,False,,,True,True,False,,True,,True,False,,True,,False,True,True,True,
Florida,9345,8345.4,8559.0,8422.5,8804.0,9356.0,,9193.2,8951.0,12965.9,8095.1,,8418.0,8393.0,9013.1,8257.0,12358.0,7898.5,8638.4,6072.5,9560.3,,8308.8,8724.4,11483.0,,7842.8,,8804.0,8502.7,,8435.0,7925.4,8845.9,8152.0,11964.0,8498.3,9235.0,-999.6,-786.0,-922.5,-541.0,11.0,,-151.8,-394.0,3620.9,-1249.9,,-927.0,-952.0,-331.9,-1088.0,3013.0,-1446.5,-706.6,-3272.5,215.3,,-1036.2,-620.6,2138.0,,-1502.2,,-541.0,-842.3,,-910.0,-1419.6,-499.1,-1193.0,2619.0,-846.7,-110.0,True,True,True,True,,True,True,False,False,,True,True,True,False,False,False,True,False,True,,False,True,False,,False,,True,True,,True,False,True,False,False,True,True
