,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,STH-3PU,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-STH-3PU,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,1896,1467.6,1518.2,1513.9,1286.0,1214.4,,1135.0,1366.2,1564.8,1119.3,1768.5,-428.4,-377.8,-382.1,-610.0,-681.6,,-761.0,-529.8,-331.2,-776.7,-127.5,True,True,False,False,,False,False,True,False,True
Alaska,28,27.7,23.6,14.8,,20.8,,14.0,15.0,28.4,20.3,24.3,-0.3,-4.4,-13.2,,-7.2,,-14.0,-13.0,0.4,-7.7,-3.7,False,False,,False,,False,False,False,False,False
Arizona,4492,3274.0,5107.8,3410.9,2269.0,3684.5,,2140.0,3137.6,4869.3,3737.6,3640.9,-1218.0,615.8,-1081.1,-2223.0,-807.5,,-2352.0,-1354.4,377.3,-754.4,-851.1,True,True,False,True,,False,False,True,True,True
Arkansas,600,531.4,631.5,573.6,422.0,471.0,,619.0,408.6,683.7,346.5,614.1,-68.6,31.5,-26.4,-178.0,-129.0,,19.0,-191.4,83.7,-253.5,14.1,True,True,False,False,,True,False,False,False,True
California,11218,8791.4,9595.1,8608.7,6920.0,7738.9,,7990.0,8450.0,10521.1,7276.9,10091.9,-2426.6,-1622.9,-2609.3,-4298.0,-3479.1,,-3228.0,-2768.0,-696.9,-3941.1,-1126.1,True,False,False,False,,False,False,True,False,True
Colorado,1896,1874.9,1875.0,1903.0,1819.0,1920.0,,1929.0,1826.3,1930.1,2044.0,2019.1,-21.1,-21.0,7.0,-77.0,24.0,,33.0,-69.7,34.1,148.0,123.1,True,True,False,False,,False,False,False,False,False
Connecticut,4453,4700.0,4498.0,4518.3,4418.0,4532.2,,4433.0,4512.4,4568.3,4442.2,4629.4,247.0,45.0,65.3,-35.0,79.2,,-20.0,59.4,115.3,-10.8,176.4,True,True,True,True,,True,True,True,True,True
Delaware,593,1000.7,527.9,562.9,600.0,594.8,,647.0,556.3,543.6,691.2,617.1,407.7,-65.1,-30.1,7.0,1.8,,54.0,-36.7,-49.4,98.2,24.1,True,True,True,True,,True,True,True,True,True
District of Columbia,597,666.6,586.6,614.2,650.0,591.9,,610.0,614.5,600.0,574.3,643.8,69.6,-10.4,17.2,53.0,-5.1,,13.0,17.5,3.0,-22.7,46.8,True,True,True,True,,True,True,True,True,True
Florida,9345,5188.1,11894.3,7030.1,4844.0,6952.5,,4351.0,5619.9,15604.9,22968.1,6120.7,-4156.9,2549.3,-2314.9,-4501.0,-2392.5,,-4994.0,-3725.1,6259.9,13623.1,-3224.3,True,True,False,True,,False,True,False,False,True
Georgia,4669,3703.7,4112.1,4268.5,3816.0,3990.2,,3586.0,3762.0,3675.5,4305.0,4413.5,-965.3,-556.9,-400.5,-853.0,-678.8,,-1083.0,-907.0,-993.5,-364.0,-255.5,True,True,True,True,,False,True,False,True,True
Hawaii,40,24.9,31.9,24.2,,24.6,,20.0,18.9,22.9,28.0,20.0,-15.1,-8.1,-15.8,,-15.4,,-20.0,-21.1,-17.1,-12.0,-20.0,True,False,,False,,False,False,False,True,False
Idaho,269,104.7,209.9,107.8,108.0,131.9,,,100.5,401.8,313.1,116.4,-164.3,-59.1,-161.2,-161.0,-137.1,,,-168.5,132.8,44.1,-152.6,True,True,True,True,,,False,True,True,True
Illinois,7937,8540.6,7345.9,8124.9,8463.0,8219.1,,8079.0,7561.3,7234.4,7359.1,8591.4,603.6,-591.1,187.9,526.0,282.1,,142.0,-375.7,-702.6,-577.9,654.4,True,True,True,True,,True,True,False,True,False
Indiana,3128,3160.7,2933.0,2820.1,2798.0,3107.4,,2957.0,2826.7,3269.0,3039.1,3292.6,32.7,-195.0,-307.9,-330.0,-20.6,,-171.0,-301.3,141.0,-88.9,164.6,False,False,False,True,,False,False,False,False,False
Iowa,975,843.1,973.8,804.4,826.0,882.0,,924.0,854.2,903.4,881.3,911.2,-131.9,-1.2,-170.6,-149.0,-93.0,,-51.0,-120.8,-71.6,-93.7,-63.8,True,False,False,True,,True,True,True,True,True
Kansas,406,351.3,364.7,360.8,290.0,361.2,,287.0,296.1,277.7,440.6,368.4,-54.7,-41.3,-45.2,-116.0,-44.8,,-119.0,-109.9,-128.3,34.6,-37.6,True,True,False,True,,False,False,False,True,True
Kentucky,810,777.4,698.2,695.0,760.0,663.0,,663.0,767.7,777.0,768.3,811.9,-32.6,-111.8,-115.0,-50.0,-147.0,,-147.0,-42.3,-33.0,-41.7,1.9,False,False,False,False,,False,False,False,False,True
Louisiana,4430,3843.6,3743.9,3954.9,3433.0,3834.9,,3426.0,3354.6,3296.4,4717.9,3811.8,-586.4,-686.1,-475.1,-997.0,-595.1,,-1004.0,-1075.4,-1133.6,287.9,-618.2,False,True,False,False,,False,False,False,True,False
Maine,127,117.7,119.5,115.5,115.0,125.4,,,108.9,130.8,150.6,123.3,-9.3,-7.5,-11.5,-12.0,-1.6,,,-18.1,3.8,23.6,-3.7,True,False,False,True,,,False,True,False,True
Maryland,3636,3867.4,3480.7,3424.1,3473.0,3566.5,,3553.0,3459.9,3546.4,3480.0,3911.6,231.4,-155.3,-211.9,-163.0,-69.5,,-83.0,-176.1,-89.6,-156.0,275.6,True,True,True,True,,True,True,True,True,False
Massachusetts,8826,9444.1,8299.2,9085.5,8307.0,8714.3,,8769.0,8446.9,8604.4,8966.8,8965.8,619.1,-525.8,260.5,-518.0,-110.7,,-56.0,-378.1,-220.6,141.8,140.8,True,True,True,True,,True,True,True,True,True
Michigan,6586,6616.4,6353.8,6392.4,6599.0,6942.7,,6362.0,6455.6,6448.2,6639.9,6678.8,30.4,-232.2,-193.6,13.0,356.7,,-224.0,-130.4,-137.8,53.9,92.8,False,False,True,False,,False,False,False,False,False
Minnesota,1705,1789.1,1812.6,1747.1,1504.0,1870.0,,1790.0,1746.3,1517.3,1832.2,1951.0,84.1,107.6,42.1,-201.0,165.0,,85.0,41.3,-187.7,127.2,246.0,False,True,False,False,,False,True,False,False,False
Mississippi,2080,1731.6,1647.8,1627.3,1535.0,1394.7,,1437.0,1239.7,1423.5,1911.6,1812.1,-348.4,-432.2,-452.7,-545.0,-685.3,,-643.0,-840.3,-656.5,-168.4,-267.9,False,False,False,False,,False,False,False,True,True
Missouri,1378,1271.4,1389.3,1443.6,1317.0,1275.4,,1138.0,1486.9,1560.4,1488.7,1365.6,-96.6,21.3,75.6,-51.0,-92.6,,-230.0,118.9,192.4,120.7,-2.4,True,True,True,True,,False,False,False,False,True
