,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR
Michigan,6586,8346.4,6021.5,6130.0,6401.3,5274.9,2000.4,-324.5,-216.0,55.3,-1071.1,True,True,True,True
Minnesota,1705,2917.4,1863.3,7283.0,1879.9,1384.8,1212.4,158.3,5578.0,174.9,-320.2,True,False,True,True
Mississippi,2080,1917.4,1026.2,976.0,1152.0,1357.1,-162.6,-1053.8,-1104.0,-928.0,-722.9,False,False,False,False
Missouri,1378,1753.1,879.3,1078.0,1565.9,1051.4,413.1,-460.7,-262.0,225.9,-288.6,False,True,True,True
Montana,82,27.9,18.3,17.0,20.9,15.2,-54.1,-63.7,-65.0,-61.1,-66.8,False,False,False,False
Nebraska,361,419.7,396.9,390.0,341.4,190.6,58.7,35.9,29.0,-19.6,-170.4,True,True,True,False
Nevada,1069,818.7,513.9,629.0,619.3,565.9,-250.3,-555.1,-440.0,-449.7,-503.1,False,False,False,False
New Hampshire,423,635.9,291.9,284.0,486.1,381.8,212.9,-131.1,-139.0,63.1,-41.2,True,True,True,True
New Jersey,15910,17778.0,12644.1,13402.0,14097.9,11620.5,3688.0,-1445.9,-688.0,7.9,-2469.5,True,True,True,True
New Mexico,711,779.4,461.7,468.0,631.1,437.0,68.4,-249.3,-243.0,-79.9,-274.0,False,False,False,False
New York,32809,36765.1,32009.5,32984.0,31305.5,28814.8,4871.1,115.5,1090.0,-588.5,-3079.2,True,True,True,True
North Carolina,2343,2598.1,1916.3,1521.0,1925.1,2856.7,255.1,-426.7,-822.0,-417.9,513.7,False,False,False,False
North Dakota,121,147.9,111.3,386.0,90.6,89.9,26.9,-9.7,265.0,-30.4,-31.1,True,False,False,False
Ohio,3824,4174.4,2836.1,2852.0,3303.7,2658.2,350.4,-987.9,-972.0,-520.3,-1165.8,False,False,False,False
