,actual_deaths,Baseline,Auquan-SEIR,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1896,1913.0,2028.0,1981.0,1897.1,1944.0,1971.0,,1931.7,1984.0,2129.4,1900.2,,2037.8,1869.0,1950.1,2051.0,1943.5,1943.1,1921.4,1928.0,2005.3,,1805.0,1896.7,2076.0,,,1810.5,,1944.0,1869.3,,1964.0,1933.4,2025.2,1943.0,2118.5,1945.7,1770.0,17.0,132.0,85.0,1.1,48.0,75.0,,35.7,88.0,233.4,4.2,,141.8,-27.0,54.1,155.0,47.5,47.1,25.4,32.0,109.3,,-91.0,0.7,180.0,,,-85.5,,48.0,-26.7,,68.0,37.4,129.2,47.0,222.5,49.7,-126.0,False,False,True,False,False,,False,False,False,True,,False,False,False,False,False,False,False,False,False,,False,True,False,,,False,,False,False,,False,False,False,False,False,False,False
Alaska,28,31.4,36.0,33.0,32.0,34.0,39.0,,37.7,31.0,35.5,30.5,,21.5,,36.8,49.3,34.6,31.7,27.1,35.1,31.3,,29.8,34.5,34.0,,,27.2,,39.0,32.9,,34.0,,31.2,32.0,49.0,33.0,,3.4,8.0,5.0,4.0,6.0,11.0,,9.7,3.0,7.5,2.5,,-6.5,,8.8,21.3,6.6,3.7,-0.9,7.1,3.3,,1.8,6.5,6.0,,,-0.8,,11.0,4.9,,6.0,,3.2,4.0,21.0,5.0,,False,False,False,False,False,,False,True,False,True,,False,,False,False,False,False,True,False,True,,True,False,False,,,True,,False,False,,False,,True,False,False,False,
Arizona,4492,4619.3,4873.0,4899.0,4669.0,4611.0,4611.0,,4126.0,4603.0,5566.8,,,5253.7,4949.0,4570.9,4396.3,4794.8,4379.4,4509.7,4361.0,5025.1,,5580.6,4497.5,5324.0,,,4369.7,,4484.0,4481.2,,4488.0,4877.0,4522.5,4653.0,5458.5,4634.1,4131.0,127.3,381.0,407.0,177.0,119.0,119.0,,-366.0,111.0,1074.8,,,761.7,457.0,78.9,-95.7,302.8,-112.6,17.7,-131.0,533.1,,1088.6,5.5,832.0,,,-122.3,,-8.0,-10.8,,-4.0,385.0,30.5,161.0,966.5,142.1,-361.0,False,False,False,True,True,,False,True,False,,,False,False,True,True,False,True,True,False,False,,False,True,False,,,True,,True,True,,True,False,True,False,False,False,False
Arkansas,600,581.0,619.0,574.0,576.0,574.0,607.0,,581.1,584.0,606.0,572.8,,536.3,535.0,590.2,670.0,541.9,538.5,567.1,534.6,570.6,,533.4,581.0,553.0,,,523.5,,521.0,574.1,,554.0,572.7,562.9,570.0,600.0,565.7,517.0,-19.0,19.0,-26.0,-24.0,-26.0,7.0,,-18.9,-16.0,6.0,-27.2,,-63.7,-65.0,-9.8,70.0,-58.1,-61.5,-32.9,-65.4,-29.4,,-66.6,-19.0,-47.0,,,-76.5,,-79.0,-25.9,,-46.0,-27.3,-37.1,-30.0,0.0,-34.3,-83.0,False,False,False,False,True,,True,True,True,False,,False,False,True,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,False,False,False,True,False,False
California,11218,11156.6,11231.0,11087.0,11219.0,11086.0,11263.0,,10883.7,11158.0,10940.4,10925.7,,10452.5,11358.0,11333.8,11494.2,11355.8,10444.9,11133.7,11153.4,11282.7,,9516.3,11155.6,11387.0,,,10455.3,,11086.0,11287.9,10033.0,10886.0,10817.0,11559.1,11311.0,11763.5,11042.3,10255.0,-61.4,13.0,-131.0,1.0,-132.0,45.0,,-334.3,-60.0,-277.6,-292.3,,-765.5,140.0,115.8,276.2,137.8,-773.1,-84.3,-64.6,64.7,,-1701.7,-62.4,169.0,,,-762.7,,-132.0,69.9,-1185.0,-332.0,-401.0,341.1,93.0,545.5,-175.7,-963.0,True,False,True,False,True,,False,True,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,False,False,False,False,False,False
Colorado,1896,1936.9,2006.0,1930.0,1944.0,1942.0,1945.0,,1935.6,1949.0,1904.8,1964.6,,1903.4,1949.0,1951.8,1989.3,1778.0,1893.4,1921.4,1996.5,1878.9,,1858.2,1944.5,1917.0,,,1916.6,,1897.0,1940.5,,1923.0,,2108.2,1934.0,1971.0,1956.1,1906.0,40.9,110.0,34.0,48.0,46.0,49.0,,39.6,53.0,8.8,68.6,,7.4,53.0,55.8,93.3,-118.0,-2.6,25.4,100.5,-17.1,,-37.8,48.5,21.0,,,20.6,,1.0,44.5,,27.0,,212.2,38.0,75.0,60.1,10.0,False,True,False,False,False,,True,False,True,False,,True,False,False,False,False,True,True,False,True,,True,False,True,,,True,,True,False,,True,,False,True,False,False,True
Connecticut,4453,4467.3,4589.0,4469.0,4483.4,4479.0,4491.0,,4445.5,4443.0,4453.1,4499.6,,4522.4,4482.0,4482.9,4484.4,4461.9,4490.1,4448.5,4449.4,4482.3,,4440.6,4480.8,4441.0,,,4478.7,,4460.0,4472.1,,4459.0,4532.1,4562.7,4487.0,4459.0,4466.8,,14.3,136.0,16.0,30.4,26.0,38.0,,-7.5,-10.0,0.1,46.6,,69.4,29.0,29.9,31.4,8.9,37.1,-4.5,-3.6,29.3,,-12.4,27.8,-12.0,,,25.7,,7.0,19.1,,6.0,79.1,109.7,34.0,6.0,13.8,,False,False,False,False,False,,True,True,True,False,,False,False,False,False,True,False,True,True,False,,True,False,True,,,False,,True,False,,True,False,False,False,True,True,
Delaware,593,596.1,653.0,600.0,599.0,603.0,610.0,,601.2,607.0,606.2,630.2,,601.6,604.0,599.6,618.2,592.4,599.3,599.0,617.3,651.6,,535.0,597.5,669.0,,,616.0,,614.0,596.3,,598.0,,633.5,598.0,601.0,599.0,,3.1,60.0,7.0,6.0,10.0,17.0,,8.2,14.0,13.2,37.2,,8.6,11.0,6.6,25.2,-0.6,6.3,6.0,24.3,58.6,,-58.0,4.5,76.0,,,23.0,,21.0,3.3,,5.0,,40.5,5.0,8.0,6.0,,False,False,False,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False,,False,False,False,,,False,,False,False,,False,,False,False,False,False,
District of Columbia,597,589.6,623.0,594.0,591.4,593.0,599.0,,596.5,598.0,590.7,,,603.5,589.0,607.7,597.7,596.0,588.7,584.9,583.1,,,594.9,587.6,590.0,,,,,595.0,592.4,,590.0,,622.4,585.0,595.0,594.5,,-5.4,28.0,-1.0,-3.6,-2.0,4.0,,1.5,3.0,-4.3,,,8.5,-6.0,12.7,2.7,1.0,-6.3,-10.1,-11.9,,,-0.1,-7.4,-5.0,,,,,0.0,-2.6,,-5.0,,27.4,-10.0,0.0,-0.5,,False,True,True,True,True,,True,True,True,,,False,False,False,True,True,False,False,False,,,True,False,True,,,,,True,True,,True,,False,False,True,True,
Florida,9345,9368.3,9205.0,9299.0,9512.0,9192.0,9241.0,,8726.6,8573.0,10140.1,8715.6,,8788.9,9432.0,9483.6,8911.3,9592.4,8766.6,9319.4,7769.2,10358.6,,8308.2,9328.6,10730.5,,,8217.2,,8945.0,9561.9,,8990.0,8912.7,9142.9,9388.0,11246.5,9388.1,8308.0,23.3,-140.0,-46.0,167.0,-153.0,-104.0,,-618.4,-772.0,795.1,-629.4,,-556.1,87.0,138.6,-433.7,247.4,-578.4,-25.6,-1575.8,1013.6,,-1036.8,-16.4,1385.5,,,-1127.8,,-400.0,216.9,,-355.0,-432.3,-202.1,43.0,1901.5,43.1,-1037.0,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,True,False,,,False,,False,False,,False,False,False,False,False,False,False
