,actual_deaths,Baseline,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,error-Baseline,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR
Alabama,1896,1709.4,747.0,1319.5,940.4,-186.6,-1149.0,-576.5,-955.6,False,False,False
Alaska,28,10.0,,14.7,11.8,-18.0,,-13.3,-16.2,,True,True
Arizona,4492,2531.4,1334.0,5217.5,1895.6,-1960.6,-3158.0,725.5,-2596.4,False,True,False
Arkansas,600,188.0,366.0,152.1,241.4,-412.0,-234.0,-447.9,-358.6,True,False,True
California,11218,9977.1,4942.0,6286.9,7881.4,-1240.9,-6276.0,-4931.1,-3336.6,False,False,False
Colorado,1896,4352.1,1439.0,1706.0,1912.6,2456.1,-457.0,-190.0,16.6,True,True,True
Connecticut,4453,9078.0,3971.0,4946.6,3903.2,4625.0,-482.0,493.6,-549.8,True,True,True
Delaware,593,1177.1,432.0,637.2,401.6,584.1,-161.0,44.2,-191.4,True,True,True
District of Columbia,597,1154.4,556.0,605.6,534.8,557.4,-41.0,8.6,-62.2,True,True,True
Florida,9345,5213.0,2698.0,3061.3,2650.9,-4132.0,-6647.0,-6283.7,-6694.1,False,False,False
Georgia,4669,4232.9,1899.0,2276.7,2047.5,-436.1,-2770.0,-2392.3,-2621.5,False,False,False
Hawaii,40,17.0,,24.6,19.4,-23.0,,-15.4,-20.6,,True,True
Idaho,269,150.1,78.0,126.5,88.2,-118.9,-191.0,-142.5,-180.8,False,False,False
Illinois,7937,14089.9,7469.5,9034.8,6155.3,6152.9,-467.5,1097.8,-1781.7,True,True,True
Indiana,3128,4875.3,2443.0,2586.6,2971.8,1747.3,-685.0,-541.4,-156.2,True,True,True
Iowa,975,1456.7,611.0,1013.6,420.2,481.7,-364.0,38.6,-554.8,True,True,False
Kansas,406,465.0,285.0,298.7,473.4,59.0,-121.0,-107.3,67.4,False,False,False
Kentucky,810,719.7,489.0,449.2,878.7,-90.3,-321.0,-360.8,68.7,False,False,True
Louisiana,4430,5126.7,3392.0,3135.8,2725.6,696.7,-1038.0,-1294.2,-1704.4,False,False,False
Maine,127,147.1,1501.0,132.7,159.3,20.1,1374.0,5.7,32.3,False,True,False
Maryland,3636,6466.3,3069.0,3846.3,2987.9,2830.3,-567.0,210.3,-648.1,True,True,True
Massachusetts,8826,16314.1,8384.5,10495.1,6519.3,7488.1,-441.5,1669.1,-2306.7,True,True,True
Michigan,6586,9211.0,5912.0,6246.4,4946.0,2858.0,-441.0,-106.6,-1407.0,True,True,True
Minnesota,1705,2698.1,4018.0,1975.9,2626.6,993.1,2313.0,270.9,921.6,False,True,True
Mississippi,2080,1691.0,1080.0,1067.0,900.4,-389.0,-1000.0,-1013.0,-1179.6,False,False,False
Missouri,1378,1847.1,1070.0,1060.5,906.7,567.1,-210.0,-219.5,-373.3,True,True,True
Montana,82,16.0,16.0,22.1,17.8,-66.0,-66.0,-59.9,-64.2,False,True,True
Nebraska,361,547.3,377.0,489.8,141.3,186.3,16.0,128.8,-219.7,True,True,False
Nevada,1069,864.3,515.0,570.7,533.1,-204.7,-554.0,-498.3,-535.9,False,False,False
New Hampshire,423,673.4,371.0,582.0,365.6,250.4,-52.0,159.0,-57.4,True,True,True
New Jersey,15910,24595.9,13138.0,13775.8,10970.1,10440.9,-1017.0,-379.2,-3184.9,True,True,True
New Mexico,711,1100.7,329.0,1110.4,563.7,389.7,-382.0,399.4,-147.3,True,False,True
New York,32809,48687.7,32770.0,32234.1,29120.3,16617.7,700.0,164.1,-2949.7,True,True,True
North Carolina,2343,2254.6,771.0,1552.9,2054.4,-88.4,-1572.0,-790.1,-288.6,False,False,False
North Dakota,121,145.9,89.0,86.6,120.7,24.9,-32.0,-34.4,-0.3,False,False,True
Ohio,3824,5276.4,2144.0,3020.5,3553.6,1452.4,-1680.0,-803.5,-270.4,False,True,True
Oklahoma,657,493.7,297.5,445.4,537.1,-163.3,-359.5,-211.6,-119.9,False,False,True
Oregon,386,265.6,160.0,251.7,293.4,-120.4,-226.0,-134.3,-92.6,False,False,True
Pennsylvania,7451,13353.6,6370.0,7747.6,5461.6,5902.6,-1081.0,296.6,-1989.4,True,True,True
Rhode Island,1027,1489.0,1441.0,922.9,547.4,511.0,463.0,-55.1,-430.6,True,True,True
South Carolina,2260,1079.3,433.0,709.5,684.3,-1180.7,-1827.0,-1550.5,-1575.7,False,False,False
South Dakota,152,172.6,287.0,79.0,57.1,20.6,135.0,-73.0,-94.9,False,False,False
Tennessee,1345,1005.1,905.0,648.0,526.1,-339.9,-440.0,-697.0,-818.9,False,False,False
Texas,10268,4544.4,2579.0,2997.1,3709.0,-5655.6,-7621.0,-7202.9,-6491.0,False,False,False
Utah,363,247.1,88.0,145.5,189.3,-115.9,-275.0,-217.5,-173.7,False,False,False
Vermont,58,66.9,53.0,77.7,64.4,8.9,-5.0,19.7,6.4,True,False,True
Virginia,2381,3208.6,1455.0,1909.6,2170.3,827.6,-926.0,-471.4,-210.7,False,True,True
Washington,1766,1901.0,1257.0,1323.2,1268.8,135.0,-509.0,-442.8,-497.2,False,False,False
West Virginia,160,234.1,64.0,120.4,122.3,74.1,-96.0,-39.6,-37.7,False,True,True
Wisconsin,1038,1134.4,1439.5,751.7,1220.4,96.4,401.5,-286.3,182.4,False,False,False
Wyoming,30,20.9,7.0,14.2,11.7,-9.1,-23.0,-15.8,-18.3,False,False,False
US,169463,218596.3,125778.0,137811.4,119503.8,52075.3,-40743.0,-28709.6,-47017.2,True,True,True
