,mean_rank
COVIDhub-ensemble,8.5
UMass-MechBayes,9.6
CMU-TimeSeries,9.8
YYG-ParamSearch,9.8
LNQ-ens1,10.2
OliverWyman-Navigator,10.5
Covid19Sim-Simulator,11.3
CovidAnalytics-DELPHI,11.4
USC-SI_kJalpha,11.9
UA-EpiCovDA,12.0
UCLA-SuEIR,12.1
MOBS-GLEAM_COVID,12.9
COVIDhub-baseline,13.1
UT-Mobility,13.1
GT-DeepCOVID,13.9
Karlen-pypm,14.3
LANL-GrowthRate,14.4
CU-select,14.5
IHME-CurveFit,14.7
NotreDame-mobility,14.8
MITCovAlliance-SIR,15.0
IowaStateLW-STEM,16.2
PSI-DRAFT,16.2
USACE-ERDC_SEIR,19.2
JHU_IDD-CovidSP,19.3
RobertWalraven-ESG,22.3
