,mean_rank
YYG-ParamSearch,9.0
COVIDhub-ensemble,9.1
COVIDhub-baseline,9.7
CEID-Walk,10.7
UMass-MechBayes,10.7
UCLA-SuEIR,10.9
OliverWyman-Navigator,11.4
USC-SI_kJalpha,11.5
CMU-TimeSeries,12.0
LNQ-ens1,12.7
Geneva-DetGrowth,13.2
GT-DeepCOVID,13.7
JCB-PRM,13.8
LANL-GrowthRate,14.1
CovidAnalytics-DELPHI,14.2
UA-EpiCovDA,14.9
MOBS-GLEAM_COVID,15.1
PSI-DRAFT,15.4
UMich-RidgeTfReg,15.5
CU-select,16.2
Karlen-pypm,16.5
RobertWalraven-ESG,16.5
DDS-NBDS,16.9
IHME-CurveFit,18.3
USACE-ERDC_SEIR,19.1
JHU_IDD-CovidSP,20.3
NotreDame-mobility,20.7
Auquan-SEIR,24.1
