,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1896,1357.6,1577.7,1560.4,1147.0,,1510.3,1579.9,1608.6,-538.4,-318.3,-335.6,-749.0,,-385.7,-316.1,-287.4,True,True,False,,True,True,True
Alaska,28,12.0,21.1,18.5,,,13.5,29.9,18.5,-16.0,-6.9,-9.5,,,-14.5,1.9,-9.5,True,True,,,True,True,True
Arizona,4492,2590.4,4650.9,3896.6,3043.0,,3262.5,6390.5,3154.1,-1901.6,158.9,-595.4,-1449.0,,-1229.5,1898.5,-1337.9,True,True,True,,True,True,True
Arkansas,600,586.4,554.9,734.6,787.0,,519.7,633.2,574.4,-13.6,-45.1,134.6,187.0,,-80.3,33.2,-25.6,False,False,False,,False,False,False
California,11218,8783.6,8983.1,9371.3,7565.0,,7772.0,10372.0,9622.9,-2434.4,-2234.9,-1846.7,-3653.0,,-3446.0,-846.0,-1595.1,True,True,False,,False,True,True
Colorado,1896,2032.0,1889.2,1809.6,1762.0,,1850.7,1934.7,2121.3,136.0,-6.8,-86.4,-134.0,,-45.3,38.7,225.3,True,True,True,,True,True,False
Connecticut,4453,4723.6,4557.0,4485.3,4430.0,,4590.0,4510.1,4595.8,270.6,104.0,32.3,-23.0,,137.0,57.1,142.8,True,True,True,,True,True,True
Delaware,593,537.1,516.7,496.5,475.0,,508.0,472.6,550.7,-55.9,-76.3,-96.5,-118.0,,-85.0,-120.4,-42.3,False,False,False,,False,False,True
District of Columbia,597,674.4,603.0,636.0,644.0,,633.7,603.4,624.9,77.4,6.0,39.0,47.0,,36.7,6.4,27.9,True,True,True,,True,True,True
Florida,9345,4968.1,7093.1,7921.6,5280.0,,4667.3,8003.9,5952.0,-4376.9,-2251.9,-1423.4,-4065.0,,-4677.7,-1341.1,-3393.0,True,True,True,,False,True,True
