,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,1896,1522.4,1392.0,,1624.3,2209.8,2281.0,1775.2,1391.0,1439.7,1798.0,,1389.1,1419.0,,1505.8,1885.1,2172.3,1762.9,-373.6,-504.0,,-271.7,313.8,385.0,-120.8,-505.0,-456.3,-98.0,,-506.9,-477.0,,-390.2,-10.9,276.3,-133.1,False,,True,True,False,True,False,False,True,,False,False,,False,True,True,True
Alaska,28,27.7,25.0,,29.5,242.8,23.0,13.6,,31.5,14.3,,74.3,16.0,,18.4,53.6,152.3,28.3,-0.3,-3.0,,1.5,214.8,-5.0,-14.4,,3.5,-13.7,,46.3,-12.0,,-9.6,25.6,124.3,0.3,False,,False,False,False,False,,False,False,,False,False,,False,False,False,False
Arizona,4492,3178.0,3352.0,,4960.5,9689.9,6258.0,3503.3,4698.0,3097.4,1992.0,,3278.4,2869.0,,3149.7,3937.3,3614.6,3864.1,-1314.0,-1140.0,,468.5,5197.9,1766.0,-988.7,206.0,-1394.6,-2500.0,,-1213.6,-1623.0,,-1342.3,-554.7,-877.4,-627.9,True,,True,False,False,True,True,False,False,,True,False,,False,True,True,True
Arkansas,600,421.7,421.0,,614.5,1138.8,660.0,477.8,892.0,457.9,372.0,,498.6,541.5,,413.5,553.4,516.5,564.1,-178.3,-179.0,,14.5,538.8,60.0,-122.2,292.0,-142.1,-228.0,,-101.4,-58.5,,-186.5,-46.6,-83.5,-35.9,False,,True,False,True,True,False,True,False,,True,True,,False,True,True,True
California,11218,8956.0,8068.0,,10414.9,27272.5,12823.0,10046.8,9445.0,10637.0,13292.9,,7924.4,8316.5,,8843.6,11303.0,10559.1,9607.3,-2262.0,-3150.0,,-803.1,16054.5,1605.0,-1171.2,-1773.0,-581.0,2074.9,,-3293.6,-2901.5,,-2374.4,85.0,-658.9,-1610.7,False,,True,False,True,True,True,True,True,,False,False,,False,True,True,True
Colorado,1896,1847.4,1878.0,,1895.6,1893.6,1885.0,1807.5,1813.0,1858.7,1836.5,,1890.8,1849.0,,1878.2,1926.9,2054.5,1984.6,-48.6,-18.0,,-0.4,-2.4,-11.0,-88.5,-83.0,-37.3,-59.5,,-5.2,-47.0,,-17.8,30.9,158.5,88.6,True,,True,True,True,False,False,True,False,,True,True,,True,True,False,False
Connecticut,4453,4446.3,4564.0,,4450.5,4383.0,4408.0,4515.5,4822.0,4428.1,4586.4,,4412.4,4525.0,,4490.5,4422.8,4484.3,4489.3,-6.7,111.0,,-2.5,-70.0,-45.0,62.5,369.0,-24.9,133.4,,-40.6,72.0,,37.5,-30.2,31.3,36.3,False,,True,False,False,False,False,False,False,,False,False,,False,False,False,False
Delaware,593,541.3,662.0,,599.8,551.6,598.0,564.9,591.0,599.3,547.5,,523.0,603.0,,602.3,552.8,967.7,583.8,-51.7,69.0,,6.8,-41.4,5.0,-28.1,-2.0,6.3,-45.5,,-70.0,10.0,,9.3,-40.2,374.7,-9.2,False,,True,True,True,True,True,True,True,,False,True,,True,True,False,True
District of Columbia,597,611.7,612.0,,583.9,623.2,582.0,618.8,644.0,599.4,554.9,,588.8,577.0,,613.1,592.2,600.3,614.6,14.7,15.0,,-13.1,26.2,-15.0,21.8,47.0,2.4,-42.1,,-8.2,-20.0,,16.1,-4.8,3.3,17.6,False,,True,False,False,False,False,True,False,,True,False,,False,True,True,False
Florida,9345,5558.4,5368.0,,12377.6,28257.7,11810.0,7514.7,5097.0,6039.6,6323.0,,4914.2,4670.5,,5833.5,10806.4,12977.6,6466.2,-3786.6,-3977.0,,3032.6,18912.7,2465.0,-1830.3,-4248.0,-3305.4,-3022.0,,-4430.8,-4674.5,,-3511.5,1461.4,3632.6,-2878.8,False,,True,False,True,True,False,True,True,,False,False,,True,True,True,True
