,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1896,1674.7,,1692.0,2109.0,2050.0,2071.2,1658.5,1812.7,,1705.7,1597.0,,,1685.4,1929.4,2087.0,2048.9,1755.0,-221.3,,-204.0,213.0,154.0,175.2,-237.5,-83.3,,-190.3,-299.0,,,-210.6,33.4,191.0,152.9,-141.0,,True,True,True,True,False,True,,True,False,,,True,True,True,True,True
Alaska,28,21.9,,34.8,27.0,,55.4,38.8,14.3,,40.2,31.0,,,22.5,50.6,38.0,25.1,,-6.1,,6.8,-1.0,,27.4,10.8,-13.7,,12.2,3.0,,,-5.5,22.6,10.0,-2.9,,,False,True,,False,False,False,,False,True,,,True,False,False,True,
Arizona,4492,4238.1,,4611.7,4999.0,3671.0,3952.8,3081.3,2030.6,,4628.3,3739.0,,,4029.6,4003.2,3531.8,4256.4,4294.0,-253.9,,119.7,507.0,-821.0,-539.2,-1410.7,-2461.4,,136.3,-753.0,,,-462.4,-488.8,-960.2,-235.6,-198.0,,True,False,False,False,False,False,,True,False,,,False,False,False,True,True
Arkansas,600,486.1,,593.6,577.0,648.0,952.7,451.7,372.2,,522.1,397.0,,,447.2,528.1,542.6,597.7,,-113.9,,-6.4,-23.0,48.0,352.7,-148.3,-227.8,,-77.9,-203.0,,,-152.8,-71.9,-57.4,-2.3,,,True,True,True,False,False,False,,True,False,,,False,True,True,True,
California,11218,10344.1,,10868.6,12500.0,9547.0,13181.6,8702.9,13251.2,,9006.1,9113.0,,,10072.6,12638.6,13060.0,11128.5,10251.0,-873.9,,-349.4,1282.0,-1671.0,1963.6,-2515.1,2033.2,,-2211.9,-2105.0,,,-1145.4,1420.6,1842.0,-89.5,-967.0,,True,False,False,False,False,False,,False,False,,,False,False,False,True,False
Colorado,1896,1841.6,,1901.3,1891.0,1935.0,2023.8,1885.8,1836.6,,1922.2,1741.0,,,1844.3,1989.7,2120.5,1945.4,,-54.4,,5.3,-5.0,39.0,127.8,-10.2,-59.4,,26.2,-155.0,,,-51.7,93.7,224.5,49.4,,,True,True,True,False,True,False,,True,False,,,True,False,False,True,
Connecticut,4453,4411.1,,4448.1,4383.0,4477.0,4545.9,4426.0,4586.2,,4390.4,4493.0,,,4416.1,4401.8,4443.3,4410.0,,-41.9,,-4.9,-70.0,24.0,92.9,-27.0,133.2,,-62.6,40.0,,,-36.9,-51.2,-9.7,-43.0,,,True,False,True,False,True,False,,False,True,,,True,False,True,False,
Delaware,593,541.3,,610.7,591.0,589.0,648.4,542.8,547.4,,525.0,665.0,,,573.1,554.2,635.8,569.2,,-51.7,,17.7,-2.0,-4.0,55.4,-50.2,-45.6,,-68.0,72.0,,,-19.9,-38.8,42.8,-23.8,,,True,True,True,False,True,True,,False,False,,,True,True,True,True,
District of Columbia,597,611.7,,585.5,586.0,598.0,621.0,624.8,554.6,,595.5,632.0,,,604.1,594.3,694.5,607.7,,14.7,,-11.5,-11.0,1.0,24.0,27.8,-42.4,,-1.5,35.0,,,7.1,-2.7,97.5,10.7,,,True,True,True,False,False,False,,True,False,,,True,True,False,True,
Florida,9345,6724.0,,10747.1,9529.0,6361.0,7495.5,8471.2,6285.2,,6535.0,5465.5,,,7680.4,8704.3,10569.4,7927.9,7630.0,-2621.0,,1402.1,184.0,-2984.0,-1849.5,-873.8,-3059.8,,-2810.0,-3879.5,,,-1664.6,-640.7,1224.4,-1417.1,-1715.0,,True,True,False,True,True,False,,False,False,,,True,True,True,True,True
