,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Kentucky,810,854.4,586.1,973.2,559.0,924.2,781.2,1028.5,44.4,-223.9,163.2,-251.0,114.2,-28.8,218.5,False,False,False,False,True,False
Louisiana,4430,4365.3,3285.8,3231.9,3280.0,3314.3,2909.7,4120.3,-64.7,-1144.2,-1198.1,-1150.0,-1115.7,-1520.3,-309.7,False,False,False,False,False,False
Maine,127,197.6,139.3,367.7,124.0,111.6,178.0,147.8,70.6,12.3,240.7,-3.0,-15.4,51.0,20.8,True,False,True,True,True,True
Maryland,3636,4888.0,3749.3,3670.5,3723.0,4201.5,3661.0,5511.7,1252.0,113.3,34.5,87.0,565.5,25.0,1875.7,True,True,True,True,True,False
Massachusetts,8826,11948.9,8323.3,8111.2,8813.0,9012.1,7364.7,9140.1,3122.9,-502.7,-714.8,-13.0,186.1,-1461.3,314.1,True,True,True,True,True,True
Michigan,6586,9877.3,6041.3,6552.5,7337.0,6756.2,5764.9,6940.1,3323.3,-512.7,-1.5,783.0,202.2,-789.1,386.1,True,True,True,True,True,True
Minnesota,1705,2646.0,1671.6,2358.7,2223.0,1846.3,1416.7,3497.9,941.0,-33.4,653.7,518.0,141.3,-288.3,1792.9,True,True,True,True,True,False
Mississippi,2080,1635.1,1091.3,1418.4,948.0,1159.6,1236.6,1905.6,-444.9,-988.7,-661.6,-1132.0,-920.4,-843.4,-174.4,False,False,False,False,False,True
Missouri,1378,1199.4,982.6,1271.4,1029.0,1709.6,1161.2,1960.3,-143.6,-360.4,-71.6,-314.0,366.6,-181.8,617.3,False,True,False,False,False,False
Montana,82,27.9,19.7,19.1,18.0,21.1,16.3,21.4,-54.1,-62.3,-62.9,-64.0,-60.9,-65.7,-60.6,False,False,False,False,False,False
Nebraska,361,354.6,386.1,867.9,270.0,325.3,210.2,451.6,-6.4,25.1,506.9,-91.0,-35.7,-150.8,90.6,False,False,False,False,False,False
Nevada,1069,645.0,530.8,672.9,561.0,599.4,602.2,790.0,-424.0,-538.2,-396.1,-508.0,-469.6,-466.8,-279.0,False,True,False,False,False,True
New Hampshire,423,690.1,310.2,517.3,312.0,530.9,373.3,714.1,267.1,-112.8,94.3,-111.0,107.9,-49.7,291.1,True,True,True,True,True,False
New Jersey,15910,16887.7,12763.1,13277.4,13610.0,14067.4,11882.6,14423.9,2817.7,-1306.9,-792.6,-460.0,-2.6,-2187.4,353.9,True,True,True,True,True,True
New Mexico,711,790.3,482.4,712.3,499.0,733.5,450.5,926.5,79.3,-228.6,1.3,-212.0,22.5,-260.5,215.5,False,True,False,True,False,False
New York,32809,36189.7,31889.2,31797.2,32506.0,31412.2,29586.4,32823.8,4232.7,-67.8,-159.8,549.0,-544.8,-2370.6,866.8,True,True,True,True,True,True
North Carolina,2343,1968.4,2072.1,3874.9,1664.0,1961.4,3091.8,2782.5,-374.6,-270.9,1531.9,-679.0,-381.6,748.8,439.5,True,False,False,False,False,False
North Dakota,121,180.4,102.1,186.0,119.0,101.7,79.9,168.6,59.4,-18.9,65.0,-2.0,-19.3,-41.1,47.6,True,False,True,True,True,True
Ohio,3824,4587.0,2897.0,3997.1,3064.0,3382.4,3101.1,5573.8,763.0,-927.0,173.1,-760.0,-441.6,-722.9,1749.8,False,True,True,True,True,False
Oklahoma,657,486.0,411.2,468.6,388.0,408.9,477.8,498.7,-171.0,-245.8,-188.4,-269.0,-248.1,-179.2,-158.3,False,False,False,False,False,True
Oregon,386,261.6,179.7,238.0,190.0,224.9,234.2,229.1,-124.4,-206.3,-148.0,-196.0,-161.1,-151.8,-156.9,False,False,False,False,False,False
Pennsylvania,7451,9767.6,6513.6,7587.7,6521.0,8175.3,6418.8,8846.4,2316.6,-937.4,136.7,-930.0,724.3,-1032.2,1395.4,True,True,True,True,True,True
Rhode Island,1021,1304.3,863.8,1000.5,940.0,988.1,637.7,1525.8,283.3,-157.2,-20.5,-81.0,-32.9,-383.3,504.8,True,True,True,True,False,False
South Carolina,2260,1058.6,802.6,865.6,650.0,903.1,1086.6,1517.4,-1201.4,-1457.4,-1394.4,-1610.0,-1356.9,-1173.4,-742.6,False,False,False,False,True,True
South Dakota,152,94.6,119.6,107.4,84.0,90.3,75.1,156.0,-57.4,-32.4,-44.6,-68.0,-61.7,-76.9,4.0,True,True,False,False,False,True
Tennessee,1345,950.3,747.4,896.4,802.0,685.0,726.3,1021.5,-394.7,-597.6,-448.6,-543.0,-660.0,-618.7,-323.5,False,False,False,False,False,True
Texas,10268,3477.3,3114.2,3844.5,2554.0,2807.9,3907.0,4317.3,-6665.7,-7028.8,-6298.5,-7589.0,-7335.1,-6236.0,-5825.7,False,True,False,False,True,True
Utah,363,199.9,386.9,463.6,258.0,284.9,267.6,345.8,-163.1,23.9,100.6,-105.0,-78.1,-95.4,-17.2,True,True,True,True,True,True
Vermont,58,55.0,57.8,67.5,56.0,64.3,51.6,62.1,-3.0,-0.2,9.5,-2.0,6.3,-6.4,4.1,True,False,True,False,False,False
Virginia,2381,2308.7,2129.7,2265.5,1988.0,2216.0,2177.0,3079.5,-61.3,-240.3,-104.5,-382.0,-154.0,-193.0,709.5,False,False,False,False,False,False
Washington,1766,1541.4,1451.9,1239.8,1359.0,1307.5,1442.6,1719.2,-224.6,-314.1,-526.2,-407.0,-458.5,-323.4,-46.8,False,False,False,False,False,True
West Virginia,160,172.7,121.6,151.8,86.0,128.7,128.4,133.2,12.7,-38.4,-8.2,-74.0,-31.3,-31.6,-26.8,False,True,False,False,False,False
Wisconsin,1038,1189.1,1071.8,2125.2,1007.0,854.1,1050.9,1530.3,151.1,33.8,1087.2,-31.0,-183.9,12.9,492.3,True,False,True,False,True,False
Wyoming,30,26.9,24.9,31.5,17.0,18.4,26.7,30.1,-3.1,-5.1,1.5,-13.0,-11.6,-3.3,0.1,False,True,False,False,False,True
US,169457,170967.9,131131.7,151886.2,132600.0,133016.7,131004.8,169334.4,4388.9,-35447.3,-14692.8,-33979.0,-33562.3,-35574.2,2755.4,False,False,False,False,False,True
