,mean_rank
UMass-MechBayes,9.8
LNQ-ens1,10.1
COVIDhub-ensemble,10.2
CMU-TimeSeries,10.4
OliverWyman-Navigator,11.8
COVIDhub-baseline,12.1
YYG-ParamSearch,12.2
UA-EpiCovDA,12.6
UCLA-SuEIR,12.9
USC-SI_kJalpha,13.0
Karlen-pypm,13.0
CovidAnalytics-DELPHI,14.2
GT-DeepCOVID,14.6
Covid19Sim-Simulator,14.6
DDS-NBDS,14.7
JCB-PRM,14.9
MOBS-GLEAM_COVID,15.4
LANL-GrowthRate,15.6
CU-select,15.8
IHME-CurveFit,16.0
IowaStateLW-STEM,16.9
RobertWalraven-ESG,17.3
UT-Mobility,17.8
MITCovAlliance-SIR,18.5
PSI-DRAFT,18.7
USACE-ERDC_SEIR,19.2
Auquan-SEIR,20.3
JHU_IDD-CovidSP,20.7
NotreDame-mobility,21.9
