,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1896,1888.9,1972.0,1912.7,1915.0,1907.0,1910.0,1928.0,,1879.0,2010.5,1880.9,,1907.5,1875.2,1953.1,1969.0,2005.9,1873.7,1885.6,1904.4,,1976.5,1912.0,1855.0,,1932.1,1887.8,,1888.0,1903.8,,1898.0,1917.2,1942.8,1898.0,1899.9,1778.0,-7.1,76.0,16.7,19.0,11.0,14.0,32.0,,-17.0,114.5,-15.1,,11.5,-20.8,57.1,73.0,109.9,-22.3,-10.4,8.4,,80.5,16.0,-41.0,,36.1,-8.2,,-8.0,7.8,,2.0,21.2,46.8,2.0,3.9,-118.0,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,,True,False,False,True,True,False
Alaska,28,27.7,33.0,28.0,28.0,28.0,29.0,26.0,,30.0,30.1,28.4,,28.1,30.4,30.8,37.7,29.9,27.5,26.6,28.9,,32.7,28.1,30.0,,,27.8,,29.0,27.8,,29.0,27.5,29.8,26.0,28.6,,-0.3,5.0,0.0,0.0,0.0,1.0,-2.0,,2.0,2.1,0.4,,0.1,2.4,2.8,9.7,1.9,-0.5,-1.4,0.9,,4.7,0.1,2.0,,,-0.2,,1.0,-0.2,,1.0,-0.5,1.8,-2.0,0.6,,False,True,True,True,False,False,,False,False,False,,True,False,False,False,False,False,False,False,,False,True,False,,,True,,False,True,,False,False,False,False,False,
Arizona,4492,4480.0,4625.0,4543.2,4525.0,4527.0,4504.0,4430.0,,4504.0,4910.8,,,4577.2,4574.4,4535.1,4399.5,4592.6,4356.9,4404.3,4483.3,,4634.9,4430.0,4422.0,,4686.1,4562.2,,4352.0,4488.4,,4409.0,4671.1,4504.1,4442.0,4498.0,4066.0,-12.0,133.0,51.2,33.0,35.0,12.0,-62.0,,12.0,418.8,,,85.2,82.4,43.1,-92.5,100.6,-135.1,-87.7,-8.7,,142.9,-62.0,-70.0,,194.1,70.2,,-140.0,-3.6,,-83.0,179.1,12.1,-50.0,6.0,-426.0,False,False,False,False,False,False,,False,False,,,False,False,False,False,False,False,False,True,,False,False,False,,False,False,,False,True,,False,False,False,False,True,False
Arkansas,600,612.6,644.0,612.4,601.0,612.0,602.0,607.0,,586.0,623.3,602.3,,611.9,585.6,602.7,644.1,594.9,594.3,607.9,602.0,,594.4,619.0,587.0,,,562.4,,667.0,611.5,,598.0,596.8,591.8,608.0,600.4,563.0,12.6,44.0,12.4,1.0,12.0,2.0,7.0,,-14.0,23.3,2.3,,11.9,-14.4,2.7,44.1,-5.1,-5.7,7.9,2.0,,-5.6,19.0,-13.0,,,-37.6,,67.0,11.5,,-2.0,-3.2,-8.2,8.0,0.4,-37.0,False,True,True,True,True,True,,False,False,True,,True,False,True,False,True,True,True,True,,True,False,False,,,False,,False,True,,True,True,True,True,True,False
California,11218,11217.9,11518.0,11253.1,11242.0,11269.0,11164.0,11098.0,,11141.0,11355.3,11097.3,,11363.9,11047.5,11265.6,11285.8,11600.8,10994.5,11243.5,11192.6,,10715.5,11144.1,11286.0,,11242.2,11650.1,,11065.0,11230.0,10289.0,11100.0,11096.8,11410.2,11159.0,11188.3,10658.0,-0.1,300.0,35.1,24.0,51.0,-54.0,-120.0,,-77.0,137.3,-120.7,,145.9,-170.5,47.6,67.8,382.8,-223.5,25.5,-25.4,,-502.5,-73.9,68.0,,24.2,432.1,,-153.0,12.0,-929.0,-118.0,-121.2,192.2,-59.0,-29.7,-560.0,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False
Colorado,1896,1870.0,1957.0,1868.8,1880.0,1870.0,1891.0,1902.0,,1906.0,1886.9,1890.7,,1873.4,1955.5,1909.6,1911.6,1912.2,1879.3,1877.8,1872.7,,1895.7,1869.4,1893.0,,1902.5,1895.9,,1883.0,1869.3,,1884.0,1887.7,1980.6,1881.0,1896.8,,-26.0,61.0,-27.2,-16.0,-26.0,-5.0,6.0,,10.0,-9.1,-5.3,,-22.6,59.5,13.6,15.6,16.2,-16.7,-18.2,-23.3,,-0.3,-26.6,-3.0,,6.5,-0.1,,-13.0,-26.7,,-12.0,-8.3,84.6,-15.0,0.8,,False,False,True,False,True,True,,True,True,True,,True,False,True,True,True,True,True,True,,True,False,True,,True,True,,True,False,,True,True,False,True,True,
Connecticut,4453,4448.7,4532.0,4450.0,4451.0,4450.0,4453.0,4454.0,,4445.0,4450.2,4463.7,,4448.3,4455.3,4455.1,4458.5,4455.0,4447.3,4445.6,4468.2,,4445.7,4449.5,4453.0,,4465.4,4456.6,,4446.0,4449.4,,4448.0,4454.8,4496.2,4448.0,4452.7,,-4.3,79.0,-3.0,-2.0,-3.0,0.0,1.0,,-8.0,-2.8,10.7,,-4.7,2.3,2.1,5.5,2.0,-5.7,-7.4,15.2,,-7.3,-3.5,0.0,,12.4,3.6,,-7.0,-3.6,,-5.0,1.8,43.2,-5.0,-0.3,,False,True,True,True,True,True,,False,True,False,,False,True,True,False,True,False,False,False,,False,True,True,,False,True,,False,True,,False,True,False,False,True,
Delaware,608,596.1,621.0,591.4,593.0,595.0,597.0,597.0,,601.0,602.1,623.9,,595.5,592.3,596.7,602.4,593.4,594.2,593.9,602.7,,625.4,595.7,598.0,,,624.2,,597.0,595.6,,597.0,608.5,613.4,592.0,597.5,,3.1,28.0,-1.6,0.0,2.0,4.0,4.0,,8.0,9.1,30.9,,2.5,-0.7,3.7,9.4,0.4,1.2,0.9,9.7,,32.4,2.7,5.0,,,31.2,,4.0,2.6,,4.0,15.5,20.4,-1.0,4.5,,False,True,True,True,False,False,,False,False,False,,True,True,False,False,True,True,True,False,,False,True,False,,,False,,False,True,,False,False,False,True,False,
District of Columbia,597,595.3,615.0,595.4,594.0,595.0,595.0,599.0,,599.0,594.9,594.6,,595.1,585.8,595.6,595.7,595.4,597.4,592.2,,,591.4,595.5,591.0,,,,,595.0,595.7,,596.0,,611.2,595.0,596.1,,-1.7,18.0,-1.6,-3.0,-2.0,-2.0,2.0,,2.0,-2.1,-2.4,,-1.9,-11.2,-1.4,-1.3,-1.6,0.4,-4.8,,,-5.6,-1.5,-6.0,,,,,-2.0,-1.3,,-1.0,,14.2,-2.0,-0.9,,False,True,False,False,False,False,,False,False,False,,False,False,True,True,True,True,False,,,False,True,False,,,,,False,True,,True,,False,False,True,
Florida,9345,9130.6,9423.0,9226.2,9214.0,9196.0,9107.0,8975.0,,8838.0,9664.7,8699.6,,9271.5,9287.8,9294.0,9062.1,9400.1,9013.1,9102.5,8923.6,,9153.0,9091.6,8897.5,,9470.8,9329.5,,8916.0,9086.7,,9038.0,9145.8,9168.4,9213.0,9184.6,8313.0,-214.4,78.0,-118.8,-131.0,-149.0,-238.0,-370.0,,-507.0,319.7,-645.4,,-73.5,-57.2,-51.0,-282.9,55.1,-331.9,-242.5,-421.4,,-192.0,-253.4,-447.5,,125.8,-15.5,,-429.0,-258.3,,-307.0,-199.2,-176.6,-132.0,-160.4,-1032.0,True,True,True,True,False,False,,False,False,False,,True,True,True,False,True,False,False,False,,True,False,False,,True,True,,False,False,,False,True,True,True,True,False
