,2020-07-06_2020-07-25,2020-07-13_2020-08-01,2020-07-20_2020-08-08,2020-07-27_2020-08-15,2020-08-03_2020-08-22,2020-08-10_2020-08-29,2020-08-17_2020-09-05,2020-08-24_2020-09-12,2020-08-31_2020-09-19,2020-09-07_2020-09-26,2020-09-14_2020-10-03,2020-09-21_2020-10-10,2020-09-28_2020-10-17,2020-10-05_2020-10-24,2020-10-12_2020-10-31,2020-10-19_2020-11-07,2020-10-26_2020-11-14,2020-11-02_2020-11-21,2020-11-09_2020-11-28,2020-11-16_2020-12-05,2020-11-23_2020-12-12,2020-11-30_2020-12-19,2020-12-07_2020-12-26,2020-12-14_2021-01-02,2020-12-21_2021-01-09,2020-12-28_2021-01-16,2021-01-04_2021-01-23,2021-01-11_2021-01-30,2021-01-18_2021-02-06,2021-01-25_2021-02-13,2021-02-01_2021-02-20,2021-02-08_2021-02-27,2021-02-15_2021-03-06
num_states_with_projections-LANL-GrowthRate,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-LNQ-ens1,,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,50,50,50,50
num_states_with_projections-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50
num_states_with_projections-MSRA-DeepST,,,,,,,,,,,,,,,,47,,47,47,50,50,50,50,,,,,,,,,,
num_states_with_projections-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50
num_states_with_projections-OliverWyman-Navigator,51,51,51,51,51,51,51,51,51,0,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-QJHong-Encounter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-RobertWalraven-ESG,51,51,48,49,49,50,50,51,51,51,51,51,48,51,51,51,51,51,51,50,50,51,50,50,50,50,51,51,51,51,51,51,51
num_states_with_projections-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,51,38,49
num_states_with_projections-TTU-squider,,,,,,,51,51,,,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UCF-AEM,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-UCLA-SuEIR,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,
num_states_with_projections-UCSB-ACTS,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,
num_states_with_projections-UMich-RidgeTfReg,0,0,31,26,28,45,36,40,43,49,49,50,50,50,50,50,50,50,50,50,50,6,6,6,50,50,50,50,50,50,50,49,47
num_states_with_projections-USACE-ERDC_SEIR,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,,51,,,51,51,51,,,,,,,,,,,
num_states_with_projections-USC-SI_kJalpha,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,51,51,,,,,,,,,,,,,,
num_states_with_projections-UVA-Ensemble,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,,51
num_states_with_projections-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
num_states_with_projections-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,45,45,44,,44,,,,,,
num_states_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,28,25,21,27,20,17,24,16,13,17,27,15,23,28,33,39,42,32
num_states_beat_baseline-CEID-Walk,,,,,,23,24,23,26,25,23,26,24,28,19,27,26,22,25,25,20,21,22,24,,21,28,28,24,34,27,29,27
num_states_beat_baseline-COVIDhub-ensemble,,,25,26,32,25,28,16,20,25,11,14,13,9,9,13,25,35,46,34,32,38,36,31,38,20,26,35,36,44,48,47,45
num_states_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,29,0
num_states_beat_baseline-CU-select,,,,,,22,17,23,18,12,15,16,20,30,34,36,34,40,41,30,31,28,29,30,26,5,7,7,36,35,34,28,37
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Covid19Sim-Simulator,19,18,15,10,8,,11,15,23,23,27,14,15,25,11,7,17,21,12,,19,23,21,17,26,38,20,42,12,14,30,43,43
num_states_beat_baseline-CovidActNow-SEIR_CAN,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-CovidAnalytics-DELPHI,10,4,4,11,13,8,10,9,8,10,5,3,2,2,5,3,9,5,3,2,15,21,14,17,18,17,10,24,27,27,29,35,32
num_states_beat_baseline-DDS-NBDS,,,,19,33,22,17,19,19,23,14,24,30,26,31,37,43,41,40,26,20,28,24,25,23,12,12,8,16,32,27,18,
num_states_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,4,,26,27,38,24,24,29,23,16,10,19,19,8,9,27,35,34,32
num_states_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,23,16,27,16,18,15,20,39,49,43,43
num_states_beat_baseline-IHME-CurveFit,,,6,5,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
num_states_beat_baseline-IowaStateLW-STEM,20,18,13,23,28,,24,17,20,25,20,18,16,5,4,6,15,18,21,27,18,32,20,11,17,30,23,30,8,19,25,25,15
num_states_beat_baseline-JCB-PRM,,,,,,,,,,25,24,24,31,36,30,23,39,33,27,31,29,26,15,10,12,31,,,,,,,
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,16,21,27,27,20,17,11,22,25,26,24,16,18,30,27,19,18,7,20,26,33,39,38,34,26
num_states_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,28,,41,42,43,47,30,18,31,22,22,28,21,21,12,8,28,25,35,35
num_states_beat_baseline-JHU_IDD-CovidSP,14,18,20,16,15,13,21,20,20,15,19,15,16,18,13,12,12,8,,18,25,21,19,28,20,14,4,37,42,40,40,35,19
num_states_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,39,40,39,25,,,24,20,22,10,7,42,,25,42,39,30
num_states_beat_baseline-Karlen-pypm,,,5,4,5,13,18,17,18,20,18,18,17,15,28,38,41,45,36,22,18,25,23,16,23,19,9,36,34,36,46,41,36
num_states_beat_baseline-LANL-GrowthRate,10,9,8,23,26,22,20,12,16,15,9,7,8,2,6,1,8,44,39,32,32,33,34,27,22,21,18,31,35,47,47,42,30
num_states_beat_baseline-LNQ-ens1,,28,19,26,28,29,22,14,28,28,22,23,27,22,41,44,48,48,44,27,33,30,33,29,28,4,22,13,42,50,49,45,39
num_states_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,27,32,33,32
num_states_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,33,36,31,27,24
num_states_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,20,,41,39,29,20,33,31,,,,,,,,,,
num_states_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,32,25,26,30,30,24,20,10,45,46,40
num_states_beat_baseline-OliverWyman-Navigator,26,21,12,10,16,24,20,19,16,,28,24,28,38,39,43,46,44,44,30,23,38,32,22,13,35,19,18,4,17,33,34,40
num_states_beat_baseline-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,20,28,24,32,30,27,15,37,38,28,31,21,22
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-RobertWalraven-ESG,1,8,10,16,27,16,19,11,8,6,7,6,1,8,11,41,12,23,38,27,27,22,22,21,31,3,19,25,38,39,47,44,39
num_states_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,24,33
num_states_beat_baseline-TTU-squider,,,,,,,15,11,,,10,,13,12,6,2,5,13,13,7,12,12,15,17,11,15,10,31,29,31,30,21,20
num_states_beat_baseline-UCF-AEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UCLA-SuEIR,27,25,19,15,26,24,20,18,19,18,7,10,9,3,3,0,0,3,8,7,27,24,22,24,19,13,14,30,44,40,35,33,
num_states_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,32,35,29,17,18,16,12,8,11,17,13,24,5,4,,,
num_states_beat_baseline-UMich-RidgeTfReg,,,7,5,4,8,7,11,16,17,24,20,16,28,27,28,33,26,19,12,16,3,4,4,16,14,11,16,19,13,12,17,17
num_states_beat_baseline-USACE-ERDC_SEIR,13,9,16,19,27,27,27,18,15,24,17,22,25,,27,,32,,,26,19,10,,,,,,,,,,,
num_states_beat_baseline-USC-SI_kJalpha,30,15,15,29,27,25,25,15,14,18,11,17,19,24,26,28,28,28,22,19,24,25,31,25,29,30,17,39,27,46,48,44,43
num_states_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,46,46,,,,,,,,,,,,,,
num_states_beat_baseline-UVA-Ensemble,,,,,,,,,,,,,,,,,,,,29,23,27,16,7,12,4,18,12,7,4,42,,38
num_states_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,1,20,11,,5,,,,,,
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,0.5490196078,0.4901960784,0.4117647059,0.5294117647,0.3921568627,0.3333333333,0.4705882353,0.3137254902,0.2549019608,0.3333333333,0.5294117647,0.2941176471,0.4509803922,0.5490196078,0.6470588235,0.7647058824,0.8235294118,0.6274509804
perc_beat_baseline-CEID-Walk,,,,,,0.4509803922,0.4705882353,0.4509803922,0.5098039216,0.4901960784,0.4509803922,0.5098039216,0.4705882353,0.5490196078,0.3725490196,0.5294117647,0.5098039216,0.431372549,0.4901960784,0.4901960784,0.3921568627,0.4117647059,0.431372549,0.4705882353,,0.4117647059,0.5490196078,0.5490196078,0.4705882353,0.6666666667,0.5294117647,0.568627451,0.5294117647
perc_beat_baseline-COVIDhub-ensemble,,,0.4901960784,0.5098039216,0.6274509804,0.4901960784,0.5490196078,0.3137254902,0.3921568627,0.4901960784,0.2156862745,0.2745098039,0.2549019608,0.1764705882,0.1764705882,0.2549019608,0.4901960784,0.6862745098,0.9019607843,0.6666666667,0.6274509804,0.7450980392,0.7058823529,0.6078431373,0.7450980392,0.3921568627,0.5098039216,0.6862745098,0.7058823529,0.862745098,0.9411764706,0.9215686275,0.8823529412
perc_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6274509804,0.568627451,0
perc_beat_baseline-CU-select,,,,,,0.431372549,0.3333333333,0.4509803922,0.3529411765,0.2352941176,0.2941176471,0.3137254902,0.3921568627,0.5882352941,0.6666666667,0.7058823529,0.6666666667,0.7843137255,0.8039215686,0.5882352941,0.6078431373,0.5490196078,0.568627451,0.5882352941,0.5098039216,0.09803921569,0.137254902,0.137254902,0.7058823529,0.6862745098,0.6666666667,0.5490196078,0.7254901961
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,0.3725490196,0.3529411765,0.2941176471,0.1960784314,0.1568627451,,0.6875,0.2941176471,0.4509803922,0.4509803922,0.5294117647,0.2745098039,0.2941176471,0.4901960784,0.2156862745,0.137254902,0.3333333333,0.4117647059,0.2352941176,,0.3725490196,0.4509803922,0.4117647059,0.3333333333,0.5098039216,0.7450980392,0.3921568627,0.8235294118,0.2352941176,0.2745098039,0.5882352941,0.8431372549,0.8431372549
perc_beat_baseline-CovidActNow-SEIR_CAN,0.3529411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-CovidAnalytics-DELPHI,0.1960784314,0.07843137255,0.07843137255,0.2156862745,0.2549019608,0.1568627451,0.1960784314,0.1764705882,0.1568627451,0.1960784314,0.09803921569,0.05882352941,0.03921568627,0.03921568627,0.09803921569,0.05882352941,0.1764705882,0.09803921569,0.05882352941,0.03921568627,0.2941176471,0.4117647059,0.2745098039,0.3333333333,0.3529411765,0.3333333333,0.1960784314,0.4705882353,0.5294117647,0.5294117647,0.568627451,0.6862745098,0.6274509804
perc_beat_baseline-DDS-NBDS,,,,0.3725490196,0.6470588235,0.431372549,0.3333333333,0.3725490196,0.3725490196,0.4509803922,0.2745098039,0.4705882353,0.5882352941,0.5098039216,0.6078431373,0.7254901961,0.8431372549,0.8039215686,0.7843137255,0.5098039216,0.3921568627,0.5490196078,0.4705882353,0.4901960784,0.4509803922,0.2352941176,0.2352941176,0.1568627451,0.3137254902,0.6274509804,0.5294117647,0.3529411765,
perc_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,0.07843137255,,0.5098039216,0.5294117647,0.7450980392,0.4705882353,0.4705882353,0.568627451,0.4509803922,0.3137254902,0.1960784314,0.3725490196,0.3725490196,0.1568627451,0.1764705882,0.5294117647,0.6862745098,0.6666666667,0.6274509804
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,0.4509803922,0.3137254902,0.5294117647,0.3137254902,0.3529411765,0.2941176471,0.3921568627,0.7647058824,0.9607843137,0.8431372549,0.8431372549
perc_beat_baseline-IHME-CurveFit,,,0.1176470588,0.09803921569,0.1764705882,0.09803921569,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,,,,0.2244897959,,,,,,,,,
perc_beat_baseline-IowaStateLW-STEM,0.4081632653,0.3673469388,0.2653061224,0.4693877551,0.5714285714,,0.4897959184,0.3469387755,0.4081632653,0.5102040816,0.4081632653,0.3673469388,0.3265306122,0.1020408163,0.08163265306,0.1224489796,0.306122449,0.3673469388,0.4285714286,0.5510204082,0.3673469388,0.6530612245,0.4081632653,0.2244897959,0.3469387755,0.612244898,0.4693877551,0.612244898,0.1632653061,0.387755102,0.5102040816,0.5102040816,0.306122449
perc_beat_baseline-JCB-PRM,,,,,,,,,,0.4901960784,0.4705882353,0.4705882353,0.6078431373,0.7058823529,0.5882352941,0.4509803922,0.7647058824,0.6470588235,0.5294117647,0.6078431373,0.568627451,0.5098039216,0.2941176471,0.1960784314,0.2352941176,0.6078431373,,,,,,,
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,0.3137254902,0.4117647059,0.5294117647,0.5294117647,0.3921568627,0.3333333333,0.2156862745,0.431372549,0.4901960784,0.5098039216,0.4705882353,0.3137254902,0.3529411765,0.5882352941,0.5294117647,0.3725490196,0.3529411765,0.137254902,0.3921568627,0.5098039216,0.6470588235,0.7647058824,0.7450980392,0.6666666667,0.5098039216
perc_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,0.6666666667,,0.8039215686,0.8235294118,0.8958333333,0.9215686275,0.5882352941,0.3529411765,0.6078431373,0.431372549,0.44,0.56,0.4117647059,0.4285714286,0.2448979592,0.1632653061,0.5833333333,0.4901960784,0.6862745098,0.6862745098
perc_beat_baseline-JHU_IDD-CovidSP,0.2745098039,0.3529411765,0.3921568627,0.3137254902,0.2941176471,0.2549019608,0.4117647059,0.3921568627,0.3921568627,0.2941176471,0.3725490196,0.2941176471,0.3137254902,0.3529411765,0.2549019608,0.2352941176,0.2352941176,0.1568627451,,0.3529411765,0.4901960784,0.4117647059,0.3725490196,0.5490196078,0.3921568627,0.2745098039,0.07843137255,0.7254901961,0.8235294118,0.7843137255,0.7843137255,0.6862745098,0.3725490196
perc_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,0.7647058824,0.7843137255,0.7647058824,0.4901960784,,,0.4705882353,0.3921568627,0.431372549,0.1960784314,0.137254902,0.8235294118,,0.4901960784,0.8235294118,0.7647058824,0.5882352941
perc_beat_baseline-Karlen-pypm,,,0.09803921569,0.07843137255,0.09803921569,0.2549019608,0.3529411765,0.3333333333,0.3529411765,0.3921568627,0.3529411765,0.3529411765,0.3333333333,0.2941176471,0.5490196078,0.7450980392,0.8039215686,0.8823529412,0.7058823529,0.431372549,0.3529411765,0.4901960784,0.4509803922,0.3137254902,0.4509803922,0.3725490196,0.1764705882,0.7058823529,0.6666666667,0.7058823529,0.9019607843,0.8039215686,0.7058823529
perc_beat_baseline-LANL-GrowthRate,0.1960784314,0.1764705882,0.1568627451,0.4509803922,0.5098039216,0.431372549,0.3921568627,0.2352941176,0.3137254902,0.2941176471,0.1764705882,0.137254902,0.1568627451,0.03921568627,0.1176470588,0.01960784314,0.1568627451,0.862745098,0.7647058824,0.6274509804,0.6274509804,0.6470588235,0.6666666667,0.5294117647,0.431372549,0.4117647059,0.3529411765,0.6078431373,0.6862745098,0.9215686275,0.9215686275,0.8235294118,0.5882352941
perc_beat_baseline-LNQ-ens1,,0.56,0.3725490196,0.5098039216,0.5490196078,0.568627451,0.431372549,0.2745098039,0.5490196078,0.5490196078,0.431372549,0.4509803922,0.5294117647,0.431372549,0.8039215686,0.862745098,0.9411764706,0.9411764706,0.862745098,0.5294117647,0.6470588235,0.5882352941,0.6470588235,0.568627451,0.5490196078,0.07843137255,0.431372549,0.2549019608,0.8235294118,0.9803921569,0.9607843137,0.8823529412,0.7647058824
perc_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4693877551,0.54,0.64,0.66,0.64
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.66,0.72,0.62,0.54,0.48
perc_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,0.4255319149,,0.8723404255,0.829787234,0.58,0.4,0.66,0.62,,,,,,,,,,
perc_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,0.64,0.5,0.52,0.6,0.6,0.48,0.4,0.2,0.9,0.92,0.8
perc_beat_baseline-OliverWyman-Navigator,0.5098039216,0.4117647059,0.2352941176,0.1960784314,0.3137254902,0.4705882353,0.3921568627,0.3725490196,0.3137254902,,0.5490196078,0.4705882353,0.5490196078,0.7450980392,0.7647058824,0.8431372549,0.9019607843,0.862745098,0.862745098,0.5882352941,0.4509803922,0.7450980392,0.6274509804,0.431372549,0.2549019608,0.6862745098,0.3725490196,0.3529411765,0.07843137255,0.3333333333,0.6470588235,0.6666666667,0.7843137255
perc_beat_baseline-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,0.3921568627,0.5490196078,0.4705882353,0.6274509804,0.5882352941,0.5294117647,0.2941176471,0.7254901961,0.7450980392,0.5490196078,0.6078431373,0.4117647059,0.431372549
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,0.01960784314,0.1568627451,0.2083333333,0.3265306122,0.5510204082,0.32,0.38,0.2156862745,0.1568627451,0.1176470588,0.137254902,0.1176470588,0.02083333333,0.1568627451,0.2156862745,0.8039215686,0.2352941176,0.4509803922,0.7450980392,0.54,0.54,0.431372549,0.44,0.42,0.62,0.06,0.3725490196,0.4901960784,0.7450980392,0.7647058824,0.9215686275,0.862745098,0.7647058824
perc_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5098039216,0.6315789474,0.6734693878
perc_beat_baseline-TTU-squider,,,,,,,0.2941176471,0.2156862745,,,0.1960784314,,0.2549019608,0.2352941176,0.1176470588,0.03921568627,0.09803921569,0.2549019608,0.2549019608,0.137254902,0.2352941176,0.2352941176,0.2941176471,0.3333333333,0.2156862745,0.2941176471,0.1960784314,0.6078431373,0.568627451,0.6078431373,0.5882352941,0.4117647059,0.3921568627
perc_beat_baseline-UCF-AEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UCLA-SuEIR,0.5294117647,0.4901960784,0.3725490196,0.2941176471,0.5098039216,0.4705882353,0.3921568627,0.3529411765,0.3725490196,0.3529411765,0.137254902,0.1960784314,0.1764705882,0.05882352941,0.05882352941,0,0,0.05882352941,0.1568627451,0.137254902,0.5294117647,0.4705882353,0.431372549,0.4705882353,0.3725490196,0.2549019608,0.2745098039,0.5882352941,0.862745098,0.7843137255,0.6862745098,0.6470588235,
perc_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,0.6274509804,0.6862745098,0.568627451,0.3333333333,0.3529411765,0.3137254902,0.2352941176,0.1568627451,0.2156862745,0.3333333333,0.2549019608,0.4705882353,0.09803921569,0.07843137255,,,
perc_beat_baseline-UMich-RidgeTfReg,,,0.2258064516,0.1923076923,0.1428571429,0.1777777778,0.1944444444,0.275,0.3720930233,0.3469387755,0.4897959184,0.4,0.32,0.56,0.54,0.56,0.66,0.52,0.38,0.24,0.32,0.5,0.6666666667,0.6666666667,0.32,0.28,0.22,0.32,0.38,0.26,0.24,0.3469387755,0.3617021277
perc_beat_baseline-USACE-ERDC_SEIR,0.2549019608,0.1764705882,0.3137254902,0.3725490196,0.5294117647,0.5294117647,0.5294117647,0.3529411765,0.2941176471,0.4705882353,0.3333333333,0.431372549,0.4901960784,,0.5294117647,,0.6274509804,,,0.5098039216,0.3725490196,0.1960784314,,,,,,,,,,,
