,2020-08-17_2020-10-10,2020-08-24_2020-10-10,2020-08-31_2020-10-10,2020-09-07_2020-10-10,2020-09-14_2020-10-10,2020-09-21_2020-10-10,2020-09-28_2020-10-10,2020-10-05_2020-10-10
perc_beat_baseline-JHUAPL-Bucky,,,,,0.4525699958,0.4285259472,0.4546322827,0.464820121
perc_beat_baseline-JHU_IDD-CovidSP,,,,0.5020707232,0.4679834342,0.4479133482,0.3953488372,0.3714558777
perc_beat_baseline-Karlen-pypm,,,,,,,,
perc_beat_baseline-LANL-GrowthRate,,0.2507624534,0.2436462216,0.2409352762,0.1829888174,0.248051508,0.2453405625,0.2558454761
perc_beat_baseline-LNQ-ens1,,,,,0.3915950334,0.47086915,0.4963387456,0.4836039478
perc_beat_baseline-MITCovAlliance-SIR,0.3194842407,,0.3308001788,0.3442408377,0.322787516,0.3407005838,0.3039414872,
perc_beat_baseline-OliverWyman-Navigator,,,,,,0.3576301616,0.4077284218,0.4486583184
perc_beat_baseline-PandemicCentral-USCounty,,,,,,,0.3105936373,0.302890933
perc_beat_baseline-QJHong-Encounter,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,0.3406558421,0.3190066858,0.2617000955,0.2652021649,0.2260426616,0.2785737026,0.2830308819,0.3317414836
perc_beat_baseline-TTU-squider,,,,,,,,
perc_beat_baseline-UCLA-SuEIR,0.4404636459,0.4216312057,0.424294563,0.4129424383,0.2803030303,0.353221957,0.3830827068,0.3890977444
perc_beat_baseline-UMass-MechBayes,,,,,0.2244897959,0.3353909465,0.337398374,0.4060606061
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,
perc_beat_baseline-USACE-ERDC_SEIR,,,,,,,,
perc_beat_baseline-USC-SI_kJalpha,0.3324937028,0.3016900396,0.3265086207,0.34815346,0.294265233,0.367251881,0.3647100931,0.4081107177
perc_beat_baseline-UVA-Ensemble,,,,,0.2725958062,0.4870503597,0.4194013704,0.2940095553
