,2020-07-06_2020-07-11,2020-07-13_2020-07-18,2020-07-20_2020-07-25,2020-07-27_2020-08-01,2020-08-03_2020-08-08,2020-08-10_2020-08-15,2020-08-17_2020-08-22,2020-08-24_2020-08-29,2020-08-31_2020-09-05,2020-09-07_2020-09-12,2020-09-14_2020-09-19,2020-09-21_2020-09-26,2020-09-28_2020-10-03,2020-10-05_2020-10-10,2020-10-12_2020-10-17,2020-10-19_2020-10-24,2020-10-26_2020-10-31,2020-11-02_2020-11-07,2020-11-09_2020-11-14,2020-11-16_2020-11-21,2020-11-23_2020-11-28
num_counties_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-CDDEP-SEIR_MCMC,9,198,274,269,298,272,255,,,,,,,,,,,,,,
num_counties_beat_baseline-CEID-Walk,,,,,,1480,1483,1432,1484,1438,1488,1493,1462,1457,1508,1524,1435,1512,1572,1552,1519
num_counties_beat_baseline-CMU-TimeSeries,,,,,,99,121,98,95,119,70,84,105,75,108,92,104,146,131,106,69
num_counties_beat_baseline-COVIDhub-ensemble,,,1472,1444,1516,1419,1580,1426,1330,1601,1124,1331,1254,1021,1030,1029,1001,1306,1283,1293,1534
num_counties_beat_baseline-CU-select,1030,1107,1066,1177,1147,1226,1173,1148,1130,1182,937,896,896,1043,1031,1093,1140,1209,1256,1126,1125
num_counties_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-Covid19Sim-Simulator,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-FAIR-NRAR,,,,,,,,,,,,,,,,,,,,,1421
num_counties_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,1258,976,927,1143,1410,1658,734,937,1228
num_counties_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-IHME-CurveFit,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-IowaStateLW-STEM,1174,1112,1285,1265,1250,,1257,1247,1244,1244,1206,1143,1076,1230,1206,1155,1255,1445,1250,1187,1187
num_counties_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-JHUAPL-Bucky,,,,,,,,,1342,1133,1039,1315,1357,1460,1365,1214,1246,1303,1443,949,1040
num_counties_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-JHU_IDD-CovidSP,1154,1316,1299,1324,1233,1254,1276,1262,1316,1372,1269,1258,1268,1162,921,856,793,577,,748,1129
num_counties_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,597,623,532,547,
num_counties_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-LANL-GrowthRate,659,667,1067,1233,1215,1250,1255,1100,1091,1289,848,1023,1057,758,865,760,799,1444,1459,1221,1357
num_counties_beat_baseline-LNQ-ens1,,549,1708,1745,1776,1703,1774,1566,1694,1816,1474,1629,1691,1527,1737,1575,1624,1723,1859,1769,1877
num_counties_beat_baseline-MITCovAlliance-SIR,408,539,606,688,794,,851,,751,872,690,763,775,,641,563,510,,,,
num_counties_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-OliverWyman-Navigator,1273,947,1229,1176,1149,1251,1345,1200,1081,991,1236,1104,1076,1250,1340,1335,1567,1698,1865,1553,1043
num_counties_beat_baseline-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,1165
num_counties_beat_baseline-PandemicCentral-USCounty,,,,,,,,,955,1156,953,1007,975,920,870,823,481,854,674,496,
num_counties_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-RobertWalraven-ESG,,,,,1430,1352,1439,1299,1105,1376,1018,1137,1151,1046,,,,,,,
num_counties_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-UCF-AEM,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-UCLA-SuEIR,307,361,346,1298,1228,1349,1442,1321,1420,1467,296,387,1214,1045,307,319,315,273,243,338,649
num_counties_beat_baseline-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,2024,1518,1218
num_counties_beat_baseline-UMass-MechBayes,,232,214,217,232,227,257,180,186,250,167,197,189,198,205,192,236,257,259,222,176
num_counties_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-USACE-ERDC_SEIR,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-USC-SI_kJalpha,1093,1075,866,1332,1069,1164,1196,1069,1133,1089,1068,1238,1005,1263,1107,1159,1076,1280,1161,,
num_counties_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-UVA-Ensemble,,,40,61,77,53,44,1191,964,820,839,1116,1283,801,739,695,735,1937,1474,1331,1247
num_counties_beat_baseline-Yu_Group-CLEP,,,,,,1018,1037,,1077,997,1180,1056,674,,139,,,,,,980
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-CDDEP-SEIR_MCMC,0.375,0.2018348624,0.2793068298,0.2742099898,0.3050153531,0.278974359,0.2599388379,,,,,,,,,,,,,,
perc_beat_baseline-CEID-Walk,,,,,,0.4711875199,0.4721426297,0.4559057625,0.4724609997,0.4578159822,0.4737344795,0.4753263292,0.4654568609,0.4638650111,0.4801018784,0.4851957975,0.4568608723,0.4813753582,0.5004775549,0.494110156,0.4836039478
perc_beat_baseline-CMU-TimeSeries,,,,,,0.4974874372,0.608040201,0.4924623116,0.4773869347,0.5979899497,0.351758794,0.4221105528,0.527638191,0.3787878788,0.5427135678,0.4623115578,0.5226130653,0.7336683417,0.6582914573,0.5326633166,0.3467336683
perc_beat_baseline-COVIDhub-ensemble,,,0.4686405603,0.4597262018,0.4826488379,0.4517669532,0.5030245145,0.4539955428,0.423432028,0.5097102833,0.3578478192,0.423750398,0.3992359121,0.3250557147,0.3279210443,0.3276026743,0.3186883158,0.4157911493,0.4084686406,0.41165234,0.488379497
perc_beat_baseline-CU-select,0.3281299777,0.3524355301,0.3393823623,0.3831380208,0.3708373747,0.3951015147,0.3785091965,0.3706813045,0.3649870801,0.3815364751,0.3061091147,0.2926192031,0.2930019621,0.3388564003,0.3346316131,0.3548701299,0.3704907377,0.3924050633,0.4075275795,0.3645192619,0.3641955325
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-FAIR-NRAR,,,,,,,,,,,,,,,,,,,,,0.453125
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,0.4006369427,0.3108280255,0.2952229299,0.3640127389,0.449044586,0.5280254777,0.2337579618,0.2984076433,0.3910828025
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IHME-CurveFit,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IowaStateLW-STEM,0.3783435385,0.3583628746,0.4141153722,0.4076699968,0.4028359652,,0.4050918466,0.4018691589,0.4009023526,0.4009023526,0.3886561392,0.3683532066,0.3467611988,0.3963905898,0.3886561392,0.3722204318,0.4044473091,0.4656783758,0.4028359652,0.3825330325,0.3825330325
perc_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,0.4272524674,0.3607131487,0.4341830338,0.4186564788,0.4320280166,0.464820121,0.4345749761,0.3865011143,0.3966889526,0.4148360395,0.4594078319,0.3021330786,0.3311047437
perc_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-JHU_IDD-CovidSP,0.3676330041,0.4192417968,0.4138260593,0.4217903791,0.3928002549,0.3994902835,0.406498885,0.4020388659,0.4192417968,0.4370818732,0.4042688754,0.4007645747,0.4039503026,0.3701815865,0.2934055432,0.2726983116,0.2526282255,0.1838165021,,0.2382924498,0.3596686843
perc_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,0.4114403859,0.4293590627,0.3656357388,0.3759450172,
perc_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-LANL-GrowthRate,0.223541384,0.2261783655,0.3662890491,0.4179661017,0.411724839,0.4235852253,0.4252795662,0.3727549983,0.3697051847,0.4368010844,0.2873602169,0.3466621484,0.3581836666,0.2568620807,0.2931209759,0.257539817,0.2708474576,0.4674651991,0.4717103136,0.3938709677,0.4371778351
perc_beat_baseline-LNQ-ens1,,0.5556680162,0.5437758676,0.5555555556,0.5654250239,0.5421840178,0.564788284,0.4985673352,0.5393186883,0.5781598217,0.4692773002,0.5186246418,0.5383635785,0.4861509074,0.553008596,0.5014326648,0.5171974522,0.5487261146,0.5920382166,0.5633757962,0.5977707006
perc_beat_baseline-MITCovAlliance-SIR,0.280605227,0.3417882055,0.3554252199,0.3759562842,0.4078068824,,0.4063992359,,0.3357174788,0.3804537522,0.2949978623,0.3181818182,0.3149126371,,0.248257165,0.212934947,0.1888888889,,,,
perc_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-OliverWyman-Navigator,0.4735863095,0.4876416066,0.4641238671,0.4347504621,0.4403986202,0.4905882353,0.5451965951,0.4973062578,0.4047173343,0.3689501117,0.4537444934,0.3964093357,0.3885879379,0.4472271914,0.4520917679,0.4458917836,0.5211173928,0.5635579157,0.6163251818,0.5207914152,0.3429792831
perc_beat_baseline-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,0.3717294193
perc_beat_baseline-PandemicCentral-USCounty,,,,,,,,,0.31332021,0.3779012749,0.3142103528,0.33125,0.3197769761,0.3022339028,0.2935222672,0.2775716695,0.2172538392,0.2886110172,0.227165487,0.1671722278,
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,,,,,0.4557042702,0.4304361668,0.4581343521,0.4135625597,0.3517987902,0.4380770455,0.3241006049,0.3619866285,0.3664438077,0.3330149634,,,,,,,
perc_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UCF-AEM,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UCLA-SuEIR,0.4896331738,0.5757575758,0.5356037152,0.4483592401,0.472489419,0.4966863034,0.5064980681,0.4684397163,0.4886441844,0.5244905256,0.3737373737,0.4618138425,0.4563909774,0.3928571429,0.3158436214,0.3124387855,0.2911275416,0.2444046553,0.2006606111,0.2580152672,0.4939117199
perc_beat_baseline-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,0.65438086,0.490785645,0.3937924345
perc_beat_baseline-UMass-MechBayes,,0.4649298597,0.4314516129,0.4375,0.4677419355,0.4576612903,0.5181451613,0.3629032258,0.3757575758,0.5070993915,0.3408163265,0.4053497942,0.3841463415,0.4,0.4141414141,0.3870967742,0.4758064516,0.5223577236,0.5534188034,0.4625,0.3666666667
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-USACE-ERDC_SEIR,,,,,,,,,,,,,,,,,,,,,
