,2020-07-06_2020-08-08,2020-07-13_2020-08-08,2020-07-20_2020-08-08,2020-07-27_2020-08-08,2020-08-03_2020-08-08
num_states,51,51,51,51,51
num_states_with_projections-COVIDhub-baseline,51,51,51,51,51
num_states_with_projections-COVIDhub-ensemble,,,51,51,51
num_states_with_projections-Columbia_UNC-SurvCon,0,0,0,0,0
num_states_with_projections-Covid19Sim-Simulator,51,51,51,51,51
num_states_with_projections-CovidActNow-SEIR_CAN,51,,,,
num_states_with_projections-CovidAnalytics-DELPHI,51,51,51,51,51
num_states_with_projections-DDS-NBDS,,,,51,51
num_states_with_projections-Geneva-DetGrowth,,,,,51
num_states_with_projections-IHME-CurveFit,,,51,51,51
num_states_with_projections-IowaStateLW-STEM,49,49,49,49,49
num_states_with_projections-JHU_IDD-CovidSP,51,51,51,51,51
num_states_with_projections-Karlen-pypm,,,51,51,51
num_states_with_projections-LANL-GrowthRate,51,51,51,51,51
num_states_with_projections-LNQ-ens1,,50,51,51,51
num_states_with_projections-OliverWyman-Navigator,,,51,51,51
num_states_with_projections-QJHong-Encounter,,0,0,0,0
num_states_with_projections-RobertWalraven-ESG,,51,48,49,49
num_states_with_projections-UCLA-SuEIR,51,51,51,51,51
num_states_with_projections-UMich-RidgeTfReg,,0,31,26,28
num_states_with_projections-USACE-ERDC_SEIR,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha,51,51,51,51,51
num_states_beat_baseline-COVIDhub-ensemble,,,25,28,17
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,
num_states_beat_baseline-Covid19Sim-Simulator,24,15,15,8,6
num_states_beat_baseline-CovidActNow-SEIR_CAN,13,,,,
num_states_beat_baseline-CovidAnalytics-DELPHI,8,5,4,10,16
num_states_beat_baseline-DDS-NBDS,,,,16,27
num_states_beat_baseline-Geneva-DetGrowth,,,,,20
num_states_beat_baseline-IHME-CurveFit,,,6,7,5
num_states_beat_baseline-IowaStateLW-STEM,21,18,13,22,21
num_states_beat_baseline-JHU_IDD-CovidSP,17,21,20,16,16
num_states_beat_baseline-Karlen-pypm,,,5,4,5
num_states_beat_baseline-LANL-GrowthRate,7,8,8,24,26
num_states_beat_baseline-LNQ-ens1,,28,19,29,29
num_states_beat_baseline-OliverWyman-Navigator,,,12,13,16
num_states_beat_baseline-QJHong-Encounter,,,,,
num_states_beat_baseline-RobertWalraven-ESG,,5,10,19,25
num_states_beat_baseline-UCLA-SuEIR,22,19,19,11,8
num_states_beat_baseline-UMich-RidgeTfReg,,,7,5,6
num_states_beat_baseline-USACE-ERDC_SEIR,10,6,16,20,24
num_states_beat_baseline-USC-SI_kJalpha,23,15,15,33,25
perc_beat_baseline-COVIDhub-ensemble,,,0.4901960784,0.5490196078,0.3333333333
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,
perc_beat_baseline-Covid19Sim-Simulator,0.4705882353,0.2941176471,0.2941176471,0.1568627451,0.1176470588
perc_beat_baseline-CovidActNow-SEIR_CAN,0.2549019608,,,,
perc_beat_baseline-CovidAnalytics-DELPHI,0.1568627451,0.09803921569,0.07843137255,0.1960784314,0.3137254902
perc_beat_baseline-DDS-NBDS,,,,0.3137254902,0.5294117647
perc_beat_baseline-Geneva-DetGrowth,,,,,0.3921568627
perc_beat_baseline-IHME-CurveFit,,,0.1176470588,0.137254902,0.09803921569
perc_beat_baseline-IowaStateLW-STEM,0.4285714286,0.3673469388,0.2653061224,0.4489795918,0.4285714286
perc_beat_baseline-JHU_IDD-CovidSP,0.3333333333,0.4117647059,0.3921568627,0.3137254902,0.3137254902
perc_beat_baseline-Karlen-pypm,,,0.09803921569,0.07843137255,0.09803921569
perc_beat_baseline-LANL-GrowthRate,0.137254902,0.1568627451,0.1568627451,0.4705882353,0.5098039216
perc_beat_baseline-LNQ-ens1,,0.56,0.3725490196,0.568627451,0.568627451
perc_beat_baseline-OliverWyman-Navigator,,,0.2352941176,0.2549019608,0.3137254902
perc_beat_baseline-QJHong-Encounter,,,,,
perc_beat_baseline-RobertWalraven-ESG,,0.09803921569,0.2083333333,0.387755102,0.5102040816
perc_beat_baseline-UCLA-SuEIR,0.431372549,0.3725490196,0.3725490196,0.2156862745,0.1568627451
perc_beat_baseline-UMich-RidgeTfReg,,,0.2258064516,0.1923076923,0.2142857143
perc_beat_baseline-USACE-ERDC_SEIR,0.1960784314,0.1176470588,0.3137254902,0.3921568627,0.4705882353
perc_beat_baseline-USC-SI_kJalpha,0.4509803922,0.2941176471,0.2941176471,0.6470588235,0.4901960784
mean_abs_error-COVIDhub-baseline,11161.33333,5213.039216,4682.686275,2917.54902,1479.843137
mean_abs_error-COVIDhub-ensemble,,,4477.098039,2344.666667,1357.235294
mean_abs_error-Columbia_UNC-SurvCon,,,,,
mean_abs_error-Covid19Sim-Simulator,16315.1,16170.77451,14098.11961,10455.12157,3228.672549
mean_abs_error-CovidActNow-SEIR_CAN,42101.32549,,,,
mean_abs_error-CovidAnalytics-DELPHI,15967.35294,11635.41176,8191.117647,5706.882353,3161.823529
mean_abs_error-DDS-NBDS,,,,3315.666667,1327.12549
mean_abs_error-Geneva-DetGrowth,,,,,1665.639216
mean_abs_error-IHME-CurveFit,,,26609.02549,17226.67647,9318.335294
mean_abs_error-IowaStateLW-STEM,,,,,
mean_abs_error-JHU_IDD-CovidSP,21800.58431,12688.83137,6930.545098,3755.813725,1767.417647
mean_abs_error-Karlen-pypm,,,29269.35098,8930.201961,3273.735294
mean_abs_error-LANL-GrowthRate,17530.84118,14216.50588,6217.078431,3726.829412,1517.056863
mean_abs_error-LNQ-ens1,,,7076.982353,1775.72549,1039.156863
mean_abs_error-OliverWyman-Navigator,,,16853.07843,6016.235294,1687.490196
mean_abs_error-QJHong-Encounter,,,,,
mean_abs_error-RobertWalraven-ESG,,18080.00196,,,
mean_abs_error-UCLA-SuEIR,10588.53922,9072.186275,6709.390196,3975.054902,2401.784314
mean_abs_error-UMich-RidgeTfReg,,,,,
mean_abs_error-USACE-ERDC_SEIR,16455.7902,9970.313725,6066.258824,3106.617647,1085.984314
mean_abs_error-USC-SI_kJalpha,13195.13725,11936.49412,9883.121569,1651.862745,1312.490196
