,2020-07-06_2020-08-01,2020-07-13_2020-08-08,2020-07-20_2020-08-15,2020-07-27_2020-08-22,2020-08-03_2020-08-29,2020-08-10_2020-09-05,2020-08-17_2020-09-12,2020-08-24_2020-09-19,2020-08-31_2020-09-26,2020-09-07_2020-10-03,2020-09-14_2020-10-10,2020-09-21_2020-10-17,2020-09-28_2020-10-24,2020-10-05_2020-10-31,2020-10-12_2020-11-07,2020-10-19_2020-11-14,2020-10-26_2020-11-21,2020-11-02_2020-11-28,2020-11-09_2020-12-05,2020-11-16_2020-12-12,2020-11-23_2020-12-19,2020-11-30_2020-12-26,2020-12-07_2021-01-02,2020-12-14_2021-01-09,2020-12-21_2021-01-16,2020-12-28_2021-01-23,2021-01-04_2021-01-30,2021-01-11_2021-02-06,2021-01-18_2021-02-13,2021-01-25_2021-02-20,2021-02-01_2021-02-27,2021-02-08_2021-03-06
num_states,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-BPagano-RtDriven,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-CEID-Walk,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,51,51,51,51,51,51,51
num_states_with_projections-COVIDhub-baseline,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-COVIDhub-ensemble,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51
num_states_with_projections-CU-select,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Columbia_UNC-SurvCon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-Covid19Sim-Simulator,51,51,51,51,51,,16,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-CovidActNow-SEIR_CAN,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-CovidAnalytics-DELPHI,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-DDS-NBDS,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
num_states_with_projections-Google_Harvard-CPF,,,,,,,,,,,,,,,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-IBF-TimeSeries,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-IHME-CurveFit,,,51,51,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,
num_states_with_projections-IowaStateLW-STEM,49,49,49,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-JCB-PRM,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,
num_states_with_projections-JHUAPL-Bucky,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-JHU_CSSE-DECOM,,,,,,,,,,,,,,42,,51,51,48,51,51,51,51,51,50,50,51,49,49,49,48,51,51
num_states_with_projections-JHU_IDD-CovidSP,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,51,51,51,51,,,51,51,51,51,51,51,,51,51,51
num_states_with_projections-Karlen-pypm,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-LANL-GrowthRate,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-LNQ-ens1,,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,50,50,50
num_states_with_projections-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50
num_states_with_projections-MSRA-DeepST,,,,,,,,,,,,,,,,47,,47,47,50,50,50,50,,,,,,,,,
num_states_with_projections-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50
num_states_with_projections-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-QJHong-Encounter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-RobertWalraven-ESG,51,51,48,49,49,50,50,51,51,51,51,51,48,51,51,51,51,51,51,50,49,51,50,50,50,50,51,51,51,51,51,51
num_states_with_projections-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,51,38
num_states_with_projections-TTU-squider,,,,,,,51,,,,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UCF-AEM,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-UCLA-SuEIR,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UCSB-ACTS,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
num_states_with_projections-UMich-RidgeTfReg,0,0,31,26,28,45,36,40,43,49,49,50,50,50,50,50,50,50,50,50,50,6,6,6,50,50,50,50,50,50,50,49
num_states_with_projections-USACE-ERDC_SEIR,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,,51,,,51,51,51,,,,,,,,,,
num_states_with_projections-USC-SI_kJalpha,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,51,51,,,,,,,,,,,,,
num_states_with_projections-UVA-Ensemble,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,
num_states_with_projections-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
num_states_with_projections-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,45,45,44,,44,,,,,
num_states_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,28,26,20,27,23,18,22,19,18,18,16,11,27,28,37,42,40
num_states_beat_baseline-CEID-Walk,,,,,,24,23,20,24,26,22,26,22,21,23,33,24,23,25,21,20,25,25,,,19,26,27,27,29,24,29
num_states_beat_baseline-COVIDhub-ensemble,,,27,32,34,26,29,13,14,20,9,13,10,6,6,15,24,38,46,35,33,37,34,35,41,23,32,35,38,47,49,47
num_states_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,26
num_states_beat_baseline-CU-select,,,,,,23,19,24,17,13,14,20,24,35,39,41,36,41,41,32,31,27,27,33,26,6,8,7,34,30,33,26
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Covid19Sim-Simulator,23,15,13,12,9,,10,11,17,23,27,13,13,26,13,7,20,23,13,,23,25,21,26,29,34,30,41,19,23,39,44
num_states_beat_baseline-CovidActNow-SEIR_CAN,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-CovidAnalytics-DELPHI,9,5,7,8,13,10,12,10,9,7,5,3,2,2,5,3,9,4,4,3,15,18,17,18,18,11,6,33,31,29,29,35
num_states_beat_baseline-DDS-NBDS,,,,19,34,19,15,19,11,22,17,22,29,27,35,40,45,42,35,28,16,29,20,22,24,7,15,6,15,39,28,18
num_states_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,5,,26,25,38,28,21,25,23,19,9,20,20,8,8,27,34,37
num_states_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,21,16,25,16,18,13,22,41,49,45
num_states_beat_baseline-IHME-CurveFit,,,5,7,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,
num_states_beat_baseline-IowaStateLW-STEM,21,19,15,18,29,,22,19,17,22,17,17,15,5,4,6,14,17,18,26,19,25,22,16,23,26,30,34,9,21,29,25
num_states_beat_baseline-JCB-PRM,,,,,,,,,,20,26,20,31,35,32,28,38,33,19,28,25,23,16,15,14,22,,,,,,
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,16,19,29,28,19,17,10,25,27,25,26,17,19,26,24,20,15,4,21,25,34,43,40,34
num_states_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,32,,45,44,42,46,29,18,26,22,23,25,23,28,11,8,23,25,32
num_states_beat_baseline-JHU_IDD-CovidSP,17,21,19,15,15,15,16,22,14,19,21,14,17,19,15,13,13,9,,23,28,28,19,24,21,17,11,43,44,41,40,39
num_states_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,41,45,39,26,,,27,23,25,10,15,44,,32,43,40
num_states_beat_baseline-Karlen-pypm,,,4,3,7,15,19,15,18,16,18,18,17,16,29,39,42,41,35,18,17,22,21,18,23,17,16,37,34,40,47,41
num_states_beat_baseline-LANL-GrowthRate,9,8,8,19,21,22,19,10,9,10,7,5,3,2,2,0,3,45,39,32,30,33,33,27,26,21,23,28,37,50,47,40
num_states_beat_baseline-LNQ-ens1,,28,15,21,30,24,22,13,23,25,20,24,26,23,42,44,48,49,44,31,31,31,33,35,30,5,26,11,42,51,49,45
num_states_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,30,36,36
num_states_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,38,38,34,30
num_states_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,23,,34,31,31,22,28,26,,,,,,,,,
num_states_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,25,28,27,31,32,24,15,11,44,42
num_states_beat_baseline-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,20,24,15,29,28,23,20,37,37,29,28,13
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-RobertWalraven-ESG,1,5,12,15,25,13,18,12,10,8,6,6,1,7,6,38,11,21,38,28,24,22,20,26,28,2,20,31,44,44,47,43
num_states_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,19
