,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,1481,975.6,1070.0,1681.8,-505.4,-411.0,200.8,True,True
Austria,705,795.3,702.0,642.3,90.3,-3.0,-62.7,True,True
Belgium,9771,10306.3,9900.0,9681.1,535.3,129.0,-89.9,True,True
Bolivia,1378,729.6,869.0,419.3,-648.4,-509.0,-958.7,True,False
Brazil,64265,60410.1,65131.0,79869.0,-3854.9,866.0,15604.0,True,False
Bulgaria,241,187.1,220.0,229.1,-53.9,-21.0,-11.9,True,True
Canada,8732,10935.0,9421.0,8070.7,2203.0,689.0,-661.3,True,True
Chile,6192,2772.4,3287.0,4981.2,-3419.6,-2905.0,-1210.8,True,True
Colombia,4001,1967.1,2390.0,2163.0,-2033.9,-1611.0,-1838.0,True,True
Croatia,113,117.1,118.0,100.4,4.1,5.0,-12.6,False,False
Cuba,86,87.7,90.0,81.5,1.7,4.0,-4.5,False,False
Cyprus,19,17.0,18.0,12.0,-2.0,-1.0,-7.0,True,False
Czechia,351,339.9,350.0,365.0,-11.1,-1.0,14.0,True,False
Denmark,606,637.3,620.0,623.7,31.3,14.0,17.7,True,True
Dominican Republic,786,700.0,611.0,569.7,-86.0,-175.0,-216.3,False,False
Ecuador,4769,4088.7,4427.0,5661.7,-680.3,-342.0,892.7,True,False
Egypt,3280,2051.6,2015.0,1359.8,-1228.4,-1265.0,-1920.2,False,False
Estonia,69,82.1,75.0,61.0,13.1,6.0,-8.0,True,True
Finland,329,365.1,349.0,316.7,36.1,20.0,-12.3,True,True
France,29896,30608.6,29971.0,31164.0,712.6,75.0,1268.0,True,False
Germany,9020,9714.7,9286.0,9061.0,694.7,266.0,41.0,True,True
Greece,192,212.0,195.0,190.4,20.0,3.0,-1.6,True,True
Honduras,629,382.0,409.0,470.1,-247.0,-220.0,-158.9,True,True
Hungary,589,696.7,638.0,536.3,107.7,49.0,-52.7,True,True
Iceland,10,10.0,11.0,21.1,0.0,1.0,11.1,False,False
Ireland,1741,1857.4,1732.0,1691.4,116.4,-9.0,-49.6,True,True
Israel,330,303.9,312.0,328.8,-26.1,-18.0,-1.2,True,True
Italy,34854,36294.1,35693.0,36685.4,1440.1,839.0,1831.4,True,False
Japan,977,1224.3,1107.0,1142.2,247.3,130.0,165.2,True,True
Latvia,30,33.4,29.0,26.4,3.4,-1.0,-3.6,True,False
Lithuania,79,103.0,89.0,76.5,24.0,10.0,-2.5,True,True
Luxembourg,110,110.0,116.0,109.3,0.0,6.0,-0.7,False,False
Malaysia,121,115.0,128.0,115.4,-6.0,7.0,-5.6,False,True
Mexico,30366,22113.0,27627.0,6254.0,-8253.0,-2739.0,-24112.0,True,False
Moldova,580,512.4,589.0,339.9,-67.6,9.0,-240.1,True,False
Netherlands,6132,6603.3,6431.0,6107.7,471.3,299.0,-24.3,True,True
Norway,251,240.7,249.0,242.9,-10.3,-2.0,-8.1,True,True
Panama,720,504.3,505.0,430.8,-215.7,-215.0,-289.2,True,False
Peru,10412,9371.9,10848.0,13952.4,-1040.1,436.0,3540.4,True,False
Philippines,1290,1370.1,1226.0,966.6,80.1,-64.0,-323.4,True,False
Poland,1512,1389.9,1366.0,1198.9,-122.1,-146.0,-313.1,False,False
Portugal,1605,1867.1,1666.0,1592.1,262.1,61.0,-12.9,True,True
Romania,1731,1610.7,1583.0,1331.6,-120.3,-148.0,-399.4,False,False
Russia,10011,10581.6,10665.0,6843.9,570.6,654.0,-3167.1,False,False
Serbia,306,267.6,278.0,266.6,-38.4,-28.0,-39.4,True,False
Slovakia,28,28.0,31.0,22.0,0.0,3.0,-6.0,False,False
Slovenia,111,118.4,115.0,105.6,7.4,4.0,-5.4,True,True
South Korea,283,286.1,298.0,262.8,3.1,15.0,-20.2,False,False
Spain,28385,28508.3,28024.0,30617.7,123.3,-361.0,2232.7,False,False
Sweden,5420,6166.1,5996.0,5152.2,746.1,576.0,-267.8,True,True
Switzerland,1965,1953.0,1986.0,1931.0,-12.0,21.0,-34.0,False,False
Turkey,5206,5477.6,5054.0,4735.3,271.6,-152.0,-470.7,True,False
Ukraine,1243,1200.1,1343.0,884.6,-42.9,100.0,-358.4,False,False
United Kingdom,44283,49173.1,43596.0,43597.0,4890.1,-687.0,-686.0,True,True
