,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,5299,4536.6,5531.2,4558.8,4557.0,,4243.0,4848.0,3994.3,,3580.6,5224.0,3692.2,-762.4,232.2,-740.2,-742.0,,-1056.0,-451.0,-1304.7,,-1718.4,-75.0,-1606.8,True,True,True,,False,True,False,,False,True,False
Alaska,224,208.0,256.6,210.0,338.0,,,226.5,220.6,,154.5,289.1,121.6,-16.0,32.6,-14.0,114.0,,,2.5,-3.4,,-69.5,65.1,-102.4,False,True,False,,,True,True,,False,False,False
Arizona,10036,7386.3,7265.1,7524.9,17533.0,,7274.0,9239.2,9449.2,,7003.1,9716.3,6858.1,-2649.7,-2770.9,-2511.1,7497.0,,-2762.0,-796.8,-586.8,,-3032.9,-319.7,-3177.9,False,True,False,,False,True,True,,False,True,False
Arkansas,4010,2953.0,2725.0,2888.0,7105.0,,3312.0,3873.4,5034.2,,2582.0,2937.1,2551.5,-1057.0,-1285.0,-1122.0,3095.0,,-698.0,-136.6,1024.2,,-1428.0,-1072.9,-1458.5,False,False,False,,True,True,True,,False,False,False
California,29707,20532.7,22613.3,20590.7,27976.0,,20272.0,23025.2,25417.4,,20394.6,31693.0,20164.7,-9171.3,-7090.7,-9113.3,-1728.0,,-9432.0,-6678.8,-4286.6,,-9309.4,1989.0,-9539.3,True,True,True,,False,True,True,,False,True,False
Colorado,5190,3740.3,4968.8,3612.3,19130.0,,3650.0,4785.6,5443.9,,3174.4,8155.1,2798.5,-1449.7,-221.2,-1577.7,13940.0,,-1540.0,-404.4,253.9,,-2015.6,2965.1,-2391.5,True,False,False,,False,True,True,,False,False,False
Connecticut,6324,5255.6,5366.1,5311.5,10066.0,,5186.0,5949.7,7130.0,,5001.6,9072.6,4822.2,-1068.4,-957.9,-1012.5,3742.0,,-1138.0,-374.3,806.0,,-1322.4,2748.6,-1501.8,True,True,False,,False,True,True,,False,False,False
Delaware,1128,877.4,932.2,904.4,2022.0,,861.0,1071.5,1149.3,,756.2,1465.6,795.9,-217.6,-162.8,-190.6,927.0,,-234.0,-23.5,54.3,,-338.8,370.6,-299.1,True,True,False,,False,True,True,,False,False,False
District of Columbia,813,707.1,709.5,700.1,958.0,,677.0,757.7,824.0,,668.9,1107.7,675.7,-105.9,-103.5,-112.9,145.0,,-136.0,-55.3,11.0,,-144.1,294.7,-137.3,True,False,False,,False,True,True,,False,False,False
Florida,22804,20637.3,22810.0,20595.1,22499.0,,20239.0,23072.0,20619.3,,20276.6,23817.7,19566.4,-2166.7,6.0,-2208.9,-305.0,,-2565.0,268.0,-2184.7,,-2527.4,1013.7,-3237.6,True,False,True,,False,True,False,,False,True,False
Georgia,11457,11384.9,9615.9,11428.3,40969.0,,10940.0,14077.0,12210.9,,10074.9,10714.9,9929.6,-72.1,-1841.1,-28.7,29512.0,,-517.0,2620.0,753.9,,-1382.1,-742.1,-1527.4,False,True,False,,False,False,False,,False,False,False
Hawaii,307,229.9,229.7,247.9,,,,272.3,250.7,,256.4,248.3,249.1,-77.1,-77.3,-59.1,,,,-34.7,-56.3,,-50.6,-58.7,-57.9,False,True,,,,True,True,,True,True,True
Idaho,1528,1332.6,1639.6,1367.0,2186.0,,1436.0,1975.4,1458.4,,1206.7,1261.1,917.3,-195.4,111.6,-161.0,658.0,,-92.0,447.4,-69.6,,-321.3,-266.9,-610.7,True,True,False,,True,False,True,,False,False,False
Illinois,19210,16064.9,20440.2,15890.2,53996.0,,15900.0,19630.9,26839.8,,12361.5,25952.3,12466.8,-3145.1,1230.2,-3319.8,34786.0,,-3310.0,420.9,7629.8,,-6848.5,6742.3,-6743.2,True,False,False,,False,True,False,,False,False,False
Indiana,10089,7117.9,8698.7,7255.1,20705.0,,7567.0,10730.6,13208.4,,6428.6,13963.6,5269.5,-2621.1,-1040.3,-2483.9,10966.0,,-2172.0,991.6,3469.4,,-3310.4,4224.6,-4469.5,True,True,False,,True,True,False,,False,False,False
