,count,mean,median,std,min,25%,75%,max
JCB-PRM,51,105.9,70.7,150.0,0.8,18.7,124.8,800.5
Karlen-pypm,51,118.8,55.2,198.9,1.1,32.4,119.4,1147.2
Google_Harvard-CPF,51,119.4,58.0,172.2,0.5,19.2,152.7,939.8
Microsoft-DeepSTIA,50,129.5,52.8,262.3,0.3,22.9,99.3,1727.3
USC-SI_kJalpha,51,131.4,68.0,171.2,1.0,31.5,171.0,1014.0
MOBS-GLEAM_COVID,50,133.5,65.5,213.6,0.6,23.0,156.0,1276.5
COVIDhub-ensemble,51,145.1,59.0,236.1,2.0,24.0,190.5,1360.0
BPagano-RtDriven,51,145.6,83.3,193.6,1.6,34.2,158.1,918.4
Caltech-CS156,51,146.6,72.6,218.0,0.4,15.3,159.2,1000.8
OliverWyman-Navigator,51,157.4,61.9,301.8,2.4,29.0,167.3,1817.2
SteveMcConnell-CovidComplete,51,160.0,67.0,230.4,2.0,30.5,223.5,1253.0
UCSD_NEU-DeepGLEAM,50,161.4,98.8,210.5,5.3,55.7,193.4,1225.1
IowaStateLW-STEM,49,163.1,92.0,217.4,0.0,43.5,233.0,1247.0
Columbia_UNC-SurvCon,51,166.0,80.0,203.9,0.0,33.0,203.5,952.0
JHU_CSSE-DECOM,51,167.8,71.0,404.9,2.0,21.5,176.0,2827.0
GT-DeepCOVID,50,167.8,79.3,252.1,1.3,35.6,219.9,1381.3
MIT_CritData-GBCF,51,168.5,65.0,272.8,3.0,28.0,180.5,1487.0
Covid19Sim-Simulator,51,175.8,94.2,222.9,1.6,36.3,195.0,998.4
CMU-TimeSeries,51,179.3,78.0,332.8,2.0,24.0,238.0,2248.0
JHU_IDD-CovidSP,51,179.5,112.0,255.2,5.1,44.0,227.1,1678.7
UCSB-ACTS,51,196.2,112.9,236.5,2.0,18.2,259.6,793.9
CEID-Walk,51,208.3,92.2,339.4,4.2,38.3,232.9,2111.7
COVIDhub-baseline,51,208.6,89.0,355.1,5.0,30.0,227.1,2209.1
UMass-MechBayes,51,210.6,83.0,275.8,4.0,52.5,201.0,1343.0
CU-select,51,224.5,106.0,368.3,1.0,60.0,231.5,2303.0
PSI-DRAFT,51,226.8,119.0,322.0,4.0,39.0,280.0,1756.0
UMich-RidgeTfReg,50,227.4,89.4,361.4,1.6,49.1,211.5,1769.1
CovidAnalytics-DELPHI,51,227.6,89.0,321.4,6.0,38.5,263.5,1361.0
Baseline,51,227.7,79.6,393.0,0.7,39.5,256.2,2433.6
epiforecasts-ensemble1,51,228.5,68.5,318.8,1.7,29.0,303.7,1178.0
DDS-NBDS,51,241.1,118.9,352.0,4.4,49.8,299.9,2161.2
IHME-CurveFit,51,245.7,178.9,270.7,0.3,65.7,291.4,1127.3
LNQ-ens1,51,247.1,131.7,301.3,8.7,67.9,274.2,1488.8
AIpert-pwllnod,51,252.8,134.0,529.9,1.6,47.1,238.8,3598.1
LANL-GrowthRate,51,262.6,86.0,438.5,4.0,33.5,325.0,2463.5
UCLA-SuEIR,51,286.8,155.7,451.4,0.4,42.2,339.3,2680.4
RobertWalraven-ESG,51,304.6,137.7,438.0,2.2,62.3,364.1,2508.8
UA-EpiCovDA,51,358.5,189.0,476.5,1.0,86.5,437.5,2416.0
JHUAPL-Bucky,51,377.0,140.4,455.0,0.6,67.4,503.1,1719.0
TTU-squider,51,446.4,163.0,646.6,1.7,48.8,558.4,3330.2
