,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,5299,4971.7,3676.5,4121.0,3616.0,,-327.3,-1622.5,-1178.0,-1683.0,,False,False,False,
Alaska,224,131.3,141.5,37.4,,,-92.7,-82.5,-186.6,,,True,False,,
Arizona,10036,9914.0,6581.3,9464.7,8184.0,,-122.0,-3454.7,-571.3,-1852.0,,False,False,False,
Arkansas,4010,2613.1,1860.5,3116.1,2318.0,,-1396.9,-2149.5,-893.9,-1692.0,,False,True,False,
California,29707,27721.0,22051.7,59053.7,23368.0,,-1986.0,-7655.3,29346.7,-6339.0,,False,False,False,
Colorado,5190,2394.6,2216.6,3838.1,2379.0,,-2795.4,-2973.4,-1351.9,-2811.0,,False,True,False,
Connecticut,6324,4559.3,4584.4,4957.4,4609.0,,-1764.7,-1739.6,-1366.6,-1715.0,,True,True,True,
Delaware,1128,679.4,665.7,842.4,688.0,,-437.6,-451.3,-274.6,-429.0,,False,True,True,
District of Columbia,813,643.7,654.7,1155.1,665.0,,-169.3,-158.3,342.1,-148.0,,True,False,True,
Florida,22804,26091.6,15297.7,27054.0,21073.0,,3287.6,-7506.3,4250.0,-1731.0,,False,False,True,
Georgia,11457,14504.6,9494.5,14243.9,9072.0,,3047.6,-1962.5,2786.9,-2385.0,,True,True,True,
Hawaii,307,364.7,834.0,67.0,,,57.7,527.0,-240.0,,,False,False,,
Idaho,1528,1339.6,804.2,1743.0,1035.0,,-188.4,-723.8,215.0,-493.0,,False,False,False,
Illinois,19210,10849.1,10731.0,17979.8,9698.0,,-8360.9,-8479.0,-1230.2,-9512.0,,False,True,False,
Indiana,10089,4629.9,4699.6,8333.8,4646.0,,-5500.1,-5430.4,-1796.2,-5484.0,,True,True,True,
Iowa,4127,2546.1,5056.0,3749.3,2443.0,,-1580.9,929.0,-377.7,-1684.0,,True,True,False,
Kansas,3141,882.7,1192.3,2305.8,765.0,,-2258.3,-1948.7,-835.2,-2376.0,,True,True,False,
Kentucky,2876,2003.9,2058.4,4463.3,1470.0,,-872.1,-817.6,1587.3,-1406.0,,True,False,False,
Louisiana,7833,8419.6,5769.0,9209.6,8398.0,,586.6,-2064.0,1376.6,565.0,,False,False,True,
Maine,432,150.9,211.8,306.3,312.0,,-281.1,-220.2,-125.7,-120.0,,True,True,True,
Maryland,6246,4902.3,4229.3,6340.0,4090.0,,-1343.7,-2016.7,94.0,-2156.0,,False,True,False,
Massachusetts,13074,11462.7,10002.5,14021.5,10486.0,,-1611.3,-3071.5,947.5,-2588.0,,False,True,False,
Michigan,14145,8426.3,8019.3,13074.4,8124.0,,-5718.7,-6125.7,-1070.6,-6021.0,,False,True,False,
Minnesota,5731,2845.6,3254.9,6060.6,2803.0,,-2885.4,-2476.1,329.6,-2928.0,,True,True,False,
Mississippi,5146,6231.3,3972.4,5022.8,5575.0,,1085.3,-1173.6,-123.2,429.0,,False,True,True,
Missouri,6173,3041.6,3137.6,6276.5,2396.0,,-3108.4,-3012.4,126.5,-3754.0,,True,True,False,
Montana,1054,368.0,345.5,106.6,331.0,,-686.0,-708.5,-947.4,-723.0,,False,False,False,
Nebraska,1737,656.0,808.4,1836.1,666.0,,-1081.0,-928.6,99.1,-1071.0,,True,True,True,
Nevada,3450,3282.0,2166.6,4902.0,2702.0,,-168.0,-1283.4,1452.0,-748.0,,False,False,False,
New Hampshire,862,488.6,460.4,772.9,575.0,,-373.4,-401.6,-89.1,-287.0,,False,True,True,
New Jersey,19854,15767.3,16124.4,16942.0,16374.0,,-4086.7,-3729.6,-2912.0,-3480.0,,True,True,True,
New Mexico,2732,1241.4,1074.3,2794.2,1249.0,,-1490.6,-1657.7,62.2,-1483.0,,False,True,True,
New York,39471,34233.3,33249.4,36452.1,33614.0,,-5279.7,-6263.6,-3060.9,-5899.0,,False,True,False,
North Carolina,7425,5728.0,5577.1,11274.2,5710.0,,-1697.0,-1847.9,3849.2,-1715.0,,False,False,False,
North Dakota,1360,255.1,739.8,639.3,326.0,,-1104.9,-620.2,-720.7,-1034.0,,True,True,True,
Ohio,14681,6976.4,6261.2,12152.4,6554.0,,-7988.6,-8703.8,-2812.6,-8411.0,,False,True,False,
Oklahoma,2738,2175.6,1905.5,3849.3,2065.0,,-562.4,-832.5,1111.3,-673.0,,False,False,False,
Oregon,1603,1231.1,882.1,3535.8,753.0,,-371.9,-720.9,1932.8,-850.0,,False,False,False,
Pennsylvania,17626,9562.6,9226.8,18966.3,8380.0,,-8063.4,-8399.2,1340.3,-9246.0,,False,True,False,
Rhode Island,2062,1347.7,1134.8,1797.6,1230.0,,-683.3,-896.2,-233.4,-801.0,,False,True,False,
South Carolina,5758,6574.7,4981.2,6703.2,4630.0,,816.7,-776.8,945.2,-1128.0,,True,False,False,
South Dakota,1570,280.1,908.0,553.8,365.0,,-1289.9,-662.0,-1016.2,-1205.0,,True,True,True,
Tennessee,7704,5141.3,3695.6,6983.3,4192.0,,-2562.7,-4008.4,-720.7,-3512.0,,False,True,False,
Texas,30313,31295.0,22623.3,32177.8,31644.0,24928.0,1363.0,-7308.7,2245.8,1712.0,-5004.0,False,False,False,False
Utah,1390,821.9,969.5,2229.3,860.0,,-568.1,-420.5,839.3,-530.0,,True,False,True,
Vermont,156,58.0,64.5,63.7,67.0,,-98.0,-91.5,-92.3,-89.0,,True,True,True,
Virginia,5381,4492.4,3949.9,4291.5,3447.0,,-888.6,-1431.1,-1089.5,-1934.0,,False,False,False,
Washington,3698,2697.0,2256.3,7558.3,2572.0,,-1002.0,-1442.7,3859.3,-1127.0,,False,False,False,
West Virginia,1570,874.0,606.1,685.0,445.0,,-696.0,-963.9,-885.0,-1125.0,,False,False,False,
Wisconsin,5567,1895.1,2300.0,4590.5,1900.0,,-3611.9,-3207.0,-916.5,-3607.0,,True,True,True,
Wyoming,489,37.0,78.9,34.0,54.0,,-452.0,-410.1,-455.0,-435.0,,True,False,True,
US,379070,301224.9,229626.8,408728.6,272997.0,278058.0,-77707.1,-149305.2,29796.6,-105935.0,-100874.0,False,True,False,False
