,mean_rank
COVIDhub-ensemble,11.8
SteveMcConnell-CovidComplete,12.0
Caltech-CS156,12.6
USC-SI_kJalpha,14.3
epiforecasts-ensemble1,15.1
UMass-MechBayes,15.4
LNQ-ens1,15.8
LANL-GrowthRate,16.3
Google_Harvard-CPF,17.3
UA-EpiCovDA,17.4
Karlen-pypm,17.5
GT-DeepCOVID,17.7
JCB-PRM,17.8
JHUAPL-Bucky,18.3
MIT_CritData-GBCF,18.7
CU-select,19.0
Microsoft-DeepSTIA,19.5
OliverWyman-Navigator,19.6
Covid19Sim-Simulator,20.5
COVIDhub-baseline,20.6
JHU_CSSE-DECOM,21.1
IowaStateLW-STEM,21.2
MOBS-GLEAM_COVID,21.2
Columbia_UNC-SurvCon,21.2
CovidAnalytics-DELPHI,21.3
UT-Mobility,21.3
UCLA-SuEIR,21.9
UCSB-ACTS,22.2
BPagano-RtDriven,22.4
CMU-TimeSeries,22.9
IHME-CurveFit,23.6
UCSD_NEU-DeepGLEAM,24.1
RobertWalraven-ESG,24.5
TTU-squider,24.8
JHU_IDD-CovidSP,25.0
Wadhwani_AI-BayesOpt,26.0
PSI-DRAFT,27.4
NotreDame-mobility,28.2
DDS-NBDS,28.8
WalmartLabsML-LogForecasting,33.7
