,mean_rank
UMass-MechBayes,13.1
Caltech-CS156,13.6
COVIDhub-ensemble,14.4
GT-DeepCOVID,14.9
SteveMcConnell-CovidComplete,15.2
epiforecasts-ensemble1,16.0
USC-SI_kJalpha,16.5
Karlen-pypm,16.5
LNQ-ens1,17.5
OliverWyman-Navigator,17.6
CovidAnalytics-DELPHI,18.1
MOBS-GLEAM_COVID,18.2
LANL-GrowthRate,18.8
Google_Harvard-CPF,19.1
DDS-NBDS,19.3
COVIDhub-baseline,19.7
CMU-TimeSeries,20.2
UCSB-ACTS,20.2
UCLA-SuEIR,20.7
JHU_CSSE-DECOM,21.4
UA-EpiCovDA,21.4
UCSD_NEU-DeepGLEAM,21.5
MIT_CritData-GBCF,21.5
Covid19Sim-Simulator,21.7
BPagano-RtDriven,21.7
IowaStateLW-STEM,22.0
JCB-PRM,22.4
UT-Mobility,22.8
UMich-RidgeTfReg,23.0
Columbia_UNC-SurvCon,23.2
RobertWalraven-ESG,23.3
AIpert-pwllnod,23.8
Microsoft-DeepSTIA,23.8
CU-select,24.2
JHUAPL-Bucky,25.5
IHME-CurveFit,25.7
JHU_IDD-CovidSP,26.2
TTU-squider,26.3
PSI-DRAFT,26.3
Wadhwani_AI-BayesOpt,29.2
WalmartLabsML-LogForecasting,34.7
