,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-epiforecasts-ensemble1
Alabama,5299,5251.9,5384.2,5658.8,5290.5,5430.0,5277.0,5318.0,5243.0,5309.8,5457.0,5185.7,5401.0,5467.7,5184.2,5372.5,,5335.8,5820.0,5344.7,5416.3,5566.0,5313.0,5575.4,5076.0,5163.3,5358.0,5403.8,5327.5,5327.4,5352.0,,5070.7,5221.9,5398.0,5741.6,5041.0,4954.2,,5243.5,5357.0,5219.0,5215.2,5482.0,5340.1,-47.1,85.2,359.8,-8.5,131.0,-22.0,19.0,-56.0,10.8,158.0,-113.3,102.0,168.7,-114.8,73.5,,36.8,521.0,45.7,117.3,267.0,14.0,276.4,-223.0,-135.7,59.0,104.8,28.5,28.4,53.0,,-228.3,-77.1,99.0,442.6,-258.0,-344.8,,-55.5,58.0,-80.0,-83.8,183.0,41.1,False,False,True,False,True,True,False,True,False,False,False,False,False,False,,True,False,True,False,False,True,False,False,False,False,False,True,True,False,,False,False,False,False,False,False,,False,False,False,False,False,True
Alaska,224,229.7,208.0,241.3,242.5,234.0,232.0,230.0,223.0,225.9,216.0,255.6,232.0,219.6,219.8,235.7,,292.6,,225.2,205.1,234.0,259.1,227.9,229.0,213.8,236.0,234.3,239.7,221.6,250.0,,,213.7,227.0,255.4,235.0,243.1,,229.0,200.0,229.0,220.9,219.0,237.8,5.7,-16.0,17.3,18.5,10.0,8.0,6.0,-1.0,1.9,-8.0,31.6,8.0,-4.4,-4.2,11.7,,68.6,,1.2,-18.9,10.0,35.1,3.9,5.0,-10.2,12.0,10.3,15.7,-2.4,26.0,,,-10.3,3.0,31.4,11.0,19.1,,5.0,-24.0,5.0,-3.1,-5.0,13.8,False,False,False,False,False,False,True,True,False,False,False,True,True,False,,False,,True,False,False,False,True,True,False,False,False,False,True,False,,,False,True,False,False,False,,True,False,True,True,True,False
Arizona,10036,9273.9,9230.7,10055.2,9427.6,9583.0,9397.7,9569.0,9408.0,9580.8,9537.0,9444.2,8762.0,9740.7,9650.7,9818.8,,9993.0,9938.0,9891.2,9232.3,9971.0,9751.6,9754.4,10502.5,9239.0,9634.0,9601.0,9666.6,9842.8,9844.0,,9431.9,9271.7,9661.0,11324.8,9034.0,9102.7,,9321.7,9569.3,9425.0,9064.0,9927.0,9082.0,-762.1,-805.3,19.2,-608.4,-453.0,-638.3,-467.0,-628.0,-455.2,-499.0,-591.8,-1274.0,-295.3,-385.3,-217.2,,-43.0,-98.0,-144.8,-803.7,-65.0,-284.4,-281.6,466.5,-797.0,-402.0,-435.0,-369.4,-193.2,-192.0,,-604.1,-764.3,-375.0,1288.8,-1002.0,-933.3,,-714.3,-466.7,-611.0,-972.0,-109.0,-954.0,False,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,False,True,True,True,True,False,True,True,True,True,True,,True,False,True,False,False,False,,True,True,True,False,True,False
Arkansas,4010,3937.0,3961.8,4079.5,3917.8,3997.0,3941.0,3959.0,3934.0,3973.1,4230.0,3958.7,3926.0,3823.0,3878.9,3994.8,,4236.2,4130.0,4124.5,4011.0,3999.0,3897.8,4126.5,4487.0,3915.2,3915.0,4021.7,4034.3,4065.4,3879.0,,3973.7,3860.1,3989.0,4011.7,3782.0,3898.6,,3780.4,3937.5,3885.0,3865.6,4068.0,3812.8,-73.0,-48.2,69.5,-92.2,-13.0,-69.0,-51.0,-76.0,-36.9,220.0,-51.3,-84.0,-187.0,-131.1,-15.2,,226.2,120.0,114.5,1.0,-11.0,-112.2,116.5,477.0,-94.8,-95.0,11.7,24.3,55.4,-131.0,,-36.3,-149.9,-21.0,1.7,-228.0,-111.4,,-229.6,-72.5,-125.0,-144.4,58.0,-197.2,True,True,False,True,True,True,False,True,False,True,False,False,False,True,,False,False,False,True,True,False,False,False,False,False,True,True,True,False,,True,False,True,True,False,False,,False,True,False,False,True,False
California,29707,27266.4,26101.9,29270.9,27588.3,27452.0,27490.9,28340.0,27397.0,28699.2,29915.0,28907.3,28339.0,27538.8,28318.7,29076.4,,29403.1,28453.0,29407.0,31419.0,26873.0,29576.7,28552.8,32163.5,28211.2,28213.0,28423.5,27972.7,27882.8,27944.0,,26636.2,27191.2,28975.0,33030.2,27284.0,27019.6,,29069.5,28474.9,28357.0,27930.9,29701.0,28522.0,-2433.6,-3598.1,-429.1,-2111.7,-2248.0,-2209.1,-1360.0,-2303.0,-1000.8,215.0,-792.7,-1361.0,-2161.2,-1381.3,-623.6,,-296.9,-1247.0,-293.0,1719.0,-2827.0,-123.3,-1147.2,2463.5,-1488.8,-1487.0,-1276.5,-1727.3,-1817.2,-1756.0,,-3063.8,-2508.8,-725.0,3330.2,-2416.0,-2680.4,,-630.5,-1225.1,-1343.0,-1769.1,1.0,-1178.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,False,True,True,False,True,True,True,True,True,True,,False,False,True,False,True,False,,True,True,True,True,True,True
Colorado,5190,5059.4,4955.4,4981.4,4982.7,5240.0,5098.0,5159.0,4967.0,5176.2,5157.0,5490.0,5159.0,5281.4,5045.5,5351.7,,5574.5,5566.0,5171.2,4790.8,5421.0,5097.9,5229.3,5259.0,4988.7,5125.0,5306.5,5276.2,5229.8,5534.0,,5141.7,4980.6,5159.0,4748.2,4944.0,4976.8,,5308.9,5252.1,5016.0,5119.1,5122.0,4722.4,-130.6,-234.6,-208.6,-207.3,50.0,-92.0,-31.0,-223.0,-13.8,-33.0,300.0,-31.0,91.4,-144.5,161.7,,384.5,376.0,-18.8,-399.2,231.0,-92.1,39.3,69.0,-201.3,-65.0,116.5,86.2,39.8,344.0,,-48.3,-209.4,-31.0,-441.8,-246.0,-213.2,,118.9,62.1,-174.0,-70.9,-68.0,-467.6,False,False,False,True,True,True,False,True,True,False,True,True,False,False,,False,False,True,False,False,True,True,True,False,True,True,True,True,False,,True,False,True,False,False,False,,True,True,False,True,True,False
Connecticut,6324,6181.0,6222.4,6225.9,6210.4,6204.0,6211.0,6183.0,6084.0,6231.2,6148.0,6335.6,5951.0,6968.7,6219.6,6285.1,,6341.8,6375.0,6328.1,5917.3,6318.0,6305.9,6225.3,6152.0,6059.4,6251.0,6224.6,6272.4,6156.4,6205.0,,6113.3,6083.7,6083.0,6204.6,5887.0,6114.2,,6192.5,6156.3,6112.0,6183.0,6069.0,6182.8,-143.0,-101.6,-98.1,-113.6,-120.0,-113.0,-141.0,-240.0,-92.8,-176.0,11.6,-373.0,644.7,-104.4,-38.9,,17.8,51.0,4.1,-406.7,-6.0,-18.1,-98.7,-172.0,-264.6,-73.0,-99.4,-51.6,-167.6,-119.0,,-210.7,-240.3,-241.0,-119.4,-437.0,-209.8,,-131.5,-167.7,-212.0,-141.0,-255.0,-141.2,True,True,True,True,True,True,False,True,False,True,False,False,True,True,,True,True,True,False,True,True,True,False,False,True,True,True,False,True,,False,False,False,True,False,False,,True,False,False,True,False,True
Delaware,1128,962.0,923.0,1019.2,972.3,966.0,969.0,974.0,960.0,978.8,946.0,952.0,987.0,956.1,967.9,1000.6,,948.7,1041.0,974.5,909.9,1014.0,1030.7,985.8,931.0,949.1,998.0,976.5,1012.8,986.6,977.0,,,969.8,988.0,1104.4,958.0,954.2,,985.4,899.2,974.0,942.8,988.0,976.3,-31.0,-70.0,26.2,-20.7,-27.0,-24.0,-19.0,-33.0,-14.2,-47.0,-41.0,-6.0,-36.9,-25.1,7.6,,-44.3,48.0,-18.5,-83.1,21.0,37.7,-7.2,-62.0,-43.9,5.0,-16.5,19.8,-6.4,-16.0,,,-23.2,-5.0,111.4,-35.0,-38.8,,-7.6,-93.8,-19.0,-50.2,-5.0,-16.7,False,True,True,True,True,True,False,True,False,False,True,False,True,True,,False,False,True,False,True,False,True,False,False,True,True,True,True,True,,,True,True,False,False,False,,True,False,True,False,True,True
District of Columbia,813,825.6,879.4,855.3,826.6,817.0,826.0,818.0,802.0,819.5,813.0,796.4,778.0,822.6,820.9,813.5,,784.0,802.0,814.8,775.8,822.0,818.1,824.8,842.0,804.3,819.0,,,807.7,799.0,,,821.7,807.0,841.3,824.0,826.5,,806.9,,818.0,,821.0,834.9,12.6,66.4,42.3,13.6,4.0,13.0,5.0,-11.0,6.5,0.0,-16.6,-35.0,9.6,7.9,0.5,,-29.0,-11.0,1.8,-37.2,9.0,5.1,11.8,29.0,-8.7,6.0,,,-5.3,-14.0,,,8.7,-6.0,28.3,11.0,13.5,,-6.1,,5.0,,8.0,21.9,False,False,False,True,False,True,True,True,True,False,False,True,True,True,,False,True,True,False,True,True,True,False,True,True,,,True,False,,,True,True,False,True,False,,True,,True,,True,False
Florida,22804,22408.0,22236.6,22484.8,22452.0,22500.0,22458.5,22576.0,22174.0,22718.5,22773.0,22829.4,22791.0,22278.8,22429.3,22903.2,,23127.0,22872.0,22798.6,22772.7,22556.0,24482.7,22991.2,22752.0,22586.1,22544.0,22609.9,22912.9,22576.4,22574.5,,22421.9,22141.5,22710.0,25204.8,22135.0,22357.3,,22488.2,22542.2,22702.0,22121.0,22730.0,22542.8,-396.0,-567.4,-319.2,-352.0,-304.0,-345.5,-228.0,-630.0,-85.5,-31.0,25.4,-13.0,-525.2,-374.7,99.2,,323.0,68.0,-5.4,-31.3,-248.0,1678.7,187.2,-52.0,-217.9,-260.0,-194.1,108.9,-227.6,-229.5,,-382.1,-662.5,-94.0,2400.8,-669.0,-446.7,,-315.8,-261.8,-102.0,-683.0,-74.0,-261.2,False,True,True,True,True,True,False,True,True,True,True,False,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,False,True,False,False,False,,True,True,True,False,True,True
