,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,5299,4311.7,5805.2,6388.7,3564.0,,-987.3,506.2,1089.7,-1735.0,,True,False,False,
Alaska,224,131.3,159.4,74.3,,,-92.7,-64.6,-149.7,,,True,False,,
Arizona,10036,8631.7,6902.3,9487.1,8412.0,,-1404.3,-3133.7,-548.9,-1624.0,,False,True,False,
Arkansas,4010,2858.3,2590.5,3522.1,2311.0,,-1151.7,-1419.5,-487.9,-1699.0,,False,True,False,
California,29707,27909.6,18438.7,54172.9,24056.0,,-1797.4,-11268.3,24465.9,-5651.0,,False,False,False,
Colorado,5190,2507.7,2278.0,4884.9,2383.0,,-2682.3,-2912.0,-305.1,-2807.0,,False,True,False,
Connecticut,6324,4521.6,4568.6,5259.2,4638.0,,-1802.4,-1755.4,-1064.8,-1686.0,,True,True,True,
Delaware,1128,698.3,708.9,1231.8,679.0,,-414.7,-404.1,118.8,-434.0,,True,True,False,
District of Columbia,813,700.3,647.9,1069.5,658.0,,-112.7,-165.1,256.5,-155.0,,False,False,False,
Florida,22804,24884.7,16815.7,26864.4,20056.0,,2080.7,-5988.3,4060.4,-2748.0,,False,False,False,
Georgia,11457,13769.1,9534.1,14311.7,9147.0,,2312.1,-1922.9,2854.7,-2310.0,,True,False,True,
Hawaii,307,477.9,420.2,323.3,,,170.9,113.2,16.3,,,True,True,,
Idaho,1528,849.3,706.0,1752.7,925.0,,-678.7,-822.0,224.7,-603.0,,False,True,True,
Illinois,19210,11282.9,11042.7,18694.0,9758.0,,-7927.1,-8167.3,-516.0,-9452.0,,False,True,False,
Indiana,10089,4667.6,4500.1,8011.1,4605.0,,-5460.4,-5627.9,-2116.9,-5523.0,,False,True,False,
Iowa,4127,2131.3,3308.6,4143.8,2437.0,,-1995.7,-818.4,16.8,-1690.0,,True,True,True,
Kansas,3141,1052.4,1307.2,2653.6,780.0,,-2088.6,-1833.8,-487.4,-2361.0,,True,True,False,
Kentucky,2876,2192.4,2404.4,4734.3,1501.0,,-683.6,-471.6,1858.3,-1375.0,,True,False,False,
Louisiana,7833,7985.9,6036.7,9182.0,7160.0,,152.9,-1796.3,1349.0,-673.0,,False,False,False,
Maine,432,169.7,165.7,427.2,232.0,,-262.3,-266.3,-4.8,-200.0,,False,True,True,
Maryland,6246,4638.3,4791.2,8308.1,4213.0,,-1607.7,-1454.8,2062.1,-2033.0,,True,False,False,
Massachusetts,13074,10482.1,13343.7,14427.3,9606.0,,-2591.9,269.7,1353.3,-3468.0,,True,True,False,
Michigan,14145,7841.7,7815.4,13224.2,8100.0,,-6303.3,-6329.6,-920.8,-6045.0,,False,True,True,
Minnesota,5731,2694.7,3000.1,6324.0,2641.0,,-3036.3,-2730.9,593.0,-3090.0,,True,True,False,
Mississippi,5146,5137.6,4054.3,4429.4,5138.0,,-8.4,-1091.7,-716.6,-8.0,,False,False,True,
Missouri,6173,4399.3,4220.0,6225.7,2600.0,,-1748.7,-1928.0,77.7,-3548.0,,False,True,False,
Montana,1054,349.1,445.7,417.3,462.0,,-704.9,-608.3,-636.7,-592.0,,True,True,True,
Nebraska,1737,618.3,804.8,1719.9,683.0,,-1118.7,-932.2,-17.1,-1054.0,,True,True,True,
Nevada,3450,2942.6,2062.5,4686.6,2344.0,,-507.4,-1387.5,1236.6,-1106.0,,False,False,False,
New Hampshire,862,450.9,483.3,1019.8,476.0,,-411.1,-378.7,157.8,-386.0,,True,True,True,
New Jersey,19854,16917.6,16231.9,18407.3,16524.0,,-2936.4,-3622.1,-1446.7,-3330.0,,False,True,False,
New Mexico,2732,1392.3,1172.0,2858.8,1236.0,,-1339.7,-1560.0,126.8,-1496.0,,False,True,False,
New York,39471,34379.9,33581.3,43131.6,33532.0,,-5091.1,-5889.7,3660.6,-5939.0,,False,True,False,
North Carolina,7425,6425.7,6281.8,11959.0,5762.0,,-999.3,-1143.2,4534.0,-1663.0,,False,False,False,
North Dakota,1360,406.0,713.9,641.7,326.0,,-954.0,-646.1,-718.3,-1034.0,,True,True,False,
Ohio,14681,6580.4,6741.1,12665.5,6885.0,,-8364.6,-8203.9,-2279.5,-8060.0,,True,True,True,
Oklahoma,2738,1817.3,2111.1,3718.2,2032.0,,-920.7,-626.9,980.2,-706.0,,True,False,True,
Oregon,1603,891.7,872.6,3818.2,728.0,,-711.3,-730.4,2215.2,-875.0,,False,False,False,
Pennsylvania,17626,9392.9,9774.1,17705.3,8685.0,,-8233.1,-7851.9,79.3,-8941.0,,True,True,False,
Rhode Island,2062,1215.7,1187.1,2175.1,1136.0,,-813.3,-841.9,146.1,-893.0,,False,True,False,
South Carolina,5758,6065.6,5610.4,6928.5,4633.0,,307.6,-147.6,1170.5,-1125.0,,True,False,False,
South Dakota,1570,280.1,664.2,610.2,367.0,,-1289.9,-905.8,-959.8,-1203.0,,True,True,True,
Tennessee,7704,3972.1,3996.7,7409.2,4118.0,,-3731.9,-3707.3,-294.8,-3586.0,,True,True,True,
Texas,30313,30993.3,20950.3,35192.5,27614.0,27121.0,976.3,-9066.7,5175.5,-2403.0,-2896.0,False,False,False,False
Utah,1390,689.9,938.7,2531.1,909.0,,-700.1,-451.3,1141.1,-481.0,,True,False,True,
Vermont,156,58.0,61.9,60.7,58.0,,-98.0,-94.1,-95.3,-98.0,,True,True,False,
Virginia,5381,4624.4,4681.6,10302.3,3634.0,,-756.6,-699.4,4921.3,-1747.0,,True,False,False,
Washington,3698,2810.1,2275.7,6029.4,2421.0,,-892.9,-1427.3,2326.4,-1282.0,,False,False,False,
West Virginia,1570,874.0,2378.2,1680.0,485.0,,-696.0,808.2,110.0,-1085.0,,False,True,False,
Wisconsin,5567,1989.4,2335.3,4891.9,1833.0,,-3521.6,-3175.7,-619.1,-3678.0,,True,True,False,
Wyoming,489,131.3,70.4,150.1,98.0,,-357.7,-418.6,-338.9,-391.0,,False,True,False,
US,379070,294601.7,237894.8,430837.3,264250.0,222252.0,-84350.3,-141057.2,51885.3,-114702.0,-156700.0,False,True,False,False
