,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,5299,4027.7,4808.4,3752.0,,3696.1,-1271.3,-490.6,-1547.0,,-1602.9,True,False,,False
Alaska,224,230.9,272.1,,,140.0,6.9,48.1,,,-84.0,False,,,False
Arizona,10036,7014.0,7107.0,6421.0,,7190.5,-3022.0,-2929.0,-3615.0,,-2845.5,True,False,,True
Arkansas,4010,3397.1,3505.1,3324.0,,2788.8,-612.9,-504.9,-686.0,,-1221.2,True,False,,False
California,29707,20756.3,22509.5,20209.0,,20170.2,-8949.7,-7196.5,-9497.0,,-9535.8,True,False,,False
Colorado,5190,2928.7,4093.5,2834.0,,2754.5,-2261.3,-1096.5,-2356.0,,-2435.5,True,False,,False
Connecticut,6324,5000.4,5639.4,4834.0,,4780.6,-1323.6,-684.6,-1490.0,,-1543.4,True,False,,False
Delaware,969,995.9,850.1,811.0,,734.1,26.9,-118.9,-158.0,,-234.9,False,False,,False
District of Columbia,813,685.4,723.4,669.0,,660.6,-127.6,-89.6,-144.0,,-152.4,True,False,,False
Florida,22804,20337.6,24268.7,20128.0,,18822.7,-2466.4,1464.7,-2676.0,,-3981.3,True,False,,False
Georgia,11457,9676.4,10669.3,9871.0,,9422.3,-1780.6,-787.7,-1586.0,,-2034.7,True,True,,False
Hawaii,307,288.0,423.1,,,241.1,-19.0,116.1,,,-65.9,False,,,False
Idaho,1528,1191.9,1246.4,1100.0,,1033.6,-336.1,-281.6,-428.0,,-494.4,True,False,,False
Illinois,19210,13032.1,18460.3,12604.0,,11278.8,-6177.9,-749.7,-6606.0,,-7931.2,True,False,,False
Indiana,8966,6670.6,8546.8,6283.0,,5482.1,-2295.4,-419.2,-2683.0,,-3483.9,True,False,,False
Iowa,4127,2699.0,3527.7,2672.0,,2182.7,-1428.0,-599.3,-1455.0,,-1944.3,True,False,,False
Kansas,3141,1705.1,2811.2,1822.0,,1380.0,-1431.9,-325.8,-1315.0,,-1757.0,True,True,,False
Kentucky,2876,2297.3,2922.4,2434.0,,2226.6,-578.7,46.4,-442.0,,-649.4,True,True,,False
Louisiana,7833,6803.3,6915.5,6737.0,,7179.6,-1029.7,-917.5,-1096.0,,-653.4,True,False,,True
Maine,432,156.9,173.6,228.0,,154.8,-275.1,-258.4,-204.0,,-277.2,True,True,,False
Maryland,6246,4704.0,4840.1,4469.0,24126.0,4586.8,-1542.0,-1405.9,-1777.0,17880.0,-1659.2,True,False,False,False
Massachusetts,13074,11481.7,12669.3,11087.0,,10822.4,-1592.3,-404.7,-1987.0,,-2251.6,True,False,,False
Michigan,14145,9443.7,13407.3,9770.0,,8456.1,-4701.3,-737.7,-4375.0,,-5688.9,True,True,,False
Minnesota,5731,3780.9,4866.1,4112.0,,3461.4,-1950.1,-864.9,-1619.0,,-2269.6,True,True,,False
Mississippi,5146,4264.7,4267.9,4042.0,,4219.5,-881.3,-878.1,-1104.0,,-926.5,True,False,,False
Missouri,6143,5186.9,6418.2,4656.0,,4079.3,-967.1,264.2,-1498.0,,-2074.7,True,False,,False
Montana,1054,1154.7,1341.9,1217.0,,914.3,100.7,287.9,163.0,,-139.7,False,False,,False
Nebraska,1737,1225.7,1531.1,1204.0,,935.6,-511.3,-205.9,-533.0,,-801.4,True,False,,False
Nevada,3450,2102.3,2433.3,2077.0,,2395.3,-1343.7,-1012.7,-1369.0,,-1050.7,True,False,,True
New Hampshire,862,581.6,752.9,637.0,,552.2,-280.4,-109.1,-225.0,,-309.8,True,True,,False
New Jersey,19854,17034.1,17552.4,16924.0,,16720.6,-2819.9,-2301.6,-2930.0,,-3133.4,True,False,,False
New Mexico,2732,1607.6,2074.3,1463.0,,1380.1,-1124.4,-657.7,-1269.0,,-1351.9,True,False,,False
New York,39471,34648.9,36163.8,34453.0,,33849.0,-4605.1,-3090.2,-4801.0,,-5405.0,True,False,,False
North Carolina,7425,6610.7,7019.3,6430.0,,6265.8,-814.3,-405.7,-995.0,,-1159.2,True,False,,False
North Dakota,1360,1270.3,1805.9,1318.0,,753.3,-89.7,445.9,-42.0,,-606.7,False,True,,False
Ohio,9599,6259.1,7084.1,7251.0,,6056.4,-3339.9,-2514.9,-2348.0,,-3542.6,True,True,,False
Oklahoma,2738,2291.3,2243.2,2342.0,,2006.7,-446.7,-494.8,-396.0,,-731.3,False,True,,False
Oregon,1603,1065.6,1100.7,968.0,,920.0,-537.4,-502.3,-635.0,,-683.0,True,False,,False
Pennsylvania,17626,10340.7,12360.2,10719.0,,9753.0,-7285.3,-5265.8,-6907.0,,-7873.0,True,True,,False
Rhode Island,1916,1437.6,2205.5,1450.0,,1293.4,-478.4,289.5,-466.0,,-622.6,True,True,,False
South Carolina,5758,5256.9,5415.5,5123.0,,4879.4,-501.1,-342.5,-635.0,,-878.6,True,False,,False
South Dakota,1570,1048.1,1406.0,1026.0,,602.3,-521.9,-164.0,-544.0,,-967.7,True,False,,False
Tennessee,7704,5541.3,6752.0,5242.0,,5996.2,-2162.7,-952.0,-2462.0,,-1707.8,True,False,,True
Texas,30313,23893.9,24602.5,24183.0,39033.0,23297.6,-6081.1,-5372.5,-5792.0,9058.0,-6677.4,True,True,False,False
Utah,1390,1028.0,1486.8,1086.0,,979.5,-362.0,96.8,-304.0,,-410.5,True,True,,False
Vermont,156,58.0,60.4,59.0,,59.8,-98.0,-95.6,-97.0,,-96.2,True,True,,True
Virginia,5381,4404.1,4725.2,4744.0,,3942.3,-976.9,-655.8,-637.0,,-1438.7,True,True,,False
Washington,3698,3056.0,3393.6,2990.0,,3098.2,-655.0,-317.4,-721.0,,-612.8,True,False,,True
West Virginia,1570,805.0,744.4,799.0,,769.5,-765.0,-825.6,-771.0,,-800.5,False,False,,False
Wisconsin,5567,4698.6,5037.9,4165.0,,4330.3,-552.4,-213.1,-1086.0,,-920.7,True,False,,False
Wyoming,489,274.3,340.6,278.0,,181.2,-214.7,-148.4,-211.0,,-307.8,True,True,,False
US,372530,287791.9,346134.7,285916.0,277644.0,283358.2,-83882.1,-25539.3,-85758.0,-94030.0,-88315.8,True,False,False,False
