,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,5299,3347.9,3388.3,3352.0,,3215.7,-1951.1,-1910.7,-1947.0,,-2083.3,True,True,,False
Alaska,224,85.7,196.5,,,80.5,-138.3,-27.5,,,-143.5,True,,,False
Arizona,10036,6856.1,7776.8,6584.5,,6721.6,-3179.9,-2259.2,-3451.5,,-3314.4,True,False,,False
Arkansas,4010,3046.3,3711.7,3184.0,,2480.1,-963.7,-298.3,-826.0,,-1529.9,True,True,,False
California,29707,23643.7,22165.3,20434.0,,20928.8,-6063.3,-7541.7,-9273.0,,-8778.2,False,False,,False
Colorado,5190,2442.1,2807.1,2386.0,,2215.4,-2747.9,-2382.9,-2804.0,,-2974.6,True,False,,False
Connecticut,6324,4679.3,4811.4,4672.0,,4593.9,-1644.7,-1512.6,-1652.0,,-1730.1,True,False,,False
Delaware,1128,811.3,847.8,705.0,,691.0,-300.7,-264.2,-407.0,,-421.0,True,False,,False
District of Columbia,813,728.0,684.4,657.0,,659.3,-85.0,-128.6,-156.0,,-153.7,False,False,,False
Florida,22804,23525.7,22085.7,19613.5,,19503.5,721.7,-718.3,-3190.5,,-3300.5,True,False,,False
Georgia,11457,10155.1,9572.6,9236.0,,9681.3,-1301.9,-1884.4,-2221.0,,-1775.7,False,False,,False
Hawaii,307,488.6,241.9,,,220.1,181.6,-65.1,,,-86.9,True,,,True
Idaho,1528,786.9,1036.0,768.0,,740.7,-741.1,-492.0,-760.0,,-787.3,True,False,,False
Illinois,19210,11742.1,10919.7,10666.0,,10515.6,-7467.9,-8290.3,-8544.0,,-8694.4,False,False,,False
Indiana,10089,4976.6,5377.9,4815.0,,4340.9,-5066.4,-4665.1,-5228.0,,-5702.1,True,False,,False
Iowa,4127,2370.9,2392.4,2088.0,,2154.8,-1756.1,-1734.6,-2039.0,,-1972.2,True,False,,False
