,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,5299,4026.9,3296.5,3319.0,,3404.5,-1272.1,-2002.5,-1980.0,,-1894.5,False,False,,False
Alaska,224,85.7,258.8,,,84.7,-138.3,34.8,,,-139.3,True,,,False
Arizona,10036,6440.4,7471.8,6515.0,,6846.0,-3595.6,-2564.2,-3521.0,,-3190.0,True,True,,True
Arkansas,4010,3420.4,3118.2,3173.0,,2642.8,-589.6,-891.8,-837.0,,-1367.2,False,False,,False
California,29707,22133.3,22792.7,19825.0,,20749.2,-7573.7,-6914.3,-9882.0,,-8957.8,True,False,,False
Colorado,5190,2691.6,2748.0,2372.5,,2347.3,-2498.4,-2442.0,-2817.5,,-2842.7,True,False,,False
Connecticut,6324,4748.6,4764.6,4657.0,,4620.9,-1575.4,-1559.4,-1667.0,,-1703.1,True,False,,False
Delaware,1128,769.7,798.5,749.0,,704.3,-337.3,-308.5,-358.0,,-402.7,True,False,,False
District of Columbia,813,714.1,698.2,661.0,,658.0,-98.9,-114.8,-152.0,,-155.0,False,False,,False
Florida,22804,24274.0,21863.2,20000.0,,19496.2,1470.0,-940.8,-2804.0,,-3307.8,True,False,,False
Georgia,11457,10681.7,9490.4,9154.0,,9824.7,-775.3,-1966.6,-2303.0,,-1632.3,False,False,,False
Hawaii,307,336.1,305.9,,,243.8,29.1,-1.1,,,-63.2,True,,,False
Idaho,1528,828.4,962.7,753.0,,785.1,-699.6,-565.3,-775.0,,-742.9,True,False,,False
Illinois,19210,11672.9,11743.5,11007.0,,10811.3,-7537.1,-7466.5,-8203.0,,-8398.7,True,False,,False
Indiana,10089,5267.6,5408.0,4719.0,,4481.4,-4758.4,-4618.0,-5307.0,,-5544.6,True,False,,False
Iowa,4127,2426.3,2428.9,2084.0,,2168.5,-1700.7,-1698.1,-2043.0,,-1958.5,True,False,,False
Kansas,3141,1854.0,1422.2,1431.0,,1205.6,-1287.0,-1718.8,-1710.0,,-1935.4,False,False,,False
Kentucky,2876,1804.9,2236.4,1938.0,,2245.1,-1071.1,-639.6,-938.0,,-630.9,True,True,,True
Louisiana,7833,6657.9,6598.2,6526.0,,7526.1,-1175.1,-1234.8,-1307.0,,-306.9,False,False,,True
Maine,432,155.9,163.7,188.0,,151.9,-276.1,-268.3,-244.0,,-280.1,True,True,,False
Maryland,6246,4526.1,4445.5,4254.0,15468.0,4242.9,-1719.9,-1800.5,-1992.0,9222.0,-2003.1,False,False,False,False
Massachusetts,13074,10812.6,12616.4,10307.0,,9967.9,-2261.4,-457.6,-2767.0,,-3106.1,True,False,,False
Michigan,14145,8440.4,8521.5,8023.0,,7699.8,-5704.6,-5623.5,-6122.0,,-6445.2,True,False,,False
Minnesota,5731,2978.3,3387.9,3132.0,,3062.9,-2752.7,-2343.1,-2599.0,,-2668.1,True,True,,True
Mississippi,5146,4232.4,4070.1,4410.0,,4087.9,-913.6,-1075.9,-736.0,,-1058.1,False,True,,False
Missouri,6173,5484.0,4350.6,3606.0,,2992.5,-676.0,-1809.4,-2554.0,,-3167.5,False,False,,False
Montana,1054,505.7,1308.2,473.0,,406.0,-548.3,254.2,-581.0,,-648.0,True,False,,False
Nebraska,1737,750.4,974.1,845.0,,637.7,-986.6,-762.9,-892.0,,-1099.3,True,True,,False
Nevada,3450,2149.6,2695.9,1921.0,,2525.7,-1300.4,-754.1,-1529.0,,-924.3,True,False,,True
New Hampshire,862,623.1,512.0,509.0,,524.6,-238.9,-350.0,-353.0,,-337.4,False,False,,False
New Jersey,19854,16662.6,17602.2,16496.5,,16482.0,-3191.4,-2251.8,-3357.5,,-3372.0,True,False,,False
New Mexico,2732,1155.3,1997.5,1130.0,,1031.0,-1576.7,-734.5,-1602.0,,-1701.0,True,False,,False
New York,39471,34438.3,35355.0,33865.0,,33711.5,-4857.7,-3941.0,-5431.0,,-5584.5,True,False,,False
North Carolina,7425,5518.6,6301.2,5906.0,,5303.3,-1906.4,-1123.8,-1519.0,,-2121.7,True,True,,False
North Dakota,1360,1147.0,1116.9,834.0,,531.5,-213.0,-243.1,-526.0,,-828.5,False,False,,False
Ohio,14681,5950.4,7239.9,6603.0,,6178.0,-9098.6,-7809.1,-8446.0,,-8871.0,True,True,,True
Oklahoma,2738,1702.3,1961.1,1936.0,,1760.0,-1035.7,-776.9,-802.0,,-978.0,True,True,,True
Oregon,1603,946.1,998.3,813.0,,917.9,-656.9,-604.7,-790.0,,-685.1,True,False,,False
Pennsylvania,17626,10065.7,10436.2,9571.0,,9128.7,-7560.3,-7189.8,-8055.0,,-8497.3,True,False,,False
Rhode Island,2062,1284.3,1372.7,1241.0,,1177.0,-753.7,-665.3,-797.0,,-861.0,True,False,,False
South Carolina,5758,4824.9,4603.0,4748.0,,4779.0,-933.1,-1155.0,-1010.0,,-979.0,False,False,,False
South Dakota,1570,774.6,868.1,605.0,,300.2,-795.4,-701.9,-965.0,,-1269.8,True,False,,False
Tennessee,7704,5209.9,5095.5,4944.0,,4907.5,-2494.1,-2608.5,-2760.0,,-2796.5,False,False,,False
Texas,30313,25341.0,25925.9,23230.0,18956.0,22337.1,-4704.0,-4119.1,-6815.0,-11089.0,-7707.9,True,False,False,False
Utah,1390,1018.4,1257.6,874.0,,811.7,-371.6,-132.4,-516.0,,-578.3,True,False,,False
Vermont,156,58.0,70.6,59.0,,59.8,-98.0,-85.4,-97.0,,-96.2,True,True,,True
Virginia,5381,4447.9,4780.8,4101.0,,3847.4,-930.1,-597.2,-1277.0,,-1530.6,True,False,,False
