,mean_rank
Karlen-pypm,12.9
Microsoft-DeepSTIA,13.2
UCSD_NEU-DeepGLEAM,13.8
UChicagoCHATTOPADHYAY-UnIT,13.8
MOBS-GLEAM_COVID,13.9
Google_Harvard-CPF,14.7
OliverWyman-Navigator,14.9
IowaStateLW-STEM,15.2
AIpert-pwllnod,16.4
GT-DeepCOVID,16.6
CMU-TimeSeries,16.6
COVIDhub-ensemble,17.7
COVIDhub-baseline,17.8
CEID-Walk,18.3
PSI-DRAFT,18.3
UMich-RidgeTfReg,18.3
Caltech-CS156,19.1
Wadhwani_AI-BayesOpt,19.4
CovidAnalytics-DELPHI,19.4
UCLA-SuEIR,19.7
MIT_CritData-GBCF,19.9
Geneva-DetGrowth,20.2
LANL-GrowthRate,20.5
epiforecasts-ensemble1,21.2
SteveMcConnell-CovidComplete,21.2
UMass-MechBayes,22.0
JHU_IDD-CovidSP,22.3
DDS-NBDS,22.7
USC-SI_kJalpha,23.4
LNQ-ens1,23.9
UA-EpiCovDA,24.1
MITCovAlliance-SIR,25.2
Columbia_UNC-SurvCon,25.4
JHUAPL-Bucky,26.7
UCSB-ACTS,27.6
BPagano-RtDriven,28.0
CU-select,28.5
RobertWalraven-ESG,30.2
TTU-squider,31.2
Covid19Sim-Simulator,31.6
WalmartLabsML-LogForecasting,35.3
