,actual_deaths,Baseline,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,5299,4923.6,5570.8,5488.0,5002.1,5444.0,5297.0,5199.9,6470.0,5291.0,5515.0,5896.9,5049.8,5444.0,,5560.8,5362.0,5817.9,5457.9,5503.0,4814.8,5919.7,5559.0,5289.0,5286.0,5472.9,5298.2,,4763.2,5528.1,5536.0,,5103.6,5534.8,5423.0,5190.0,5603.0,4613.2,,5177.1,5500.9,5213.0,,5659.0,4838.0,5671.4,4468.3,5301.0,-375.4,271.8,189.0,-296.9,145.0,-2.0,-99.1,1171.0,-8.0,216.0,597.9,-249.2,145.0,,261.8,63.0,518.9,158.9,204.0,-484.2,620.7,260.0,-10.0,-13.0,173.9,-0.8,,-535.8,229.1,237.0,,-195.4,235.8,124.0,-109.0,304.0,-685.8,,-121.9,201.9,-86.0,,360.0,-461.0,372.4,-830.7,2.0,True,True,True,True,True,True,False,True,True,False,True,True,,True,True,False,True,True,False,False,True,True,True,True,True,,False,True,True,,True,True,True,True,True,False,,True,True,True,,True,False,True,False,True
Alaska,224,303.3,330.5,282.0,308.0,294.0,296.0,258.5,277.0,276.9,242.0,315.7,317.3,294.4,,256.4,,250.9,264.7,393.0,264.8,263.8,330.0,294.4,356.0,308.5,311.5,,210.3,346.4,328.0,,,481.9,273.0,256.4,276.0,269.0,,309.4,330.6,267.0,,326.0,243.0,294.9,212.4,278.8,79.3,106.5,58.0,84.0,70.0,72.0,34.5,53.0,52.9,18.0,91.7,93.3,70.4,,32.4,,26.9,40.7,169.0,40.8,39.8,106.0,70.4,132.0,84.5,87.5,,-13.7,122.4,104.0,,,257.9,49.0,32.4,52.0,45.0,,85.4,106.6,43.0,,102.0,19.0,70.9,-11.6,54.8,False,True,False,True,True,True,True,True,True,False,False,True,,True,,True,True,False,True,True,False,True,False,False,False,,True,False,False,,,False,True,True,True,True,,False,False,True,,False,True,True,True,True
Arizona,10036,8926.9,10023.1,9432.0,8908.1,9293.0,9293.0,9373.9,9426.0,8985.8,7848.0,10086.4,9557.8,9490.0,,8876.6,9178.0,9768.2,9170.2,9650.0,8837.2,9582.8,11500.5,9430.4,9342.0,8885.6,9375.7,,8503.3,9533.0,8451.5,,8661.9,10452.5,9293.0,9577.2,9326.0,8656.2,,8694.4,8957.5,9906.0,,9836.0,9617.5,9048.8,7761.6,9348.8,-1109.1,-12.9,-604.0,-1127.9,-743.0,-743.0,-662.1,-610.0,-1050.2,-2188.0,50.4,-478.2,-546.0,,-1159.4,-858.0,-267.8,-865.8,-386.0,-1198.8,-453.2,1464.5,-605.6,-694.0,-1150.4,-660.3,,-1532.7,-503.0,-1584.5,,-1374.1,416.5,-743.0,-458.8,-710.0,-1379.8,,-1341.6,-1078.5,-130.0,,-200.0,-418.5,-987.2,-2274.4,-687.2,True,True,False,True,True,True,True,True,False,True,True,True,,False,True,True,True,True,False,True,False,True,True,False,True,,False,True,False,,False,True,True,True,True,False,,False,True,True,,True,True,True,False,True
Arkansas,4010,4044.3,4927.6,4581.0,4074.9,3875.0,3585.0,3838.0,3894.0,3383.4,3742.0,3907.6,4127.5,3860.8,,3452.3,4055.0,3886.0,3478.2,3984.0,3406.5,3780.7,3843.0,4090.9,3770.0,3820.3,4087.8,,3185.6,4106.0,4145.0,,3729.2,4306.7,3876.0,4046.1,3877.0,4213.0,,3577.8,3873.1,4295.0,,4015.0,3923.0,4475.0,3294.0,3888.0,34.3,917.6,571.0,64.9,-135.0,-425.0,-172.0,-116.0,-626.6,-268.0,-102.4,117.5,-149.2,,-557.7,45.0,-124.0,-531.8,-26.0,-603.5,-229.3,-167.0,80.9,-240.0,-189.7,77.8,,-824.4,96.0,135.0,,-280.8,296.7,-134.0,36.1,-133.0,203.0,,-432.2,-136.9,285.0,,5.0,-87.0,465.0,-716.0,-122.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,True,False,False,False,False
California,29707,25329.1,29736.4,28908.0,25310.1,26762.0,27534.0,27312.7,32199.0,25779.4,23360.0,26216.1,26284.5,29511.5,,27397.1,25878.0,27880.7,29201.1,26212.0,26484.8,29375.4,29814.5,29049.1,26444.0,25467.1,26921.5,,23249.9,28290.7,42552.5,,23756.3,27080.3,26762.0,32750.3,29069.0,25123.5,26252.0,25761.7,25585.3,30395.0,,30025.0,29973.5,,22308.9,28101.9,-4371.9,35.4,-793.0,-4390.9,-2939.0,-2167.0,-2388.3,2498.0,-3921.6,-6341.0,-3484.9,-3416.5,-189.5,,-2303.9,-3823.0,-1820.3,-499.9,-3489.0,-3216.2,-325.6,113.5,-651.9,-3257.0,-4233.9,-2779.5,,-6451.1,-1410.3,12851.5,,-5944.7,-2620.7,-2939.0,3049.3,-632.0,-4577.5,-3449.0,-3939.3,-4115.7,694.0,,324.0,272.5,,-7392.1,-1599.1,True,True,False,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,False,True,True,True,True,False,True,True,True,True,,True,True,,False,True
Colorado,5190,6280.0,7078.9,6249.0,5926.7,5548.0,4955.0,5415.3,5071.0,5006.8,4983.0,7568.4,5908.6,5575.8,,4632.1,6537.0,5655.0,4674.3,5910.0,4917.4,5285.1,6009.0,5981.8,5700.0,6286.2,6214.5,,4921.8,5973.3,7010.0,,4848.2,6554.3,5436.0,4240.4,5543.0,4581.5,,5620.1,6437.3,5332.0,,5554.0,6614.5,4988.5,4289.1,4882.1,1090.0,1888.9,1059.0,736.7,358.0,-235.0,225.3,-119.0,-183.2,-207.0,2378.4,718.6,385.8,,-557.9,1347.0,465.0,-515.7,720.0,-272.6,95.1,819.0,791.8,510.0,1096.2,1024.5,,-268.2,783.3,1820.0,,-341.8,1364.3,246.0,-949.6,353.0,-608.5,,430.1,1247.3,142.0,,364.0,1424.5,-201.5,-900.9,-307.9,False,True,True,True,True,True,True,True,True,False,True,True,,True,False,True,True,True,True,True,True,True,True,False,True,,True,True,False,,True,False,True,True,True,True,,True,False,True,,True,False,True,True,True
Connecticut,6324,6200.0,6350.2,6514.0,6231.5,6406.0,6535.0,6189.8,6705.0,6236.0,5782.0,6442.6,6569.6,6741.7,,6525.9,6354.0,6524.0,6409.1,6533.0,6055.8,6954.9,6575.0,6195.7,6386.0,6669.0,6518.3,,5743.8,6432.9,6402.5,,6116.7,6154.3,6568.0,6437.9,5918.0,5976.3,,6363.9,6713.0,6430.0,,6387.0,6249.5,6747.4,5468.9,6855.7,-124.0,26.2,190.0,-92.5,82.0,211.0,-134.2,381.0,-88.0,-542.0,118.6,245.6,417.7,,201.9,30.0,200.0,85.1,209.0,-268.2,630.9,251.0,-128.3,62.0,345.0,194.3,,-580.2,108.9,78.5,,-207.3,-169.7,244.0,113.9,-406.0,-347.7,,39.9,389.0,106.0,,63.0,-74.5,423.4,-855.1,531.7,True,False,True,True,False,False,False,True,False,True,False,False,,False,True,False,True,False,False,False,False,False,True,False,False,,False,True,True,,False,False,False,True,False,False,,True,False,True,,True,True,False,False,False
Delaware,1128,904.7,1035.0,960.0,947.5,984.0,1009.0,975.5,951.0,921.6,944.0,949.4,1004.5,1092.6,,901.5,999.0,944.6,981.9,1082.0,976.6,1042.9,931.0,942.7,1018.0,976.5,992.8,,865.2,996.2,902.0,,,942.8,1000.0,1206.5,997.0,955.7,,957.2,1031.6,1005.0,,1033.0,895.0,960.2,855.2,959.7,-139.3,-9.0,-84.0,-96.5,-60.0,-35.0,-68.5,-93.0,-122.4,-100.0,-94.6,-39.5,48.6,,-142.5,-45.0,-99.4,-62.1,38.0,-67.4,-1.1,-113.0,-101.3,-26.0,-67.5,-51.2,,-178.8,-47.8,-142.0,,,-101.2,-44.0,162.5,-47.0,-88.3,,-86.8,-12.4,-39.0,,-11.0,-149.0,-83.8,-188.8,-84.3,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,,True,True,False,True,True,,True,True,True,,True,False,True,False,True
District of Columbia,813,784.4,809.2,807.0,785.0,800.0,806.0,820.8,831.0,799.6,736.0,796.5,831.7,841.0,,774.4,780.0,813.7,803.0,800.0,780.4,826.1,808.0,782.0,832.0,,,,742.5,820.2,915.0,,,790.8,817.0,845.4,817.0,762.8,,833.4,,794.0,,812.0,797.0,799.4,733.4,802.8,-28.6,-3.8,-6.0,-28.0,-13.0,-7.0,7.8,18.0,-13.4,-77.0,-16.5,18.7,28.0,,-38.6,-33.0,0.7,-10.0,-13.0,-32.6,13.1,-5.0,-31.0,19.0,,,,-70.5,7.2,102.0,,,-22.2,4.0,32.4,4.0,-50.2,,20.4,,-19.0,,-1.0,-16.0,-13.6,-79.6,-10.2,True,True,True,True,True,True,True,True,False,True,True,True,,False,False,True,True,True,False,True,True,False,True,,,,False,True,False,,,True,True,False,True,False,,True,,True,,True,True,True,False,True
Florida,22804,22523.6,23444.3,23652.0,22588.2,23213.0,23845.0,23133.8,23244.0,22847.6,22001.0,24887.1,23159.5,23736.9,,22371.3,22850.0,23446.0,22565.7,23773.0,23905.4,23241.2,22580.0,23511.6,23546.0,23682.3,23541.9,,22524.9,23834.0,27262.5,,23297.2,23285.0,23103.0,25545.0,23237.0,22382.5,,22516.1,23716.7,23261.0,,23159.0,24138.0,,21159.3,23396.7,-280.4,640.3,848.0,-215.8,409.0,1041.0,329.8,440.0,43.6,-803.0,2083.1,355.5,932.9,,-432.7,46.0,642.0,-238.3,969.0,1101.4,437.2,-224.0,707.6,742.0,878.3,737.9,,-279.1,1030.0,4458.5,,493.2,481.0,299.0,2741.0,433.0,-421.5,,-287.9,912.7,457.0,,355.0,1334.0,,-1644.7,592.7,False,False,True,False,False,False,False,True,False,False,False,False,,False,True,False,True,False,False,False,True,False,False,False,False,,True,False,False,,False,False,False,False,False,False,,False,False,False,,False,False,,False,False
