,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Alabama,5299,5404.4,5401.6,5283.0,5175.8,5079.0,,5939.0,5543.0,5674.3,5472.6,4686.2,6469.4,5701.5,4948.1,5328.5,,5408.5,,4899.3,4301.8,105.4,102.6,-16.0,-123.2,-220.0,,640.0,244.0,375.3,173.6,-612.8,1170.4,402.5,-350.9,29.5,,109.5,,-399.7,-997.2,True,True,False,False,,False,False,False,False,False,False,False,False,True,,False,,False,False
Alaska,224,249.9,253.0,189.0,286.3,218.0,,199.2,,206.6,258.6,266.7,244.6,271.0,172.2,270.0,,258.1,,254.0,173.5,25.9,29.0,-35.0,62.3,-6.0,,-24.8,,-17.4,34.6,42.7,20.6,47.0,-51.8,46.0,,34.1,,30.0,-50.5,False,False,False,True,,True,,True,False,False,True,False,False,False,,False,,False,False
Arizona,10036,8484.9,8429.6,8683.0,9100.8,7530.0,,8361.8,8207.0,9482.4,9759.7,8702.2,9966.8,9995.0,8315.6,8537.0,,8355.7,,7948.7,7383.2,-1551.1,-1606.4,-1353.0,-935.2,-2506.0,,-1674.2,-1829.0,-553.6,-276.3,-1333.8,-69.2,-41.0,-1720.4,-1499.0,,-1680.3,,-2087.3,-2652.8,False,True,True,False,,False,False,True,True,True,True,True,False,True,,False,,False,False
Arkansas,4010,3582.9,3475.0,2898.0,3434.3,3640.0,,3788.1,3513.0,3667.2,3555.6,3222.0,3881.8,3524.0,3388.9,3123.0,,3768.2,,3202.6,3001.5,-427.1,-535.0,-1112.0,-575.7,-370.0,,-221.9,-497.0,-342.8,-454.4,-788.0,-128.2,-486.0,-621.1,-887.0,,-241.8,,-807.4,-1008.5,False,False,False,True,,True,False,True,False,False,True,False,False,False,,True,,False,False
California,29707,23702.0,23640.2,25402.0,25028.7,22234.0,,27397.1,23851.0,25195.3,27700.6,26387.8,28088.9,26933.0,21465.4,41794.5,,23776.3,23839.0,,21293.8,-5994.0,-6055.8,-4294.0,-4667.3,-7462.0,,-2298.9,-5845.0,-4500.7,-1995.4,-3308.2,-1607.1,-2763.0,-8230.6,12098.5,,-5919.7,-5857.0,,-8402.2,False,True,True,False,,True,True,True,True,True,True,True,False,False,,True,True,,False
Colorado,5190,5070.6,5227.2,3751.0,5373.4,4594.0,,6084.5,5244.0,5573.8,4584.0,4603.8,4847.8,4755.0,4379.3,5077.0,,5250.0,,4937.5,3641.0,-119.4,37.2,-1439.0,183.4,-596.0,,894.5,54.0,383.8,-606.0,-586.2,-342.2,-435.0,-810.7,-113.0,,60.0,,-252.5,-1549.0,True,False,False,False,,False,True,False,False,False,False,False,False,True,,True,,False,False
Connecticut,6324,6044.6,6072.6,5450.0,6113.1,5507.0,,6237.6,6016.0,6481.5,6227.4,5994.9,6988.1,6247.0,5654.8,5523.5,,5934.4,,6489.4,5298.2,-279.4,-251.4,-874.0,-210.9,-817.0,,-86.4,-308.0,157.5,-96.6,-329.1,664.1,-77.0,-669.2,-800.5,,-389.6,,165.4,-1025.8,True,False,True,False,,True,False,True,True,False,False,True,False,False,,False,,True,False
Delaware,1128,904.7,879.2,889.0,939.7,921.0,,882.0,909.0,930.5,1009.2,984.3,1001.4,963.0,1014.5,928.0,,877.1,,947.9,834.9,-167.3,-192.8,-183.0,-132.3,-151.0,,-190.0,-163.0,-141.5,-62.8,-87.7,-70.6,-109.0,-57.5,-144.0,,-194.9,,-124.1,-237.1,False,False,True,True,,False,True,True,True,True,True,True,True,True,,False,,True,False
District of Columbia,813,779.6,780.1,778.0,792.8,722.0,,787.7,761.0,812.8,795.9,779.5,839.3,815.0,728.2,838.0,,772.1,,770.9,718.0,-33.4,-32.9,-35.0,-20.2,-91.0,,-25.3,-52.0,-0.2,-17.1,-33.5,26.3,2.0,-84.8,25.0,,-40.9,,-42.1,-95.0,True,False,True,False,,True,False,True,True,False,True,True,False,True,,False,,False,False
Florida,22804,22465.3,22293.1,21751.0,22273.9,21830.0,,23609.1,21762.0,23653.5,22904.4,23759.4,23207.8,23372.0,22813.6,20418.0,,22339.7,,,20685.2,-338.7,-510.9,-1053.0,-530.1,-974.0,,805.1,-1042.0,849.5,100.4,955.4,403.8,568.0,9.6,-2386.0,,-464.3,,,-2118.8,False,False,False,False,,False,False,False,True,False,False,False,True,False,,False,,,False
Georgia,11457,11574.0,11637.5,10022.0,10548.8,12233.0,,11135.6,11340.0,11852.7,11668.2,10527.8,12229.6,11630.0,10818.4,12329.5,,11772.5,,,10353.1,117.0,180.5,-1435.0,-908.2,776.0,,-321.4,-117.0,395.7,211.2,-929.2,772.6,173.0,-638.6,872.5,,315.5,,,-1103.9,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,,,False
Hawaii,307,349.4,366.0,286.0,266.3,297.0,,324.6,,300.9,309.3,368.0,329.5,311.0,997.1,523.0,,288.9,,526.6,288.2,42.4,59.0,-21.0,-40.7,-10.0,,17.6,,-6.1,2.3,61.0,22.5,4.0,690.1,216.0,,-18.1,,219.6,-18.8,False,True,True,True,,True,,True,True,False,True,True,False,False,,True,,False,True
Idaho,1528,1593.6,1626.9,1320.0,1499.4,1425.0,,1679.3,1634.0,1756.4,1467.2,1409.3,1598.1,1434.5,1354.7,1491.0,,1635.8,,1608.7,1213.7,65.6,98.9,-208.0,-28.6,-103.0,,151.3,106.0,228.4,-60.8,-118.7,70.1,-93.5,-173.3,-37.0,,107.8,,80.7,-314.3,False,False,True,False,,False,False,False,True,False,False,False,False,True,,False,,False,False
Illinois,19210,20109.7,19904.5,15387.0,18978.0,18149.0,,19730.7,18576.0,19981.0,17430.2,16844.0,18380.4,19920.0,16318.8,18021.0,,19381.7,,,15360.8,899.7,694.5,-3823.0,-232.0,-1061.0,,520.7,-634.0,771.0,-1779.8,-2366.0,-829.6,710.0,-2891.2,-1189.0,,171.7,,,-3849.2,True,False,True,False,,True,True,True,False,False,True,True,False,False,,True,,,False
Indiana,10089,8947.4,8928.6,7414.0,8961.8,8552.0,,8451.2,8750.0,9722.4,8460.6,7597.6,9293.7,9332.0,9604.8,8981.0,,9161.7,,11837.1,6572.2,-396.6,-415.4,-1930.0,-382.2,-792.0,,-892.8,-594.0,378.4,-883.4,-1746.4,-50.3,-12.0,260.8,-363.0,,-182.3,,2493.1,-2771.8,False,False,True,False,,False,False,True,False,False,True,True,True,True,,True,,False,False
Iowa,4127,4261.6,4217.2,2843.0,3454.2,3791.0,,3766.1,4464.0,3787.7,3181.3,3409.7,3390.7,3532.0,5397.1,4506.0,,4260.2,,3882.2,3114.0,134.6,90.2,-1284.0,-672.8,-336.0,,-360.9,337.0,-339.3,-945.7,-717.3,-736.3,-595.0,1270.1,379.0,,133.2,,-244.8,-1013.0,True,False,False,False,,False,False,False,False,False,False,False,False,False,,True,,False,False
Kansas,3141,3034.3,3070.9,2051.0,2638.8,3132.0,,3182.9,3138.0,3221.3,2466.3,2302.9,2698.6,2530.0,2975.8,3200.0,,2655.3,,2335.9,1902.8,-106.7,-70.1,-1090.0,-502.2,-9.0,,41.9,-3.0,80.3,-674.7,-838.1,-442.4,-611.0,-165.2,59.0,,-485.7,,-805.1,-1238.2,True,False,False,True,,True,True,True,False,False,False,False,False,True,,False,,False,False
Kentucky,2876,2926.9,2947.4,2734.0,2836.8,2672.0,,3088.5,2891.0,3257.9,2857.1,3060.3,3253.2,2876.0,2235.9,2930.0,,3237.0,,2765.3,2349.0,50.9,71.4,-142.0,-39.2,-204.0,,212.5,15.0,381.9,-18.9,184.3,377.2,0.0,-640.1,54.0,,361.0,,-110.7,-527.0,False,False,True,False,,False,True,False,True,False,False,True,False,False,,False,,False,False
Louisiana,7833,7443.7,7333.3,7271.0,8333.6,7480.0,,7984.6,7428.0,7941.1,9228.4,7343.0,8025.3,7410.0,7254.4,8151.0,,7369.8,,8424.5,7003.9,-389.3,-499.7,-562.0,500.6,-353.0,,151.6,-405.0,108.1,1395.4,-490.0,192.3,-423.0,-578.6,318.0,,-463.2,,591.5,-829.1,False,False,False,True,,True,False,True,False,False,True,False,False,True,,False,,False,False
Maine,432,401.9,407.0,230.0,362.8,332.0,,345.5,440.0,442.5,354.1,452.6,422.2,322.0,257.2,521.0,,254.2,,358.3,246.5,-30.1,-25.0,-202.0,-69.2,-100.0,,-86.5,8.0,10.5,-77.9,20.6,-9.8,-110.0,-174.8,89.0,,-177.8,,-73.7,-185.5,True,False,False,False,,False,True,True,False,True,True,False,False,False,,False,,False,False
Maryland,6246,5919.4,5910.0,5289.0,6364.8,6340.0,,6698.1,5881.0,6504.2,6140.2,5750.5,6487.7,6456.0,5864.2,7383.0,,5693.6,,6976.9,5037.1,-326.6,-336.0,-957.0,118.8,94.0,,452.1,-365.0,258.2,-105.8,-495.5,241.7,210.0,-381.8,1137.0,,-552.4,,730.9,-1208.9,False,False,True,True,,False,False,True,True,False,True,True,False,False,,False,,False,False
Massachusetts,13074,12373.7,12338.6,11789.0,12494.2,12676.0,,12590.0,12393.0,12890.1,12997.3,12431.5,13799.7,13112.0,13388.3,12137.0,,12305.2,,12136.0,11411.1,-700.3,-735.4,-1285.0,-579.8,-398.0,,-484.0,-681.0,-183.9,-76.7,-642.5,725.7,38.0,314.3,-937.0,,-768.8,,-938.0,-1662.9,False,False,True,True,,True,True,True,True,True,False,True,True,False,,False,,False,False
Michigan,14145,14469.0,14592.9,11162.0,14711.6,13601.0,,13326.6,14086.0,15498.7,13343.4,12819.4,14604.6,15353.5,11512.2,14123.5,,14349.9,,15075.5,10844.7,324.0,447.9,-2983.0,566.6,-544.0,,-818.4,-59.0,1353.7,-801.6,-1325.6,459.6,1208.5,-2632.8,-21.5,,204.9,,930.5,-3300.3,False,False,False,False,,False,True,False,False,False,False,False,False,True,,True,,False,False
Minnesota,5731,6015.0,5974.0,4754.0,6614.4,7383.0,,6017.9,6466.0,6742.3,5660.3,5318.8,5869.9,5143.5,5940.0,5567.5,,6244.3,,5921.8,4480.3,284.0,243.0,-977.0,883.4,1652.0,,286.9,735.0,1011.3,-70.7,-412.2,138.9,-587.5,209.0,-163.5,,513.3,,190.8,-1250.7,True,False,False,False,,False,False,False,True,False,True,False,True,True,,False,,True,False
