,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,5299,3712.9,3725.4,4556.7,6286.1,3553.0,,3408.7,-1586.1,-1573.6,-742.3,987.1,-1746.0,,-1890.3,True,True,True,False,,False
Alaska,224,78.9,81.4,230.7,198.6,,,93.7,-145.1,-142.6,6.7,-25.4,,,-130.3,True,True,True,,,True
Arizona,10036,6384.3,6822.0,6958.6,6871.3,6348.0,,6508.4,-3651.7,-3214.0,-3077.4,-3164.7,-3688.0,,-3527.6,True,True,True,False,,True
Arkansas,4010,2984.6,2782.2,3374.7,3607.6,3125.0,,2576.5,-1025.4,-1227.8,-635.3,-402.4,-885.0,,-1433.5,False,True,True,True,,False
California,29707,21472.9,26405.3,22777.1,25202.4,20020.0,,20672.7,-8234.1,-3301.7,-6929.9,-4504.6,-9687.0,,-9034.3,True,True,True,False,,False
Colorado,5190,2733.3,2480.9,3699.8,4736.8,2592.0,,2407.0,-2456.7,-2709.1,-1490.2,-453.2,-2598.0,,-2783.0,False,True,True,False,,False
Connecticut,6324,4957.0,5623.6,5275.6,4837.3,4729.0,,4707.4,-1367.0,-700.4,-1048.4,-1486.7,-1595.0,,-1616.6,True,True,False,False,,False
Delaware,969,854.7,902.1,838.0,902.4,754.0,,750.4,-114.3,-66.9,-131.0,-66.6,-215.0,,-218.6,True,False,True,False,,False
District of Columbia,813,652.9,645.6,737.1,829.4,662.0,,657.1,-160.1,-167.4,-75.9,16.4,-151.0,,-155.9,False,True,True,True,,True
Florida,22804,21445.0,20923.3,23414.9,27055.1,20336.0,,19919.1,-1359.0,-1880.7,610.9,4251.1,-2468.0,,-2884.9,False,True,False,False,,False
Georgia,11457,9665.6,10325.5,10434.2,11758.0,9508.0,,9627.7,-1791.4,-1131.5,-1022.8,301.0,-1949.0,,-1829.3,True,True,True,False,,False
Hawaii,307,483.4,1017.1,415.1,466.9,,,278.6,176.4,710.1,108.1,159.9,,,-28.4,False,True,True,,,True
Idaho,1528,1061.6,2184.2,1094.7,935.1,914.0,,860.4,-466.4,656.2,-433.3,-592.9,-614.0,,-667.6,False,True,False,False,,False
Illinois,19210,13043.0,16294.1,15678.3,16379.3,11960.0,,11325.3,-6167.0,-2915.9,-3531.7,-2830.7,-7250.0,,-7884.7,True,True,True,False,,False
Indiana,8966,6225.4,7982.5,7783.5,8101.7,5858.0,,5027.6,-2740.6,-983.5,-1182.5,-864.3,-3108.0,,-3938.4,True,True,True,False,,False
Iowa,4127,2753.3,3648.8,2931.0,3291.1,2393.5,,2328.7,-1373.7,-478.2,-1196.0,-835.9,-1733.5,,-1798.3,True,True,True,False,,False
Kansas,3141,2009.1,2857.3,2118.6,3045.4,1582.0,,1481.4,-1112.9,-264.7,-1003.4,-76.6,-1540.0,,-1640.6,True,True,True,False,,False
Kentucky,2876,2373.3,3587.0,2489.7,2956.1,2218.0,,2210.8,-502.7,711.0,-386.3,80.1,-658.0,,-665.2,False,True,True,False,,False
Louisiana,7833,6781.6,6608.1,6873.0,7806.8,6712.0,,7134.0,-1051.4,-1224.9,-960.0,-26.2,-1121.0,,-699.0,False,True,True,False,,True
Maine,432,146.0,152.9,163.9,179.6,179.0,,149.9,-286.0,-279.1,-268.1,-252.4,-253.0,,-282.1,True,True,True,True,,True
Maryland,6246,4736.6,4789.0,4631.7,5525.3,4372.0,32383.0,4346.2,-1509.4,-1457.0,-1614.3,-720.7,-1874.0,26137.0,-1899.8,True,False,True,False,False,False
Massachusetts,13074,11242.9,11385.6,12226.9,12338.1,10889.0,,10285.6,-1831.1,-1688.4,-847.1,-735.9,-2185.0,,-2788.4,True,True,True,False,,False
Michigan,14145,9498.0,12559.8,10859.6,12115.6,9524.0,,8200.4,-4647.0,-1585.2,-3285.4,-2029.4,-4621.0,,-5944.6,True,True,True,True,,False
Minnesota,5731,3650.6,4635.5,4632.6,5171.0,3840.0,,3196.0,-2080.4,-1095.5,-1098.4,-560.0,-1891.0,,-2535.0,True,True,True,True,,False
Mississippi,5146,4167.0,4174.5,4300.0,4818.4,4020.0,,4037.9,-979.0,-971.5,-846.0,-327.6,-1126.0,,-1108.1,True,True,True,False,,False
Missouri,6143,5295.4,5321.7,6060.8,5349.2,4205.0,,3291.9,-857.6,-831.3,-92.2,-803.8,-1948.0,,-2861.1,True,True,True,False,,False
Montana,1054,905.0,1114.1,1105.4,1014.8,677.0,,499.8,-149.0,60.1,51.4,-39.2,-377.0,,-554.2,True,True,True,False,,False
Nebraska,1737,1117.1,2428.1,1271.4,1213.6,1042.0,,778.0,-619.9,691.1,-465.6,-523.4,-695.0,,-959.0,False,True,True,False,,False
Nevada,3450,2113.1,1995.9,2533.0,3333.3,2140.0,,2406.7,-1332.9,-1450.1,-913.0,-112.7,-1306.0,,-1039.3,False,True,True,True,,True
New Hampshire,862,549.0,492.5,827.6,1750.8,568.0,,517.7,-313.0,-369.5,-34.4,888.8,-294.0,,-344.3,False,True,False,True,,False
New Jersey,19854,17088.4,17615.3,18526.5,16780.3,16689.0,,16638.8,-2765.6,-2238.7,-1327.5,-3073.7,-3165.0,,-3215.2,True,True,False,False,,False
New Mexico,2732,1325.3,1761.1,1889.2,2113.7,1203.0,,1127.1,-1406.7,-970.9,-842.8,-618.3,-1529.0,,-1604.9,True,True,True,False,,False
New York,39471,34127.7,33848.2,35842.7,35755.6,33986.0,,33833.4,-5123.3,-5402.8,-3408.3,-3495.4,-5265.0,,-5417.6,False,True,True,False,,False
North Carolina,7425,6578.1,9195.9,6624.8,7341.4,6190.0,,5451.6,-846.9,1770.9,-800.2,-83.6,-1235.0,,-1973.4,False,True,True,False,,False
North Dakota,1360,1020.6,826.0,1682.9,1079.5,1104.0,,779.9,-339.4,-534.0,322.9,-280.5,-256.0,,-580.1,False,True,True,True,,False
