,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,5299,4258.3,5717.6,3521.8,4939.3,3276.0,,3345.4,-1040.7,418.6,-1777.2,-359.7,-2023.0,,-1953.6,True,False,True,False,,False
Alaska,224,150.0,929.9,227.0,140.5,,,92.3,-74.0,705.9,3.0,-83.5,,,-131.7,False,True,False,,,False
Arizona,10036,6633.3,8642.6,6585.0,7597.9,6239.0,,6598.4,-3402.7,-1393.4,-3451.0,-2438.1,-3797.0,,-3437.6,True,False,True,False,,False
Arkansas,4010,3304.7,3319.4,2812.4,3516.8,3485.0,,2571.0,-705.3,-690.6,-1197.6,-493.2,-525.0,,-1439.0,True,False,True,True,,False
California,29707,21721.9,25329.2,20857.1,27377.6,19458.0,,20555.4,-7985.1,-4377.8,-8849.9,-2329.4,-10249.0,,-9151.6,True,False,True,False,,False
Colorado,5190,2923.0,3877.2,2987.3,5217.5,2545.0,,2298.0,-2267.0,-1312.8,-2202.7,27.5,-2645.0,,-2892.0,True,True,True,False,,False
Connecticut,6324,4684.3,4659.5,4783.6,5021.5,4667.0,,4610.5,-1639.7,-1664.5,-1540.4,-1302.5,-1657.0,,-1713.5,False,True,True,False,,False
Delaware,969,795.4,762.8,796.4,993.5,730.0,,721.1,-173.6,-206.2,-172.6,24.5,-239.0,,-247.9,False,True,True,False,,False
District of Columbia,813,688.4,717.1,696.0,888.1,659.0,,659.1,-124.6,-95.9,-117.0,75.1,-154.0,,-153.9,True,True,True,False,,False
Florida,22804,23116.9,27558.9,21209.5,26554.3,19228.0,,20397.4,312.9,4754.9,-1594.5,3750.3,-3576.0,,-2406.6,False,False,False,False,,False
Georgia,11457,10270.3,11623.2,9109.5,10885.1,9183.0,,9672.2,-1186.7,166.2,-2347.5,-571.9,-2274.0,,-1784.8,True,False,True,False,,False
Hawaii,307,400.4,490.4,379.4,556.3,,,238.6,93.4,183.4,72.4,249.3,,,-68.4,False,True,False,,,True
Idaho,1528,777.0,794.9,951.8,1404.6,777.0,,772.8,-751.0,-733.1,-576.2,-123.4,-751.0,,-755.2,True,True,True,False,,False
Illinois,19210,12367.1,16188.5,12725.2,16428.7,11229.0,,10928.6,-6842.9,-3021.5,-6484.8,-2781.3,-7981.0,,-8281.4,True,True,True,False,,False
Indiana,8966,5691.9,7813.9,5928.3,8028.1,4926.0,,4670.2,-3274.1,-1152.1,-3037.7,-937.9,-4040.0,,-4295.8,True,True,True,False,,False
Iowa,4127,2362.0,2470.4,2535.4,3399.0,2237.0,,2153.9,-1765.0,-1656.6,-1591.6,-728.0,-1890.0,,-1973.1,True,True,True,False,,False
Kansas,3141,1866.9,2714.2,1569.0,2784.6,1373.0,,1381.6,-1274.1,-426.8,-1572.0,-356.4,-1768.0,,-1759.4,True,False,True,False,,False
Kentucky,2876,2100.6,3392.6,2103.1,3320.7,1874.0,,2085.9,-775.4,516.6,-772.9,444.7,-1002.0,,-790.1,True,True,True,False,,False
Louisiana,7833,6876.4,6379.7,6430.4,7795.9,6474.0,,7174.8,-956.6,-1453.3,-1402.6,-37.1,-1359.0,,-658.2,False,False,True,False,,True
Maine,432,181.6,510.1,160.8,167.3,187.0,,153.1,-250.4,78.1,-271.2,-264.7,-245.0,,-278.9,True,False,False,True,,False
Maryland,6246,4487.6,5071.0,4381.5,4699.2,4264.0,15967.0,4268.3,-1758.4,-1175.0,-1864.5,-1546.8,-1982.0,9721.0,-1977.7,True,False,True,False,False,False
Massachusetts,13074,11314.0,11837.8,11277.8,12545.6,10635.0,,10240.7,-1760.0,-1236.2,-1796.2,-528.4,-2439.0,,-2833.3,True,False,True,False,,False
Michigan,14145,8774.7,11856.7,8915.7,11073.0,8207.0,,7877.9,-5370.3,-2288.3,-5229.3,-3072.0,-5938.0,,-6267.1,True,True,True,False,,False
Minnesota,5731,3389.7,5117.3,3467.4,4788.0,3382.0,,3113.9,-2341.3,-613.7,-2263.6,-943.0,-2349.0,,-2617.1,True,True,True,False,,False
Mississippi,5146,4001.0,4330.7,4044.4,4301.4,4033.0,,3990.3,-1145.0,-815.3,-1101.6,-844.6,-1113.0,,-1155.7,True,True,True,True,,False
Missouri,6143,4584.0,5852.8,4876.6,4643.4,4396.0,,3078.6,-1571.0,-302.2,-1278.4,-1511.6,-1759.0,,-3076.4,True,True,True,False,,False
Montana,1054,608.6,1080.7,869.8,655.0,605.0,,452.2,-445.4,26.7,-184.2,-399.0,-449.0,,-601.8,True,True,True,False,,False
Nebraska,1737,891.9,1839.0,1054.4,1661.1,804.0,,623.8,-845.1,102.0,-682.6,-75.9,-933.0,,-1113.2,True,True,True,False,,False
Nevada,3450,2291.0,2766.0,2405.7,2355.3,2039.0,,2498.6,-1159.0,-684.0,-1044.3,-1094.7,-1411.0,,-951.4,True,True,True,False,,True
New Hampshire,862,584.6,565.5,634.5,1455.8,561.0,,512.2,-277.4,-296.5,-227.5,593.8,-301.0,,-349.8,False,True,False,False,,False
