,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,5299,4279.9,4262.0,5869.0,5221.5,,4798.0,5252.1,4971.0,4410.6,4735.0,4632.1,4681.5,,4075.2,4788.1,3983.2,-1019.1,-1037.0,570.0,-77.5,,-501.0,-46.9,-328.0,-888.4,-564.0,-666.9,-617.5,,-1223.8,-510.9,-1315.8,False,True,True,,True,True,True,True,True,True,True,,False,True,False
Alaska,224,226.4,235.0,173.0,335.3,,,251.7,143.0,221.0,175.0,134.3,195.0,,263.6,277.7,147.1,2.4,11.0,-51.0,111.3,,,27.7,-81.0,-3.0,-49.0,-89.7,-29.0,,39.6,53.7,-76.9,False,False,False,,,False,False,False,False,False,False,,False,False,False
Arizona,10036,7629.7,7626.4,11336.0,10054.8,,7757.0,8829.9,9516.0,8692.3,7317.0,7917.2,7972.0,,7425.6,9755.1,7094.0,-2406.3,-2409.6,1300.0,18.8,,-2279.0,-1206.1,-520.0,-1343.7,-2719.0,-2118.8,-2064.0,,-2610.4,-280.9,-2942.0,False,True,True,,True,True,True,True,False,True,True,,False,True,False
Arkansas,4010,3131.9,3121.5,3631.0,3889.8,,3463.0,3625.2,3469.9,3130.1,3024.0,2669.2,3073.0,,3314.6,3086.5,2824.4,-878.1,-888.5,-379.0,-120.2,,-547.0,-384.8,-540.1,-879.9,-986.0,-1340.8,-937.0,,-695.4,-923.5,-1185.6,False,True,True,,True,True,True,False,False,False,False,,True,False,False
California,29707,21640.3,21779.0,37341.0,24856.7,,22244.0,23967.3,27987.3,25514.2,21721.0,21201.8,23411.5,,21839.1,28973.6,20648.7,-8065.7,-7927.0,7635.0,-4849.3,,-7462.0,-5738.7,-1718.7,-4191.8,-7985.0,-8504.2,-6294.5,,-7866.9,-732.4,-9057.3,True,True,True,,True,True,True,True,True,False,True,,True,True,False
Colorado,5190,4156.9,4158.7,4436.0,6437.7,,4505.0,5715.7,4716.6,4540.3,4072.0,4145.7,4046.5,,3849.6,8035.8,3257.3,-1033.1,-1031.3,-754.0,1247.7,,-685.0,525.7,-473.4,-649.7,-1118.0,-1044.3,-1143.5,,-1340.4,2845.8,-1932.7,True,True,False,,True,True,True,True,False,False,False,,False,False,False
Connecticut,6324,5740.0,5760.5,5520.0,6368.6,,5719.0,6107.2,5733.2,5862.0,5912.0,5712.2,5106.0,,5209.8,8639.6,5038.1,-584.0,-563.5,-804.0,44.6,,-605.0,-216.8,-590.8,-462.0,-412.0,-611.8,-1218.0,,-1114.2,2315.6,-1285.9,True,False,True,,False,True,False,True,True,False,False,,False,False,False
Delaware,1128,898.9,869.3,1160.0,1013.0,,888.0,929.8,922.9,990.1,935.0,990.8,829.0,,883.0,1439.0,817.4,-182.1,-211.7,79.0,-68.0,,-193.0,-151.2,-158.1,-90.9,-146.0,-90.2,-252.0,,-198.0,358.0,-263.6,False,True,True,,False,True,True,True,True,True,False,,False,False,False
District of Columbia,813,738.6,728.0,818.0,789.8,,749.0,770.0,774.9,794.6,729.0,711.5,778.0,,699.0,1111.6,692.9,-74.4,-85.0,5.0,-23.2,,-64.0,-43.0,-38.1,-18.4,-84.0,-101.5,-35.0,,-114.0,298.6,-120.1,False,True,True,,True,True,True,True,False,False,True,,False,False,False
Florida,22804,21481.3,21515.2,22961.0,21991.4,,21027.0,22648.2,22240.9,23991.2,23611.5,21527.1,20815.0,,21728.1,23640.9,20193.8,-1322.7,-1288.8,157.0,-812.6,,-1777.0,-155.8,-563.1,1187.2,807.5,-1276.9,-1989.0,,-1075.9,836.9,-2610.2,True,True,True,,False,True,True,True,True,True,False,,True,True,False
