,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,5299,5029.0,5230.1,5139.4,5070.9,5072.0,5059.0,5137.0,5104.0,5142.3,5119.0,5101.3,5234.0,5087.6,5140.0,5160.6,5206.0,,5265.0,5335.1,5163.5,5202.4,5115.0,5086.8,5105.2,5160.0,5175.5,5137.1,5172.0,5206.0,,5123.5,5057.3,5188.0,5517.4,5044.0,5032.7,,5151.4,5175.2,5136.1,5109.0,5094.9,5048.0,5232.0,5006.2,5134.4,-270.0,-68.9,-159.6,-228.1,-227.0,-240.0,-162.0,-195.0,-156.7,-180.0,-197.7,-65.0,-211.4,-159.0,-138.4,-93.0,,-34.0,36.1,-135.5,-96.6,-184.0,-212.2,-193.8,-139.0,-123.5,-161.9,-127.0,-93.0,,-175.5,-241.7,-111.0,218.4,-255.0,-266.3,,-147.6,-123.8,-162.9,-190.0,-204.1,-251.0,-67.0,-292.8,-164.6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,False,True
Alaska,224,227.9,226.9,241.4,233.1,224.0,230.0,227.0,222.0,224.6,223.0,235.8,229.0,228.8,224.5,232.2,231.0,,,221.1,243.1,224.7,225.0,223.5,228.7,263.0,230.7,227.7,226.3,231.0,,,225.9,227.0,242.8,224.0,236.4,,224.2,236.4,235.0,227.0,226.0,222.0,236.8,224.8,230.3,3.9,2.9,17.4,9.1,0.0,6.0,3.0,-2.0,0.6,-1.0,11.8,5.0,4.8,0.5,8.2,7.0,,,-2.9,19.1,0.7,1.0,-0.5,4.7,39.0,6.7,3.7,2.3,7.0,,,1.9,3.0,18.8,0.0,12.4,,0.2,12.4,11.0,3.0,2.0,-2.0,12.8,0.8,6.3,True,False,False,True,False,True,True,True,True,False,False,False,True,False,False,,,True,False,True,True,True,False,False,False,True,True,False,,,True,True,False,True,False,,True,False,False,True,True,True,False,True,False
Arizona,10036,9604.4,9687.3,9421.5,9708.5,9661.0,9698.0,9642.0,9544.0,9612.8,9616.0,9429.9,9282.0,9739.4,9777.8,9647.1,9696.6,,9657.0,9422.1,9725.7,9753.5,9593.0,9656.4,9544.3,9626.0,9716.4,9656.1,9773.2,9888.5,,9525.2,9546.0,9636.0,10104.2,9488.0,9688.9,,9565.3,9732.6,9678.3,9644.0,9782.2,9659.0,9708.1,9265.1,9464.6,-431.6,-348.7,-614.5,-327.5,-375.0,-338.0,-394.0,-492.0,-423.2,-420.0,-606.1,-754.0,-296.6,-258.2,-388.9,-339.4,,-379.0,-613.9,-310.3,-282.5,-443.0,-379.6,-491.7,-410.0,-319.6,-379.9,-262.8,-147.5,,-510.8,-490.0,-400.0,68.2,-548.0,-347.1,,-470.7,-303.4,-357.7,-392.0,-253.8,-377.0,-327.9,-770.9,-571.4,True,False,True,True,True,True,False,True,True,False,False,True,True,True,True,,True,False,True,True,False,True,False,True,True,True,True,True,,False,False,True,True,False,True,,False,True,True,True,True,True,True,False,False
Arkansas,4010,3977.9,4001.3,3958.9,4018.3,4000.0,4017.0,4003.0,3998.0,3996.0,4030.0,3966.6,4003.0,3995.3,4008.3,4010.3,4054.9,,4008.0,4081.5,3947.9,4036.9,3970.0,3968.7,3929.2,3927.0,4017.9,3996.6,4023.1,4079.0,,3966.7,3914.9,4013.0,4030.4,3979.0,4022.7,,3889.3,4027.8,4017.4,3959.0,4019.3,4029.0,4039.7,3872.4,3824.6,-32.1,-8.7,-51.1,8.3,-10.0,7.0,-7.0,-12.0,-14.0,20.0,-43.4,-7.0,-14.7,-1.7,0.3,44.9,,-2.0,71.5,-62.1,26.9,-40.0,-41.3,-80.8,-83.0,7.9,-13.4,13.1,69.0,,-43.3,-95.1,3.0,20.4,-31.0,12.7,,-120.7,17.8,7.4,-51.0,9.3,19.0,29.7,-137.6,-185.4,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,,True,False,False,True,False,False,False,False,True,True,True,False,,False,False,True,True,True,True,,False,True,True,False,True,True,True,False,False
California,29707,28657.4,28986.9,27430.0,28879.4,28935.0,28866.0,28814.0,28010.0,28861.2,28551.0,27902.6,28871.0,28621.5,29067.2,29093.1,28976.8,,29205.0,27968.3,28999.2,29063.5,28564.0,28942.7,27388.0,29019.0,28954.3,28558.7,28815.4,28868.5,,27885.6,28522.3,28856.0,30890.2,28570.0,28898.8,,28753.3,28990.3,29012.7,28640.0,29242.8,28813.0,,27234.5,28772.3,-1049.6,-720.1,-2277.0,-827.6,-772.0,-841.0,-893.0,-1697.0,-845.8,-1156.0,-1804.4,-836.0,-1085.5,-639.8,-613.9,-730.2,,-502.0,-1738.7,-707.8,-643.5,-1143.0,-764.3,-2319.0,-688.0,-752.7,-1148.3,-891.6,-838.5,,-1821.4,-1184.7,-851.0,1183.2,-1137.0,-808.2,,-953.7,-716.7,-694.3,-1067.0,-464.2,-894.0,,-2472.5,-934.7,True,False,True,True,True,True,False,True,False,False,True,False,True,True,True,,True,False,True,True,False,True,False,True,True,False,True,True,,False,False,True,False,False,True,,True,True,True,False,True,True,,False,True
Colorado,5190,5211.7,5218.5,5154.4,5243.8,5199.0,5232.0,5174.0,5062.0,5162.3,5160.0,5258.1,5217.0,5200.0,5224.7,5251.7,5171.9,,5253.0,5177.2,5138.9,5177.7,5141.0,5161.1,5265.3,5173.0,5276.0,5187.6,5203.1,5264.0,,5089.7,5103.1,5140.0,4732.4,5152.0,5237.7,,5126.7,5279.7,5240.0,5132.0,5157.7,5146.0,5181.8,5081.2,4818.9,21.7,28.5,-35.6,53.8,9.0,42.0,-16.0,-128.0,-27.7,-30.0,68.1,27.0,10.0,34.7,61.7,-18.1,,63.0,-12.8,-51.1,-12.3,-49.0,-28.9,75.3,-17.0,86.0,-2.4,13.1,74.0,,-100.3,-86.9,-50.0,-457.6,-38.0,47.7,,-63.3,89.7,50.0,-58.0,-32.3,-44.0,-8.2,-108.8,-371.1,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,,False,True,False,True,False,False,False,True,False,True,True,False,,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False
Connecticut,6324,6363.0,6298.5,6289.2,6404.3,6302.0,6407.0,6312.0,6272.0,6340.7,6235.0,6177.8,6213.0,6347.5,6408.4,6426.5,6348.7,,6291.0,6244.8,6334.2,6342.4,6293.0,6316.5,6293.0,6334.0,6378.7,6351.5,6329.0,6322.0,,6261.5,6235.5,6312.0,6108.0,6262.0,6409.0,,6243.9,6393.4,6408.2,6289.0,6368.3,6331.0,6290.0,6161.8,,39.0,-25.5,-34.8,80.3,-22.0,83.0,-12.0,-52.0,16.7,-89.0,-146.2,-111.0,23.5,84.4,102.5,24.7,,-33.0,-79.2,10.2,18.4,-31.0,-7.5,-31.0,10.0,54.7,27.5,5.0,-2.0,,-62.5,-88.5,-12.0,-216.0,-62.0,85.0,,-80.1,69.4,84.2,-35.0,44.3,7.0,-34.0,-162.2,,True,True,False,True,False,True,False,True,False,False,False,True,False,False,True,,True,False,True,True,True,True,True,True,False,True,True,True,,False,False,True,False,False,False,,False,False,False,True,False,True,True,False,
Delaware,969,958.3,969.6,961.7,964.4,968.0,965.0,964.0,959.0,964.3,954.0,957.8,972.0,957.4,967.4,990.2,972.7,,1008.0,948.9,980.5,969.9,954.0,955.9,951.1,979.0,965.5,972.7,965.7,971.0,,,951.1,965.0,1019.0,955.0,946.6,,970.9,977.4,973.2,964.0,956.3,951.0,986.2,945.6,964.1,-10.7,0.6,-7.3,-4.6,-1.0,-4.0,-5.0,-10.0,-4.7,-15.0,-11.2,3.0,-11.6,-1.6,21.2,3.7,,39.0,-20.1,11.5,0.9,-15.0,-13.1,-17.9,10.0,-3.5,3.7,-3.3,2.0,,,-17.9,-4.0,50.0,-14.0,-22.4,,1.9,8.4,4.2,-5.0,-12.7,-18.0,17.2,-23.4,-4.9,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,,False,False,False,True,False,False,False,True,True,True,True,True,,,False,True,False,False,False,,True,True,True,True,False,False,False,False,True
District of Columbia,813,816.3,818.7,807.6,820.0,820.0,822.0,819.0,816.0,820.6,821.0,800.9,800.0,820.1,818.6,808.4,823.9,,822.0,817.9,820.9,820.1,817.0,810.1,824.1,824.0,,,817.5,827.0,,,820.1,819.0,813.0,818.0,817.8,,831.2,,821.4,815.0,,822.0,834.6,801.1,818.9,3.3,5.7,-5.4,7.0,7.0,9.0,6.0,3.0,7.6,8.0,-12.1,-13.0,7.1,5.6,-4.6,10.9,,9.0,4.9,7.9,7.1,4.0,-2.9,11.1,11.0,,,4.5,14.0,,,7.1,6.0,-0.0,5.0,4.8,,18.2,,8.4,2.0,,9.0,21.6,-11.9,5.9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,,,False,False,,,False,False,True,False,False,,False,,False,True,,False,False,False,False
Florida,22804,22651.3,22559.3,22436.5,22654.0,22603.0,22645.0,22666.0,22374.0,22693.8,22525.0,22379.3,22772.0,22587.4,22785.5,22709.1,22812.3,,22593.0,22700.0,23524.8,22769.1,22802.0,22616.4,22818.9,22640.0,22672.4,22745.5,22790.9,22717.0,,22483.4,22485.7,22635.0,25174.6,22679.0,22647.4,,22609.9,22684.1,22822.8,22730.0,22599.9,22706.0,,22363.5,22624.4,-152.7,-244.7,-367.5,-150.0,-201.0,-159.0,-138.0,-430.0,-110.2,-279.0,-424.7,-32.0,-216.6,-18.5,-94.9,8.3,,-211.0,-104.0,720.8,-34.9,-2.0,-187.6,14.9,-164.0,-131.6,-58.5,-13.1,-87.0,,-320.6,-318.3,-169.0,2370.6,-125.0,-156.6,,-194.1,-119.9,18.8,-74.0,-204.1,-98.0,,-440.5,-179.6,False,False,True,False,False,True,False,True,False,False,True,False,True,True,True,,False,True,False,True,True,False,True,False,True,True,True,True,,False,False,False,False,True,False,,False,True,True,True,False,True,,False,False
