,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,5299,4890.1,4934.8,5417.0,4520.6,,5181.9,5252.0,5714.3,5205.5,,4539.7,4939.4,3913.4,-408.9,-364.2,118.0,-778.4,,-117.1,-47.0,415.3,-93.5,,-759.3,-359.6,-1385.6,True,True,False,,True,True,False,True,,False,True,False
Alaska,224,137.3,131.8,227.0,349.8,,195.5,,155.5,225.2,,214.1,248.6,124.0,-86.7,-92.2,3.0,125.8,,-28.5,,-68.5,1.2,,-9.9,24.6,-100.0,False,True,False,,True,,True,True,,True,True,False
Arizona,10036,7574.9,7556.2,15095.0,9665.8,,9507.9,7685.0,9098.9,8778.0,,7292.7,10135.6,6965.3,-2461.1,-2479.8,5059.0,-370.2,,-528.1,-2351.0,-937.1,-1258.0,,-2743.3,99.6,-3070.7,False,False,True,,True,True,True,True,,False,True,False
Arkansas,4010,3550.1,3583.2,6154.0,3789.6,,2997.9,3635.0,4171.0,3927.0,,4075.9,3116.6,2749.7,-459.9,-426.8,2144.0,-220.4,,-1012.1,-375.0,161.0,-83.0,,65.9,-893.4,-1260.3,True,False,True,,False,True,True,True,,True,False,False
California,29707,21907.7,21604.4,38352.0,23416.8,,23622.9,21986.0,23492.2,32895.5,,21945.8,29470.5,20440.4,-7798.3,-8101.6,8646.0,-6289.2,,-6083.1,-7720.0,-6213.8,3189.5,,-7760.2,-235.5,-9265.6,False,False,True,,True,True,True,True,,True,True,False
Colorado,5190,4588.9,4621.0,10527.0,5759.6,,5275.9,4719.0,5621.5,4943.2,,4740.8,8462.5,3104.8,-601.1,-569.0,5337.0,569.6,,85.9,-471.0,431.5,-246.8,,-449.2,3272.5,-2085.2,True,False,True,,True,True,True,True,,True,False,False
Connecticut,6324,5452.0,5483.7,7692.0,6532.4,,6160.8,5788.0,6151.3,6297.6,,5600.4,9124.6,4907.5,-872.0,-840.3,1368.0,208.4,,-163.2,-536.0,-172.7,-26.4,,-723.6,2800.6,-1416.5,True,False,True,,True,True,True,True,,True,False,False
Delaware,969,830.3,829.8,2052.0,1052.5,,961.1,895.0,982.3,1121.5,,818.8,1520.2,800.3,-138.7,-139.2,1083.0,83.5,,-7.9,-74.0,13.3,152.5,,-150.2,551.2,-168.7,False,False,True,,True,True,True,False,,False,False,False
District of Columbia,813,738.6,755.0,1054.0,768.0,,787.4,699.0,766.0,803.0,,748.4,1028.6,684.6,-74.4,-58.0,241.0,-45.0,,-25.6,-114.0,-47.0,-10.0,,-64.6,215.6,-128.4,True,False,True,,True,False,True,True,,True,False,False
Florida,22804,21234.4,21015.7,23582.0,21384.5,,21828.6,21541.0,22795.8,24490.0,,21275.0,23858.0,19869.9,-1569.6,-1788.3,778.0,-1419.5,,-975.4,-1263.0,-8.2,1686.0,,-1529.0,1054.0,-2934.1,False,True,True,,True,True,True,False,,True,True,False
Georgia,11457,10850.6,10745.4,9514.0,17674.5,,13568.2,11208.0,12756.9,10403.1,,10401.0,12338.9,10022.3,-606.4,-711.6,-1943.0,6217.5,,2111.2,-249.0,1299.9,-1053.9,,-1056.0,881.9,-1434.7,False,False,False,,False,True,False,False,,False,False,False
Hawaii,307,308.4,294.5,222.0,300.2,,246.1,,231.0,245.4,,267.4,272.8,257.6,1.4,-12.5,-85.0,-6.8,,-60.9,,-76.0,-61.6,,-39.6,-34.2,-49.4,False,False,False,,False,,False,False,,False,False,False
Idaho,1528,1466.1,1463.2,2262.0,1701.8,,1612.6,1520.0,1796.2,1352.9,,1382.5,1332.0,1027.4,-61.9,-64.8,734.0,173.8,,84.6,-8.0,268.2,-175.1,,-145.5,-196.0,-500.6,False,False,False,,False,True,False,False,,False,False,False
Illinois,19210,18139.1,17994.1,22550.0,22169.4,,19004.0,17950.0,23705.3,16078.0,,19354.9,25275.7,13511.6,-1069.9,-1214.9,3341.0,2960.4,,-205.0,-1259.0,4496.3,-3131.0,,145.9,6066.7,-5697.4,False,False,False,,True,False,False,False,,True,False,False
Indiana,8966,8013.6,7751.6,16715.0,10794.9,,8233.2,8411.0,11016.3,10467.5,,8507.1,12911.2,5659.7,-952.4,-1214.4,7749.0,1828.9,,-732.8,-555.0,2050.3,1501.5,,-458.9,3945.2,-3306.3,False,False,False,,True,True,False,False,,True,False,False
Iowa,4127,3662.6,3633.2,5333.0,5206.5,,4008.9,3733.0,4960.7,3143.6,,3828.6,4066.9,2570.6,-464.4,-493.8,1206.0,1079.5,,-118.1,-394.0,833.7,-983.4,,-298.4,-60.1,-1556.4,False,False,False,,True,True,False,False,,True,True,False
Kansas,3141,2299.7,2311.4,3939.0,2697.7,,2213.8,2493.0,2758.0,3309.7,,2609.6,2138.9,1603.5,-757.3,-745.6,882.0,-359.3,,-843.2,-564.0,-299.0,252.7,,-447.4,-918.1,-1453.5,True,False,True,,False,True,True,True,,True,False,False
Kentucky,2876,2651.0,2657.9,3457.0,2971.3,,3302.8,2765.5,3325.3,3212.8,,2937.3,3924.0,2072.5,-225.0,-218.1,581.0,95.3,,426.8,-110.5,449.3,336.8,,61.3,1048.0,-803.5,True,False,True,,False,True,False,False,,True,False,False
Louisiana,7833,7213.1,7019.9,44860.0,7834.6,,9855.1,7912.0,7773.3,23826.8,,7198.3,9874.8,6804.1,-619.9,-813.1,37027.0,1.6,,2022.1,79.0,-59.7,15993.8,,-634.7,2041.8,-1028.9,False,False,True,,False,True,True,False,,False,False,False
Maine,432,251.4,251.0,614.0,477.2,,292.2,280.0,355.6,302.3,,213.6,490.1,190.1,-180.6,-181.0,182.0,45.2,,-139.8,-152.0,-76.4,-129.7,,-218.4,58.1,-241.9,False,False,True,,True,True,True,True,,False,True,False
Maryland,6246,5339.1,5269.3,12527.0,5898.1,,6229.3,5509.0,5896.3,6474.6,,5145.7,8227.1,4664.9,-906.9,-976.7,6281.0,-347.9,,-16.7,-737.0,-349.7,228.6,,-1100.3,1981.1,-1581.1,False,False,True,,True,True,True,True,,False,False,False
Massachusetts,13074,11766.9,11866.0,17043.0,13457.0,,12656.4,12165.0,13285.4,13865.7,,11871.8,18417.5,11019.1,-1307.1,-1208.0,3969.0,383.0,,-417.6,-909.0,211.4,791.7,,-1202.2,5343.5,-2054.9,True,False,True,,True,True,True,True,,True,False,False
Michigan,14145,12296.7,12370.4,23027.0,17751.0,,14620.1,13724.0,15800.2,14436.5,,11185.7,22016.5,9339.9,-1848.3,-1774.6,8882.0,3606.0,,475.1,-421.0,1655.2,291.5,,-2959.3,7871.5,-4805.1,True,False,False,,True,True,True,True,,False,False,False
Minnesota,5731,5601.0,5545.9,25629.0,8895.7,,6366.8,6530.0,8303.5,8202.6,,5771.8,8992.6,3692.1,-130.0,-185.1,19898.0,3164.7,,635.8,799.0,2572.5,2471.6,,40.8,3261.6,-2038.9,False,False,False,,False,False,False,False,,True,False,False
Mississippi,5146,4588.0,4475.6,5678.0,4528.4,,4847.1,4595.0,5118.7,5104.3,,4595.8,5236.0,4059.8,-558.0,-670.4,532.0,-617.6,,-298.9,-551.0,-27.3,-41.7,,-550.2,90.0,-1086.2,False,True,False,,True,True,True,True,,True,True,False
Missouri,6143,4887.7,4883.4,9611.0,7080.9,,6009.6,5440.0,6673.3,6192.1,,4630.5,6473.9,3878.6,-1261.3,-1265.6,3462.0,931.9,,-139.4,-709.0,524.3,43.1,,-1518.5,324.9,-2270.4,False,False,True,,True,True,True,True,,False,True,False
Montana,1054,1172.1,1201.9,2069.0,1476.5,,792.1,1354.0,1859.2,1918.2,,1141.4,1133.6,805.0,118.1,147.9,1015.0,422.5,,-261.9,300.0,805.2,864.2,,87.4,79.6,-249.0,False,False,False,,False,False,False,False,,True,True,False
Nebraska,1737,1800.4,1786.6,3931.0,2160.3,,1774.0,1761.0,2608.2,1753.0,,1616.6,1647.8,1097.1,63.4,49.6,2194.0,423.3,,37.0,24.0,871.2,16.0,,-120.4,-89.2,-639.9,True,False,False,,True,True,False,True,,False,False,False
Nevada,3450,2757.6,2731.8,4943.0,2931.8,,3062.9,2431.0,3198.2,3040.9,,2802.9,3442.8,2245.8,-692.4,-718.2,1493.0,-518.2,,-387.1,-1019.0,-251.8,-409.1,,-647.1,-7.2,-1204.2,False,False,True,,True,False,True,True,,True,True,False
New Hampshire,862,601.1,572.8,2084.0,680.3,,586.0,680.0,665.5,1316.9,,566.8,1777.1,532.3,-260.9,-289.2,1222.0,-181.7,,-276.0,-182.0,-196.5,454.9,,-295.2,915.1,-329.7,False,False,True,,False,True,True,False,,False,False,False
New Jersey,19854,18098.1,18223.3,27723.0,19829.2,,19221.6,18329.0,19094.4,19823.0,,19543.2,29393.4,16942.2,-1755.9,-1630.7,7869.0,-24.8,,-632.4,-1525.0,-759.6,-31.0,,-310.8,9539.4,-2911.8,True,False,True,,True,True,True,True,,True,False,False
New Mexico,2732,2535.0,2343.9,5814.0,3349.1,,2442.0,2587.0,3313.8,2896.7,,2113.4,3885.6,1589.0,-197.0,-388.1,3082.0,617.1,,-290.0,-145.0,581.8,164.7,,-618.6,1153.6,-1143.0,False,False,False,,False,True,False,True,,False,False,False
New York,39471,36287.0,36681.4,55235.0,37371.6,,38957.2,36335.0,36789.6,40867.4,,40160.0,53243.9,34568.5,-3184.0,-2789.6,15764.0,-2099.4,,-513.8,-3136.0,-2681.4,1396.4,,689.0,13772.9,-4902.5,True,False,True,,True,True,True,True,,True,False,False
North Carolina,7425,6597.4,6748.6,6938.0,7227.5,,8745.1,6794.0,7258.5,6934.2,,6917.0,7973.2,5737.6,-827.6,-676.4,-487.0,-197.5,,1320.1,-631.0,-166.5,-490.8,,-508.0,548.2,-1687.4,True,True,True,,False,True,True,True,,True,True,False
North Dakota,1360,1600.3,1638.0,1592.0,2025.6,,1384.9,1817.0,2168.0,1266.4,,1158.3,1374.9,1104.3,240.3,278.0,232.0,665.6,,24.9,457.0,808.0,-93.6,,-201.7,14.9,-255.7,False,True,False,,True,False,False,True,,True,True,False
Ohio,9599,7874.9,7875.3,15965.0,10638.8,,10139.2,8819.0,9974.6,10690.0,,9150.4,16047.8,6627.9,-1724.1,-1723.7,6366.0,1039.8,,540.2,-780.0,375.6,1091.0,,-448.6,6448.8,-2971.1,True,False,True,,True,True,True,True,,True,False,False
Oklahoma,2738,2360.9,2379.8,10893.0,2985.7,,2808.4,2651.0,3287.6,3533.3,,2628.8,3357.4,1909.8,-377.1,-358.2,8155.0,247.7,,70.4,-87.0,549.6,795.3,,-109.2,619.4,-828.2,True,False,True,,True,True,False,False,,True,False,False
Oregon,1603,1224.6,1239.0,3368.0,1604.3,,1197.2,1326.0,1597.6,1442.2,,1442.6,2107.1,940.8,-378.4,-364.0,1765.0,1.3,,-405.8,-277.0,-5.4,-160.8,,-160.4,504.1,-662.2,True,False,True,,False,True,True,True,,True,False,False
Pennsylvania,17626,13422.9,13433.9,38348.0,14862.5,,15286.9,14984.0,14554.4,20932.2,,13345.8,25043.1,10529.1,-4203.1,-4192.1,20722.0,-2763.5,,-2339.1,-2642.0,-3071.6,3306.2,,-4280.2,7417.1,-7096.9,True,False,True,,True,True,True,True,,False,False,False
Rhode Island,1916,1568.3,1579.4,2074.0,1807.7,,1727.0,1556.0,1842.2,1947.8,,1559.1,2268.5,1330.7,-347.7,-336.6,158.0,-108.3,,-189.0,-360.0,-73.8,31.8,,-356.9,352.5,-585.3,True,True,True,,True,False,True,True,,False,False,False
South Carolina,5758,5455.6,5422.6,6187.0,5322.6,,4815.6,5107.0,5329.5,5586.3,,5504.8,5866.7,4750.9,-302.4,-335.4,429.0,-435.4,,-942.4,-651.0,-428.5,-171.7,,-253.2,108.7,-1007.1,False,False,False,,False,False,False,True,,True,True,False
South Dakota,1570,2019.0,1869.3,1650.0,1851.7,,1237.9,2189.0,2494.6,1171.0,,1255.5,1250.3,1125.6,449.0,299.3,80.0,281.7,,-332.1,619.0,924.6,-399.0,,-314.5,-319.7,-444.4,True,True,True,,True,False,False,True,,True,True,True
Tennessee,7704,6823.7,6548.1,14865.0,7418.9,,7223.0,7019.0,8117.9,8720.3,,6873.3,5881.2,4978.3,-880.3,-1155.9,7161.0,-285.1,,-481.0,-685.0,413.9,1016.3,,-830.7,-1822.8,-2725.7,False,False,True,,True,True,True,False,,True,False,False
Texas,30313,27993.6,27850.9,40701.0,29795.0,,30635.2,30016.0,32103.3,33033.1,,27000.8,29362.1,23509.5,-1992.4,-2135.1,10715.0,-191.0,,649.2,30.0,2117.3,3047.1,,-2985.2,-623.9,-6476.5,False,False,True,,True,True,False,False,,False,True,False
Utah,1390,1307.3,1326.0,3516.0,1927.7,,1547.9,1550.0,1759.5,1257.5,,1403.9,1530.4,707.0,-82.7,-64.0,2126.0,537.7,,157.9,160.0,369.5,-132.5,,13.9,140.4,-683.0,True,False,False,,False,False,False,False,,True,False,False
Vermont,156,90.4,91.0,1627.0,57.9,,67.5,84.0,74.9,125.0,,90.8,311.2,63.7,-65.6,-65.0,1471.0,-98.1,,-88.5,-72.0,-81.1,-31.0,,-65.2,155.2,-92.3,True,False,False,,False,False,False,True,,True,False,False
Virginia,5381,4884.3,4912.7,5123.0,4796.3,,5234.6,5028.0,4910.0,5459.2,,4857.9,6485.6,4355.4,-496.7,-468.3,-258.0,-584.7,,-146.4,-353.0,-471.0,78.2,,-523.1,1104.6,-1025.6,True,True,False,,True,True,True,True,,False,False,False
Washington,3698,3304.7,3318.7,12330.0,5391.6,,3527.9,3487.0,4121.8,6324.0,,3502.8,4033.7,2868.3,-400.3,-386.3,8625.0,1686.6,,-177.1,-218.0,416.8,2619.0,,-202.2,328.7,-836.7,True,False,False,,True,True,False,False,,True,True,False
