,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Alabama,5299,4067.1,4729.3,3978.0,3868.2,,3711.5,-1231.9,-569.7,-1321.0,-1430.8,,-1587.5,True,False,False,,False
Alaska,224,92.9,290.3,,342.5,,138.4,-131.1,66.3,,118.5,,-85.6,True,,True,,True
Arizona,10036,7802.6,7307.6,7033.0,6973.0,,7358.7,-2233.4,-2728.4,-3003.0,-3063.0,,-2677.3,False,False,False,,False
Arkansas,4010,3209.9,3645.1,3370.0,3226.5,,2911.5,-800.1,-364.9,-640.0,-783.5,,-1098.5,True,True,True,,False
California,29707,20647.9,22642.7,20444.0,21137.1,,20380.9,-9055.1,-7060.3,-9259.0,-8565.9,,-9322.1,True,False,True,,False
Colorado,5190,3332.9,4260.7,3191.0,4006.3,,3011.5,-1857.1,-929.3,-1999.0,-1183.7,,-2178.5,True,False,True,,False
Connecticut,6324,5158.1,5993.7,5094.0,5737.1,,4940.2,-1165.9,-330.3,-1230.0,-586.9,,-1383.8,True,False,True,,False
Delaware,969,788.9,976.6,842.0,898.1,,739.1,-180.1,7.6,-127.0,-70.9,,-229.9,True,True,True,,False
District of Columbia,813,724.9,691.7,671.0,713.5,,706.7,-88.1,-121.3,-142.0,-99.5,,-106.3,False,False,False,,False
Florida,22804,20061.6,24610.1,20322.0,20798.0,,19766.8,-2742.4,1806.1,-2482.0,-2006.0,,-3037.2,True,True,True,,False
Georgia,11457,10080.6,10436.6,9960.0,10005.8,,9966.0,-922.4,-566.4,-1043.0,-997.2,,-1037.0,True,False,False,,False
Hawaii,307,238.7,363.8,,317.4,,251.9,-68.3,56.8,,10.4,,-55.1,True,,True,,True
Idaho,1528,1182.0,1498.8,1206.0,1437.5,,967.7,-346.0,-29.2,-322.0,-90.5,,-560.3,True,True,True,,False
Illinois,19210,14638.9,20267.6,13218.0,15681.0,,13499.9,-4571.1,1057.6,-5992.0,-3529.0,,-5710.1,True,False,True,,False
Indiana,8966,6976.1,9161.6,6532.0,9207.9,,6148.6,-1989.9,195.6,-2434.0,241.9,,-2817.4,True,False,True,,False
Iowa,4127,2837.0,4228.1,2918.0,5029.9,,2832.7,-1290.0,101.1,-1209.0,902.9,,-1294.3,True,True,True,,False
Kansas,3141,1754.4,2848.1,1958.0,2752.7,,1620.2,-1319.6,-225.9,-1116.0,-321.3,,-1453.8,True,True,True,,False
Kentucky,2876,2238.1,2831.2,2335.0,3087.5,,2483.9,-637.9,-44.8,-541.0,211.5,,-392.1,True,True,True,,True
Louisiana,7833,7010.3,7030.9,6624.0,6597.9,,7099.9,-822.7,-802.1,-1209.0,-1235.1,,-733.1,True,False,False,,True
Maine,432,196.3,207.6,232.5,288.4,,158.7,-235.7,-224.4,-199.5,-143.6,,-273.3,True,True,True,,False
Maryland,6246,4743.4,5073.6,4690.0,4876.2,,4567.9,-1502.6,-1172.4,-1556.0,-1369.8,,-1678.1,True,False,True,,False
Massachusetts,13074,11353.6,13229.3,11218.0,11831.1,,10623.2,-1720.4,155.3,-1856.0,-1242.9,,-2450.8,True,False,True,,False
Michigan,14145,10123.9,15245.5,10024.0,13524.0,,9362.3,-4021.1,1100.5,-4121.0,-621.0,,-4782.7,True,False,True,,False
Minnesota,5731,4313.1,5639.2,4986.0,6322.4,,3808.9,-1417.9,-91.8,-745.0,591.4,,-1922.1,True,True,True,,False
Mississippi,5146,4284.4,4124.4,4078.0,4052.5,,4421.6,-861.6,-1021.6,-1068.0,-1093.5,,-724.4,False,False,False,,True
Missouri,6143,4289.9,6368.8,4881.0,6459.8,,3573.4,-1862.1,216.8,-1271.0,307.8,,-2578.6,True,True,True,,False
