,mean_rank
Microsoft-DeepSTIA,13.0
Karlen-pypm,13.0
Google_Harvard-CPF,13.4
JCB-PRM,13.5
Caltech-CS156,13.5
COVIDhub-ensemble,14.1
MOBS-GLEAM_COVID,15.0
JHU_CSSE-DECOM,15.6
OliverWyman-Navigator,16.1
MIT_CritData-GBCF,16.3
SteveMcConnell-CovidComplete,16.8
USC-SI_kJalpha,17.2
BPagano-RtDriven,17.6
Columbia_UNC-SurvCon,17.6
CMU-TimeSeries,17.7
GT-DeepCOVID,18.5
UCSB-ACTS,19.1
epiforecasts-ensemble1,19.1
IowaStateLW-STEM,19.5
Covid19Sim-Simulator,20.2
COVIDhub-baseline,20.6
LANL-GrowthRate,20.6
CEID-Walk,20.9
CovidAnalytics-DELPHI,21.5
PSI-DRAFT,21.5
UMass-MechBayes,21.6
JHU_IDD-CovidSP,21.9
UCSD_NEU-DeepGLEAM,22.2
UMich-RidgeTfReg,22.2
AIpert-pwllnod,22.4
DDS-NBDS,23.1
CU-select,23.1
IHME-CurveFit,25.3
UCLA-SuEIR,26.2
LNQ-ens1,26.8
RobertWalraven-ESG,27.0
TTU-squider,28.1
JHUAPL-Bucky,28.6
UA-EpiCovDA,29.8
